# Atoms array:
     x           y            z                   Z     indx
   -5.855582    -3.955113     1.230332            6      0
   -6.716144    -5.269294     1.003937            6      1
   -6.644375    -3.069896     1.899157            8      2
   -4.890448    -4.246380     1.751527            1      3
   -5.507533    -3.601210     0.197040            1      4
   -6.508559    -6.003178     1.836941            1      5
   -8.042026    -4.819184     1.006025            8      6
   -6.437170    -5.791089     0.053142            1      7
   -7.777667    -3.878987     1.477481            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -3.815582    -3.955113     1.230332            6      0
   -5.855582    -1.915113     1.230332            6      0
   -5.855582    -3.955113     3.270332            6      0
   -5.855582    -3.955113    -0.809668            6      0
   -4.677788    -2.777318     2.408126            6      0
   -4.677788    -5.132907     2.408126            6      0
   -4.677788    -2.777318     0.052537            6      0
   -7.033377    -2.777318     0.052537            6      0
   -4.677788    -5.132907     0.052537            6      0
   -5.477946    -3.577477     3.199185            6      0
   -6.233218    -3.577477     3.199185            6      0
   -5.477946    -4.332749     3.199185            6      0
   -6.233218    -4.332749     3.199185            6      0
   -5.477946    -3.577477    -0.738521            6      0
   -6.233218    -3.577477    -0.738521            6      0
   -5.477946    -4.332749    -0.738521            6      0
   -6.233218    -4.332749    -0.738521            6      0
   -5.477946    -1.986260     1.607967            6      0
   -5.477946    -1.986260     0.852696            6      0
   -6.233218    -1.986260     0.852696            6      0
   -3.886729    -3.577477     1.607967            6      0
   -3.886729    -4.332749     1.607967            6      0
   -3.886729    -3.577477     0.852696            6      0
   -3.886729    -4.332749     0.852696            6      0
   -4.447123    -2.546654     1.670884            6      0
   -4.447123    -5.363572     1.670884            6      0
   -4.447123    -2.546654     0.789779            6      0
   -7.264041    -2.546654     0.789779            6      0
   -4.447123    -5.363572     0.789779            6      0
   -4.447123    -3.514560     2.638791            6      0
   -4.447123    -4.395666     2.638791            6      0
   -7.264041    -4.395666     2.638791            6      0
   -4.447123    -3.514560    -0.178127            6      0
   -7.264041    -3.514560    -0.178127            6      0
   -4.447123    -4.395666    -0.178127            6      0
   -5.415029    -2.546654     2.638791            6      0
   -5.415029    -5.363572     2.638791            6      0
   -6.296135    -5.363572     2.638791            6      0
   -5.415029    -2.546654    -0.178127            6      0
   -6.296135    -2.546654    -0.178127            6      0
   -5.415029    -5.363572    -0.178127            6      0
   -5.048376    -3.147906     2.921022            6      0
   -5.048376    -4.762319     2.921022            6      0
   -6.662789    -4.762319     2.921022            6      0
   -5.048376    -3.147906    -0.460359            6      0
   -6.662789    -3.147906    -0.460359            6      0
   -5.048376    -4.762319    -0.460359            6      0
   -5.048376    -2.264422     2.037538            6      0
   -5.048376    -5.645803     2.037538            6      0
   -5.048376    -2.264422     0.423125            6      0
   -6.662789    -2.264422     0.423125            6      0
   -5.048376    -5.645803     0.423125            6      0
   -4.164891    -3.147906     2.037538            6      0
   -4.164891    -4.762319     2.037538            6      0
   -4.164891    -3.147906     0.423125            6      0
