# Atoms array:
     x           y            z                   Z     indx
   -3.683277     2.009865     0.457215            6      0
   -0.247435     1.212546    -0.427532            6      1
   -1.289707     0.902823    -0.373037            1      2
   -3.349187     2.221396     1.459789            1      3
   -3.803263     2.863794    -0.189169            1      4
   -0.131775     2.915517     0.113936           16      5
    0.363569     0.593117     0.224733            1      6
    0.112343     1.143362    -1.451104            1      7
   -3.918387     0.781622     0.042981            6      8
   -3.796784    -0.073540     0.688943            1      9
   -4.249566     0.570350    -0.961250            1     10

# Gridpoints array:
     x           y            z                   Z     indx
   -5.723277     2.009865     0.457215            6      0
   -3.683277     4.049865     0.457215            6      0
   -3.683277     2.009865     2.497215            6      0
   -3.683277     2.009865    -1.582785            6      0
   -2.505482     3.187660     1.635010            6      0
   -4.861072     3.187660     1.635010            6      0
   -2.505482     0.832071     1.635010            6      0
   -4.861072     0.832071     1.635010            6      0
   -2.505482     3.187660    -0.720579            6      0
   -4.861072     3.187660    -0.720579            6      0
   -2.505482     0.832071    -0.720579            6      0
   -3.305641     2.387501     2.426068            6      0
   -4.060913     2.387501     2.426068            6      0
   -3.305641     1.632229     2.426068            6      0
   -4.060913     1.632229     2.426068            6      0
   -3.305641     2.387501    -1.511638            6      0
   -4.060913     2.387501    -1.511638            6      0
   -3.305641     1.632229    -1.511638            6      0
   -4.060913     1.632229    -1.511638            6      0
   -3.305641     3.978718     0.834851            6      0
   -4.060913     3.978718     0.834851            6      0
   -3.305641     3.978718     0.079579            6      0
   -4.060913     3.978718     0.079579            6      0
   -1.714424     2.387501     0.834851            6      0
   -5.652130     2.387501     0.834851            6      0
   -1.714424     1.632229     0.834851            6      0
   -5.652130     1.632229     0.834851            6      0
   -5.652130     2.387501     0.079579            6      0
   -5.652130     1.632229     0.079579            6      0
   -2.274818     3.418324     0.897768            6      0
   -5.091736     3.418324     0.897768            6      0
   -2.274818     0.601406     0.897768            6      0
   -2.274818     3.418324     0.016662            6      0
   -5.091736     3.418324     0.016662            6      0
   -2.274818     0.601406     0.016662            6      0
   -2.274818     2.450418     1.865674            6      0
   -5.091736     2.450418     1.865674            6      0
   -2.274818     1.569312     1.865674            6      0
   -5.091736     1.569312     1.865674            6      0
   -2.274818     2.450418    -0.951244            6      0
   -5.091736     2.450418    -0.951244            6      0
   -2.274818     1.569312    -0.951244            6      0
   -5.091736     1.569312    -0.951244            6      0
   -3.242724     3.418324     1.865674            6      0
   -4.123830     3.418324     1.865674            6      0
   -3.242724     0.601406     1.865674            6      0
   -4.123830     0.601406     1.865674            6      0
   -3.242724     3.418324    -0.951244            6      0
   -4.123830     3.418324    -0.951244            6      0
   -2.876070     2.817072     2.147906            6      0
   -4.490484     2.817072     2.147906            6      0
   -2.876070     1.202659     2.147906            6      0
   -4.490484     1.202659     2.147906            6      0
   -2.876070     2.817072    -1.233476            6      0
   -4.490484     2.817072    -1.233476            6      0
   -2.876070     1.202659    -1.233476            6      0
   -2.876070     3.700556     1.264422            6      0
   -4.490484     3.700556     1.264422            6      0
   -2.876070     0.319174     1.264422            6      0
   -2.876070     3.700556    -0.349991            6      0
   -4.490484     3.700556    -0.349991            6      0
   -1.992586     2.817072     1.264422            6      0
   -5.373968     2.817072     1.264422            6      0
   -1.992586     1.202659     1.264422            6      0
   -5.373968     1.202659     1.264422            6      0
   -1.992586     2.817072    -0.349991            6      0
   -5.373968     2.817072    -0.349991            6      0
   -5.373968     1.202659    -0.349991            6      0
   -2.707404     3.801309     0.457215            6      0
   -4.659150     3.801309     0.457215            6      0
   -1.891833     2.985738     0.457215            6      0
   -5.474721     2.985738     0.457215            6      0
   -1.891833     1.033992     0.457215            6      0
   -5.474721     1.033992     0.457215            6      0
   -2.707404     2.009865     2.248659            6      0
   -4.659150     2.009865     2.248659            6      0
   -2.707404     2.009865    -1.334229            6      0
   -4.659150     2.009865    -1.334229            6      0
   -1.891833     2.009865     1.433088            6      0
   -5.474721     2.009865     1.433088            6      0
   -1.891833     2.009865    -0.518658            6      0
   -5.474721     2.009865    -0.518658            6      0
   -3.683277     2.985738     2.248659            6      0
   -3.683277     1.033992     2.248659            6      0
   -3.683277     2.985738    -1.334229            6      0
   -3.683277     3.801309     1.433088            6      0
   -3.683277     3.801309    -0.518658            6      0
    1.792565     1.212546    -0.427532            6      1
   -0.247435    -0.827454    -0.427532            6      1
   -0.247435     1.212546     1.612468            6      1
   -0.247435     1.212546    -2.467532            6      1
    0.930360     0.034751     0.750262            6      1
   -1.425230     0.034751     0.750262            6      1
    0.930360     2.390340    -1.605327            6      1
   -1.425230     2.390340    -1.605327            6      1
    0.930360     0.034751    -1.605327            6      1
   -1.425230     0.034751    -1.605327            6      1
    0.130201     1.590182     1.541321            6      1
   -0.625071     1.590182     1.541321            6      1
    0.130201     0.834910     1.541321            6      1
   -0.625071     0.834910     1.541321            6      1
    0.130201     1.590182    -2.396385            6      1
   -0.625071     1.590182    -2.396385            6      1
    0.130201     0.834910    -2.396385            6      1
   -0.625071     0.834910    -2.396385            6      1
    0.130201    -0.756307    -0.049897            6      1
   -0.625071    -0.756307    -0.049897            6      1
    0.130201    -0.756307    -0.805168            6      1
   -0.625071    -0.756307    -0.805168            6      1
    1.721418     1.590182    -0.049897            6      1
    1.721418     0.834910    -0.049897            6      1
    1.721418     1.590182    -0.805168            6      1
   -2.216288     1.590182    -0.805168            6      1
    1.721418     0.834910    -0.805168            6      1
   -2.216288     0.834910    -0.805168            6      1
    1.161024    -0.195913     0.013020            6      1
   -1.655894    -0.195913     0.013020            6      1
    1.161024     2.621005    -0.868085            6      1
   -1.655894     2.621005    -0.868085            6      1
    1.161024    -0.195913    -0.868085            6      1
   -1.655894    -0.195913    -0.868085            6      1
    1.161024     1.653099     0.980927            6      1
   -1.655894     1.653099     0.980927            6      1
    1.161024     0.771993     0.980927            6      1
   -1.655894     0.771993     0.980927            6      1
    1.161024     1.653099    -1.835991            6      1
   -1.655894     1.653099    -1.835991            6      1
    1.161024     0.771993    -1.835991            6      1
   -1.655894     0.771993    -1.835991            6      1
    0.193118    -0.195913     0.980927            6      1
   -0.687988    -0.195913     0.980927            6      1
    0.193118     2.621005    -1.835991            6      1
   -0.687988     2.621005    -1.835991            6      1
    0.193118    -0.195913    -1.835991            6      1
   -0.687988    -0.195913    -1.835991            6      1
   -1.054642     2.019752     1.263158            6      1
    0.559772     0.405339     1.263158            6      1
   -1.054642     0.405339     1.263158            6      1
    0.559772     2.019752    -2.118223            6      1
   -1.054642     2.019752    -2.118223            6      1
    0.559772     0.405339    -2.118223            6      1
   -1.054642     0.405339    -2.118223            6      1
    0.559772    -0.478145     0.379674            6      1
   -1.054642    -0.478145     0.379674            6      1
   -1.054642     2.903237    -1.234739            6      1
    0.559772    -0.478145    -1.234739            6      1
   -1.054642    -0.478145    -1.234739            6      1
    1.443256     2.019752     0.379674            6      1
   -1.938126     2.019752     0.379674            6      1
    1.443256     0.405339     0.379674            6      1
   -1.938126     0.405339     0.379674            6      1
    1.443256     2.019752    -1.234739            6      1
   -1.938126     2.019752    -1.234739            6      1
    1.443256     0.405339    -1.234739            6      1
   -1.938126     0.405339    -1.234739            6      1
    0.728438    -0.578898    -0.427532            6      1
   -1.223308    -0.578898    -0.427532            6      1
    1.544009     2.188419    -0.427532            6      1
   -2.038879     2.188419    -0.427532            6      1
    1.544009     0.236673    -0.427532            6      1
   -2.038879     0.236673    -0.427532            6      1
    0.728438     1.212546     1.363912            6      1
   -1.223308     1.212546     1.363912            6      1
    0.728438     1.212546    -2.218977            6      1
   -1.223308     1.212546    -2.218977            6      1
    1.544009     1.212546     0.548340            6      1
   -2.038879     1.212546     0.548340            6      1
    1.544009     1.212546    -1.403405            6      1
   -2.038879     1.212546    -1.403405            6      1
   -0.247435     0.236673     1.363912            6      1
   -0.247435     2.188419    -2.218977            6      1
   -0.247435     0.236673    -2.218977            6      1
   -0.247435    -0.578898     0.548340            6      1
   -0.247435    -0.578898    -1.403405            6      1
   -1.289707    -0.417177    -0.373037            1      2
   -2.051809     0.140720     0.389065            1      2
   -2.051809     1.664925    -1.135139            1      2
   -2.051809     0.140720    -1.135139            1      2
   -1.534060     1.147175     0.900927            1      2
   -1.534060     0.658470     0.900927            1      2
   -1.534060     1.147175    -1.647001            1      2
   -1.534060     0.658470    -1.647001            1      2
   -1.045354    -0.371141    -0.128684            1      2
   -1.534060    -0.371141    -0.128684            1      2
   -1.045354    -0.371141    -0.617390            1      2
   -1.534060    -0.371141    -0.617390            1      2
   -2.201063    -0.008533    -0.087973            1      2
   -2.201063     1.814178    -0.658101            1      2
   -2.201063    -0.008533    -0.658101            1      2
