# Atoms array:
     x           y            z                   Z     indx
   -3.393474    -4.214997    -2.971520            6      0
   -4.161156    -2.930086    -2.564018            6      1
   -3.427416    -1.999522    -1.897204            8      2
   -5.069011    -3.306756    -1.990093            1      3
   -4.620011    -2.551271    -3.534535            1      4
   -4.237954    -5.216444    -3.758602            6      5
   -2.512743    -3.907483    -3.564476            1      6
   -3.000582    -4.684822    -2.051382            1      7
   -4.609736    -4.769213    -4.694808            1      8
   -3.672167    -6.121547    -4.026696            1      9
   -5.117537    -5.536373    -3.176503            1     10

# Gridpoints array:
     x           y            z                   Z     indx
   -1.353474    -4.214997    -2.971520            6      0
   -3.393474    -4.214997    -0.931519            6      0
   -3.393474    -4.214997    -5.011520            6      0
   -2.215680    -3.037202    -1.793725            6      0
   -2.215680    -5.392791    -1.793725            6      0
   -4.571269    -5.392791    -1.793725            6      0
   -2.215680    -3.037202    -4.149314            6      0
   -2.215680    -5.392791    -4.149314            6      0
   -3.015838    -3.837361    -1.002666            6      0
   -3.771110    -3.837361    -1.002666            6      0
   -3.015838    -4.592633    -1.002666            6      0
   -3.771110    -4.592633    -1.002666            6      0
   -3.015838    -3.837361    -4.940373            6      0
   -3.771110    -3.837361    -4.940373            6      0
   -3.015838    -4.592633    -4.940373            6      0
   -3.015838    -6.183850    -2.593884            6      0
   -3.771110    -6.183850    -2.593884            6      0
   -1.424621    -3.837361    -2.593884            6      0
   -1.424621    -4.592633    -2.593884            6      0
   -5.362327    -4.592633    -2.593884            6      0
   -1.424621    -3.837361    -3.349155            6      0
   -5.362327    -3.837361    -3.349155            6      0
   -1.424621    -4.592633    -3.349155            6      0
   -1.985015    -2.806538    -2.530967            6      0
   -1.985015    -5.623456    -2.530967            6      0
   -1.985015    -2.806538    -3.412072            6      0
   -1.985015    -5.623456    -3.412072            6      0
   -1.985015    -3.774444    -1.563061            6      0
   -1.985015    -4.655550    -1.563061            6      0
   -4.801933    -4.655550    -1.563061            6      0
   -1.985015    -3.774444    -4.379978            6      0
   -4.801933    -3.774444    -4.379978            6      0
   -1.985015    -4.655550    -4.379978            6      0
   -2.952921    -5.623456    -1.563061            6      0
   -3.834027    -5.623456    -1.563061            6      0
   -2.952921    -2.806538    -4.379978            6      0
   -3.834027    -2.806538    -4.379978            6      0
   -2.586268    -3.407790    -1.280829            6      0
   -2.586268    -5.022203    -1.280829            6      0
   -4.200681    -5.022203    -1.280829            6      0
   -2.586268    -3.407790    -4.662210            6      0
   -4.200681    -3.407790    -4.662210            6      0
   -2.586268    -5.022203    -4.662210            6      0
   -2.586268    -5.905688    -2.164313            6      0
   -4.200681    -5.905688    -2.164313            6      0
   -2.586268    -2.524306    -3.778726            6      0
   -2.586268    -5.905688    -3.778726            6      0
   -1.702783    -3.407790    -2.164313            6      0
   -1.702783    -5.022203    -2.164313            6      0
   -5.084165    -5.022203    -2.164313            6      0
   -1.702783    -3.407790    -3.778726            6      0
   -1.702783    -5.022203    -3.778726            6      0
   -2.417601    -2.423553    -2.971520            6      0
   -2.417601    -6.006441    -2.971520            6      0
   -1.602030    -3.239124    -2.971520            6      0
   -1.602030    -5.190870    -2.971520            6      0
   -2.417601    -4.214997    -1.180075            6      0
   -4.369347    -4.214997    -1.180075            6      0
   -2.417601    -4.214997    -4.762964            6      0
   -1.602030    -4.214997    -1.995647            6      0
   -1.602030    -4.214997    -3.947392            6      0
   -3.393474    -5.190870    -1.180075            6      0
   -3.393474    -3.239124    -4.762964            6      0
   -3.393474    -6.006441    -1.995647            6      0
   -3.393474    -2.423553    -3.947392            6      0
   -2.121156    -2.930086    -2.564018            6      1
   -6.201156    -2.930086    -2.564018            6      1
   -4.161156    -2.930086    -0.524018            6      1
   -4.161156    -2.930086    -4.604018            6      1
   -5.338951    -1.752292    -1.386223            6      1
   -5.338951    -4.107881    -1.386223            6      1
   -2.983362    -1.752292    -3.741812            6      1
   -5.338951    -1.752292    -3.741812            6      1
   -5.338951    -4.107881    -3.741812            6      1
   -3.783520    -2.552451    -0.595164            6      1
   -4.538792    -2.552451    -0.595164            6      1
   -3.783520    -3.307722    -0.595164            6      1
   -4.538792    -3.307722    -0.595164            6      1
   -3.783520    -2.552451    -4.532871            6      1
   -4.538792    -2.552451    -4.532871            6      1
   -3.783520    -3.307722    -4.532871            6      1
   -4.538792    -3.307722    -4.532871            6      1
   -4.538792    -0.961233    -2.186382            6      1
   -3.783520    -0.961233    -2.941653            6      1
   -4.538792    -0.961233    -2.941653            6      1
   -2.192303    -2.552451    -2.186382            6      1
   -6.130009    -2.552451    -2.186382            6      1
   -2.192303    -3.307722    -2.186382            6      1
   -6.130009    -3.307722    -2.186382            6      1
   -2.192303    -2.552451    -2.941653            6      1
   -6.130009    -2.552451    -2.941653            6      1
   -6.130009    -3.307722    -2.941653            6      1
   -5.569615    -1.521628    -2.123465            6      1
   -5.569615    -4.338545    -2.123465            6      1
   -2.752697    -1.521628    -3.004570            6      1
   -5.569615    -1.521628    -3.004570            6      1
   -5.569615    -4.338545    -3.004570            6      1
   -5.569615    -2.489534    -1.155559            6      1
   -2.752697    -3.370639    -1.155559            6      1
   -5.569615    -3.370639    -1.155559            6      1
   -2.752697    -2.489534    -3.972476            6      1
   -5.569615    -2.489534    -3.972476            6      1
   -5.569615    -3.370639    -3.972476            6      1
   -4.601709    -1.521628    -1.155559            6      1
   -3.720603    -4.338545    -1.155559            6      1
   -4.601709    -4.338545    -1.155559            6      1
   -3.720603    -1.521628    -3.972476            6      1
   -4.601709    -1.521628    -3.972476            6      1
   -4.968363    -2.122880    -0.873327            6      1
   -3.353950    -3.737293    -0.873327            6      1
   -4.968363    -3.737293    -0.873327            6      1
