# Atoms array:
     x           y            z                   Z     indx
   -3.102842    -2.934873     0.321020            6      0
   -4.569824    -3.390998     0.302059            6      1
   -2.237697    -3.887160    -0.173739            9      2
   -2.881529    -1.805516    -0.424958            9      3
   -2.650660    -2.638106     1.581093            9      4
   -5.433600    -2.478108     0.777944            8      5
   -4.519705    -4.375624     0.860190            1      6
   -4.709364    -3.702010    -0.778334            1      7

# Gridpoints array:
     x           y            z                   Z     indx
   -1.062842    -2.934873     0.321020            6      0
   -3.102842    -4.974873     0.321020            6      0
   -3.102842    -2.934873    -1.718980            6      0
   -4.280636    -1.757079     1.498815            6      0
   -1.925047    -4.112668     1.498815            6      0
   -4.280636    -1.757079    -0.856774            6      0
   -3.480478    -3.312509     2.289873            6      0
   -2.725206    -2.557237    -1.647833            6      0
   -3.480478    -2.557237    -1.647833            6      0
   -2.725206    -3.312509    -1.647833            6      0
   -3.480478    -3.312509    -1.647833            6      0
   -2.725206    -0.966020     0.698656            6      0
   -3.480478    -0.966020     0.698656            6      0
   -2.725206    -4.903726     0.698656            6      0
   -3.480478    -4.903726     0.698656            6      0
   -3.480478    -4.903726    -0.056616            6      0
   -1.133989    -2.557237     0.698656            6      0
   -1.133989    -3.312509     0.698656            6      0
   -1.133989    -2.557237    -0.056616            6      0
   -1.694383    -1.526414     0.761573            6      0
   -4.511301    -1.526414     0.761573            6      0
   -1.694383    -1.526414    -0.119533            6      0
   -4.511301    -1.526414    -0.119533            6      0
   -1.694383    -2.494320    -1.087439            6      0
   -4.511301    -2.494320    -1.087439            6      0
   -3.543395    -1.526414     1.729479            6      0
   -2.662289    -4.343332     1.729479            6      0
   -3.543395    -4.343332     1.729479            6      0
   -3.543395    -4.343332    -1.087439            6      0
   -3.910048    -2.127667     2.011711            6      0
   -2.295635    -3.742080     2.011711            6      0
   -3.910048    -3.742080     2.011711            6      0
   -3.910048    -2.127667    -1.369670            6      0
   -3.910048    -3.742080    -1.369670            6      0
   -2.295635    -1.244182     1.128227            6      0
   -3.910048    -1.244182     1.128227            6      0
   -2.295635    -4.625564     1.128227            6      0
   -3.910048    -4.625564    -0.486186            6      0
   -1.412151    -2.127667     1.128227            6      0
   -1.412151    -3.742080     1.128227            6      0
   -1.412151    -2.127667    -0.486186            6      0
   -2.126969    -1.143429     0.321020            6      0
   -4.078714    -1.143429     0.321020            6      0
   -1.311397    -1.959000     0.321020            6      0
   -4.078714    -2.934873     2.112464            6      0
   -2.126969    -2.934873    -1.470424            6      0
   -4.078714    -2.934873    -1.470424            6      0
   -1.311397    -2.934873     1.296893            6      0
   -1.311397    -2.934873    -0.654853            6      0
   -3.102842    -3.910746     2.112464            6      0
   -3.102842    -3.910746    -1.470424            6      0
   -3.102842    -1.143429     1.296893            6      0
   -3.102842    -4.726317     1.296893            6      0
   -3.102842    -4.726317    -0.654853            6      0
   -6.609824    -3.390998     0.302059            6      1
   -4.569824    -1.350998     0.302059            6      1
   -4.569824    -5.430998     0.302059            6      1
   -4.569824    -3.390998     2.342059            6      1
   -4.569824    -3.390998    -1.737941            6      1
   -3.392029    -4.568793     1.479854            6      1
   -5.747618    -4.568793     1.479854            6      1
   -5.747618    -2.213204    -0.875735            6      1
   -3.392029    -4.568793    -0.875735            6      1
   -5.747618    -4.568793    -0.875735            6      1
   -4.192188    -3.013362     2.270912            6      1
   -4.947460    -3.013362     2.270912            6      1
   -4.192188    -3.768634     2.270912            6      1
   -4.947460    -3.768634     2.270912            6      1
   -4.192188    -3.013362    -1.666794            6      1
   -4.947460    -3.013362    -1.666794            6      1
   -4.192188    -3.768634    -1.666794            6      1
   -4.947460    -3.768634    -1.666794            6      1
   -4.192188    -1.422145     0.679695            6      1
   -4.192188    -5.359851     0.679695            6      1
   -4.947460    -5.359851     0.679695            6      1
   -4.192188    -1.422145    -0.075577            6      1
   -4.947460    -1.422145    -0.075577            6      1
   -4.192188    -5.359851    -0.075577            6      1
   -4.947460    -5.359851    -0.075577            6      1
   -6.538677    -3.768634     0.679695            6      1
   -6.538677    -3.013362    -0.075577            6      1
   -6.538677    -3.768634    -0.075577            6      1
