# Atoms array:
     x           y            z                   Z     indx
   -3.787834    -3.926379    -2.832330            6      0
   -4.258715    -2.451691    -2.906229            6      1
   -3.230239    -1.562768    -2.791404            8      2
   -4.614371    -4.648341    -2.961586            1      3
   -5.380992    -2.247857    -1.846763            6      4
   -4.805964    -2.370254    -3.903755            1      5
   -3.033855    -4.120377    -3.611801            1      6
   -6.011062    -0.859618    -1.907895            6      7
   -3.314397    -4.110870    -1.851829            1      8
   -6.161957    -3.021406    -1.972175            1      9
   -4.925596    -2.408084    -0.850455            1     10
   -6.521900    -0.701855    -2.872608            1     11
   -6.749132    -0.695413    -1.107873            1     12
   -5.227830    -0.091639    -1.818259            1     13

# Gridpoints array:
     x           y            z                   Z     indx
   -1.747834    -3.926379    -2.832330            6      0
   -5.827834    -3.926379    -2.832330            6      0
   -3.787834    -5.966379    -2.832330            6      0
   -3.787834    -3.926379    -0.792330            6      0
   -3.787834    -3.926379    -4.872330            6      0
   -2.610039    -2.748585    -1.654535            6      0
   -2.610039    -5.104174    -1.654535            6      0
   -4.965629    -5.104174    -1.654535            6      0
   -2.610039    -2.748585    -4.010124            6      0
   -2.610039    -5.104174    -4.010124            6      0
   -4.965629    -5.104174    -4.010124            6      0
   -3.410198    -3.548743    -0.863477            6      0
   -4.165470    -3.548743    -0.863477            6      0
   -3.410198    -4.304015    -0.863477            6      0
   -4.165470    -4.304015    -0.863477            6      0
   -3.410198    -3.548743    -4.801183            6      0
   -4.165470    -3.548743    -4.801183            6      0
   -3.410198    -4.304015    -4.801183            6      0
   -4.165470    -4.304015    -4.801183            6      0
   -3.410198    -5.895232    -2.454694            6      0
   -4.165470    -5.895232    -2.454694            6      0
   -3.410198    -5.895232    -3.209966            6      0
   -4.165470    -5.895232    -3.209966            6      0
   -1.818981    -3.548743    -2.454694            6      0
   -1.818981    -4.304015    -2.454694            6      0
   -5.756687    -4.304015    -2.454694            6      0
   -1.818981    -3.548743    -3.209966            6      0
   -5.756687    -3.548743    -3.209966            6      0
   -1.818981    -4.304015    -3.209966            6      0
   -5.756687    -4.304015    -3.209966            6      0
   -2.379375    -2.517920    -2.391777            6      0
   -2.379375    -5.334838    -2.391777            6      0
   -5.196293    -5.334838    -2.391777            6      0
   -2.379375    -2.517920    -3.272883            6      0
   -2.379375    -5.334838    -3.272883            6      0
   -5.196293    -5.334838    -3.272883            6      0
   -2.379375    -3.485826    -1.423871            6      0
   -2.379375    -4.366932    -1.423871            6      0
   -5.196293    -4.366932    -1.423871            6      0
   -2.379375    -3.485826    -4.240789            6      0
   -5.196293    -3.485826    -4.240789            6      0
   -2.379375    -4.366932    -4.240789            6      0
   -5.196293    -4.366932    -4.240789            6      0
   -3.347281    -2.517920    -1.423871            6      0
   -3.347281    -5.334838    -1.423871            6      0
   -4.228387    -5.334838    -1.423871            6      0
   -3.347281    -2.517920    -4.240789            6      0
   -3.347281    -5.334838    -4.240789            6      0
   -4.228387    -5.334838    -4.240789            6      0
   -2.980627    -3.119173    -1.141639            6      0
   -2.980627    -4.733586    -1.141639            6      0
   -4.595040    -4.733586    -1.141639            6      0
   -2.980627    -3.119173    -4.523021            6      0
   -4.595040    -3.119173    -4.523021            6      0
   -2.980627    -4.733586    -4.523021            6      0
   -4.595040    -4.733586    -4.523021            6      0
   -2.980627    -5.617070    -2.025123            6      0
   -4.595040    -5.617070    -2.025123            6      0
   -2.980627    -5.617070    -3.639536            6      0
   -4.595040    -5.617070    -3.639536            6      0
   -2.097143    -3.119173    -2.025123            6      0
   -2.097143    -4.733586    -2.025123            6      0
   -5.478525    -4.733586    -2.025123            6      0
   -2.097143    -3.119173    -3.639536            6      0
   -2.097143    -4.733586    -3.639536            6      0
   -5.478525    -4.733586    -3.639536            6      0
   -2.811961    -5.717823    -2.832330            6      0
   -4.763707    -5.717823    -2.832330            6      0
   -1.996390    -2.950506    -2.832330            6      0
   -1.996390    -4.902252    -2.832330            6      0
   -5.579278    -4.902252    -2.832330            6      0
   -2.811961    -3.926379    -1.040886            6      0
   -4.763707    -3.926379    -1.040886            6      0
   -2.811961    -3.926379    -4.623774            6      0
   -4.763707    -3.926379    -4.623774            6      0
   -1.996390    -3.926379    -1.856457            6      0
   -5.579278    -3.926379    -1.856457            6      0
   -1.996390    -3.926379    -3.808203            6      0
   -5.579278    -3.926379    -3.808203            6      0
   -3.787834    -2.950506    -1.040886            6      0
   -3.787834    -4.902252    -1.040886            6      0
   -3.787834    -2.950506    -4.623774            6      0
   -3.787834    -4.902252    -4.623774            6      0
   -3.787834    -5.717823    -1.856457            6      0
   -3.787834    -5.717823    -3.808203            6      0
   -4.258715    -0.411691    -2.906229            6      1
   -4.258715    -2.451691    -4.946229            6      1
