# Atoms array:
     x           y            z                   Z     indx
   -4.059192    -1.935299     1.933084            6      0
   -3.761091    -2.416517     0.661557            6      1
   -7.443978    -3.949866     2.820626           17      2
   -5.205469    -2.359963     2.696749            6      3
   -3.409582    -1.193004     2.406777            1      4
   -4.581852    -3.367246     0.036999            6      5
   -2.871700    -2.044950     0.144597            1      6
   -5.713373    -3.823921     0.725684            6      7
   -4.353127    -3.748194    -0.958988            1      8
   -6.005533    -3.339090     1.996356            6      9
   -6.375746    -4.564402     0.271886            1     10
   -5.477588    -1.913042     3.866330            8     11

# Gridpoints array:
     x           y            z                   Z     indx
   -2.019192    -1.935299     1.933084            6      0
   -4.059192     0.104701     1.933084            6      0
   -4.059192    -3.975299     1.933084            6      0
   -2.881397    -0.757504     3.110879            6      0
   -2.881397    -3.113093     3.110879            6      0
   -2.881397    -0.757504     0.755290            6      0
   -5.236986    -0.757504     0.755290            6      0
   -3.681556    -1.557663     3.901937            6      0
   -3.681556    -2.312935     3.901937            6      0
   -3.681556     0.033554     2.310720            6      0
   -4.436827     0.033554     2.310720            6      0
   -3.681556    -3.904152     2.310720            6      0
   -4.436827    -3.904152     2.310720            6      0
   -3.681556     0.033554     1.555448            6      0
   -4.436827     0.033554     1.555448            6      0
   -3.681556    -3.904152     1.555448            6      0
   -2.090339    -1.557663     2.310720            6      0
   -2.090339    -2.312935     2.310720            6      0
   -2.090339    -1.557663     1.555448            6      0
   -2.090339    -2.312935     1.555448            6      0
   -2.650733    -0.526840     2.373637            6      0
   -5.467651    -0.526840     2.373637            6      0
   -2.650733    -3.343758     2.373637            6      0
   -2.650733    -0.526840     1.492531            6      0
   -5.467651    -0.526840     1.492531            6      0
   -2.650733    -3.343758     1.492531            6      0
   -2.650733    -1.494746     3.341543            6      0
   -2.650733    -2.375852     3.341543            6      0
   -5.467651    -1.494746     0.524625            6      0
   -3.618639    -0.526840     3.341543            6      0
   -4.499744    -0.526840     3.341543            6      0
   -3.618639    -3.343758     3.341543            6      0
   -3.618639    -0.526840     0.524625            6      0
   -4.499744    -0.526840     0.524625            6      0
   -3.251985    -1.128092     3.623775            6      0
   -3.251985    -2.742505     3.623775            6      0
   -4.866398    -1.128092     0.242394            6      0
   -3.251985    -0.244608     2.740291            6      0
   -4.866398    -0.244608     2.740291            6      0
   -3.251985    -3.625989     2.740291            6      0
   -3.251985    -0.244608     1.125878            6      0
   -4.866398    -0.244608     1.125878            6      0
   -2.368501    -1.128092     2.740291            6      0
   -2.368501    -2.742505     2.740291            6      0
   -2.368501    -1.128092     1.125878            6      0
   -5.749882    -1.128092     1.125878            6      0
   -3.083319    -0.143854     1.933084            6      0
   -5.035064    -0.143854     1.933084            6      0
   -3.083319    -3.726743     1.933084            6      0
   -2.267747    -0.959426     1.933084            6      0
   -5.850636    -0.959426     1.933084            6      0
   -2.267747    -2.911171     1.933084            6      0
   -3.083319    -1.935299     3.724529            6      0
   -2.267747    -1.935299     2.908957            6      0
   -5.850636    -1.935299     0.957212            6      0
   -4.059192    -0.959426     3.724529            6      0
   -4.059192    -2.911171     3.724529            6      0
   -4.059192    -0.959426     0.141640            6      0
   -4.059192    -0.143854     2.908957            6      0
   -4.059192    -3.726743     2.908957            6      0
   -4.059192    -0.143854     0.957212            6      0
   -1.721091    -2.416517     0.661557            6      1
   -3.761091    -0.376517     0.661557            6      1
   -3.761091    -2.416517    -1.378443            6      1
   -2.583297    -3.594312     1.839351            6      1
   -2.583297    -1.238723    -0.516238            6      1
   -4.938886    -1.238723    -0.516238            6      1
   -2.583297    -3.594312    -0.516238            6      1
   -3.383456    -2.038881    -1.307296            6      1
   -4.138727    -2.038881    -1.307296            6      1
   -3.383456    -2.794153    -1.307296            6      1
   -3.383456    -0.447664     1.039193            6      1
   -4.138727    -0.447664     1.039193            6      1
