# Atoms array:
     x           y            z                   Z     indx
   -4.474167    -3.754388    -3.182950            6      0
   -3.482399    -2.736579    -2.648954            6      1
   -4.043743    -1.695798    -1.618509            6      2
   -3.155881    -0.844978    -1.133455            8      3
   -5.401477    -3.121477    -4.059811            8      4
   -6.383475    -4.009790    -4.537449            6      5
   -5.939188    -4.863077    -5.108276            1      6
   -6.995047    -4.447785    -3.709909            1      7
   -7.058231    -3.447986    -5.213915            1      8
   -3.959568    -4.590729    -3.722748            1      9
   -5.026992    -4.227842    -2.328388            1     10
   -2.646222    -3.274034    -2.146351            1     11
   -3.021681    -2.177826    -3.496504            1     12
   -4.965103    -1.239121    -2.166349            1     13
   -4.595171    -2.386013    -0.844170            1     14

# Gridpoints array:
     x           y            z                   Z     indx
   -4.474167    -5.794388    -3.182950            6      0
   -4.474167    -3.754388    -1.142950            6      0
   -4.474167    -3.754388    -5.222950            6      0
   -5.651962    -2.576594    -2.005156            6      0
   -3.296372    -4.932183    -2.005156            6      0
   -5.651962    -4.932183    -2.005156            6      0
   -3.296372    -2.576594    -4.360745            6      0
   -3.296372    -4.932183    -4.360745            6      0
   -4.851803    -3.376752    -1.214097            6      0
   -4.096531    -4.132024    -1.214097            6      0
   -4.851803    -4.132024    -1.214097            6      0
   -4.096531    -3.376752    -5.151803            6      0
   -4.096531    -4.132024    -5.151803            6      0
   -4.096531    -5.723241    -2.805314            6      0
   -4.851803    -5.723241    -2.805314            6      0
   -4.851803    -1.785535    -3.560586            6      0
   -4.096531    -5.723241    -3.560586            6      0
   -4.851803    -5.723241    -3.560586            6      0
   -6.443020    -3.376752    -2.805314            6      0
   -2.505314    -4.132024    -2.805314            6      0
   -6.443020    -4.132024    -2.805314            6      0
   -2.505314    -4.132024    -3.560586            6      0
   -5.882626    -2.345929    -2.742397            6      0
   -3.065708    -5.162847    -2.742397            6      0
   -5.882626    -5.162847    -2.742397            6      0
   -3.065708    -5.162847    -3.623503            6      0
   -5.882626    -5.162847    -3.623503            6      0
   -5.882626    -3.313835    -1.774491            6      0
   -3.065708    -4.194941    -1.774491            6      0
   -5.882626    -4.194941    -1.774491            6      0
   -3.065708    -3.313835    -4.591409            6      0
   -3.065708    -4.194941    -4.591409            6      0
   -4.033614    -5.162847    -1.774491            6      0
   -4.914720    -5.162847    -1.774491            6      0
   -4.033614    -2.345929    -4.591409            6      0
   -4.033614    -5.162847    -4.591409            6      0
   -4.914720    -5.162847    -4.591409            6      0
   -5.281374    -2.947182    -1.492259            6      0
   -3.666960    -4.561595    -1.492259            6      0
   -5.281374    -4.561595    -1.492259            6      0
   -3.666960    -2.947182    -4.873641            6      0
   -3.666960    -4.561595    -4.873641            6      0
   -3.666960    -5.445079    -2.375744            6      0
   -5.281374    -5.445079    -2.375744            6      0
   -3.666960    -5.445079    -3.990157            6      0
   -5.281374    -5.445079    -3.990157            6      0
   -6.164858    -2.947182    -2.375744            6      0
   -2.783476    -4.561595    -2.375744            6      0
   -6.164858    -4.561595    -2.375744            6      0
   -2.783476    -4.561595    -3.990157            6      0
   -5.450040    -1.962944    -3.182950            6      0
   -3.498294    -5.545832    -3.182950            6      0
   -5.450040    -5.545832    -3.182950            6      0
   -2.682723    -4.730261    -3.182950            6      0
   -3.498294    -3.754388    -1.391506            6      0
   -5.450040    -3.754388    -1.391506            6      0
   -3.498294    -3.754388    -4.974394            6      0
   -6.265611    -3.754388    -2.207077            6      0
   -2.682723    -3.754388    -4.158823            6      0
   -4.474167    -4.730261    -1.391506            6      0
   -4.474167    -2.778515    -4.974394            6      0
   -4.474167    -4.730261    -4.974394            6      0
   -4.474167    -5.545832    -2.207077            6      0
   -4.474167    -1.962944    -4.158823            6      0
   -4.474167    -5.545832    -4.158823            6      0
   -1.442399    -2.736579    -2.648954            6      1
   -3.482399    -2.736579    -4.688954            6      1
   -2.304605    -3.914373    -1.471159            6      1
   -4.660194    -3.914373    -1.471159            6      1
   -2.304605    -1.558784    -3.826748            6      1
   -4.660194    -1.558784    -3.826748            6      1
   -2.304605    -3.914373    -3.826748            6      1
   -3.104764    -3.114214    -0.680100            6      1
   -3.860035    -3.114214    -0.680100            6      1
   -3.104764    -2.358943    -4.617807            6      1
   -3.860035    -2.358943    -4.617807            6      1
   -3.104764    -3.114214    -4.617807            6      1
   -3.860035    -3.114214    -4.617807            6      1
   -3.104764    -4.705432    -2.271318            6      1
   -3.104764    -0.767725    -3.026589            6      1
