# Atoms array:
     x           y            z                   Z     indx
   -4.067769    -1.939725     1.937633            6      0
   -3.776839    -2.415330     0.681295            6      1
   -7.231645    -3.897670     2.622662            7      2
   -5.219820    -2.363852     2.716651            6      3
   -3.423879    -1.198345     2.417483            1      4
   -4.612231    -3.377288     0.058591            6      5
   -2.891264    -2.047973     0.155702            1      6
   -5.725686    -3.829344     0.733822            6      7
   -4.380069    -3.754412    -0.937779            1      8
   -6.052899    -3.356974     2.026908            6      9
   -6.387856    -4.567542     0.283411            1     10
   -5.421788    -1.884210     3.869478            8     11
   -7.897978    -4.761690     1.989635            8     12
   -7.595076    -3.516123     3.757441            8     13

# Gridpoints array:
     x           y            z                   Z     indx
   -2.027769    -1.939725     1.937633            6      0
   -4.067769     0.100275     1.937633            6      0
   -4.067769    -3.979725     1.937633            6      0
   -2.889975    -0.761930     3.115427            6      0
   -2.889975    -3.117519     3.115427            6      0
   -2.889975    -0.761930     0.759838            6      0
   -5.245564    -0.761930     0.759838            6      0
   -3.690133    -1.562089     3.906486            6      0
   -3.690133    -2.317361     3.906486            6      0
   -3.690133     0.029128     2.315269            6      0
   -4.445405     0.029128     2.315269            6      0
   -3.690133    -3.908578     2.315269            6      0
   -4.445405    -3.908578     2.315269            6      0
   -3.690133     0.029128     1.559997            6      0
   -4.445405     0.029128     1.559997            6      0
   -3.690133    -3.908578     1.559997            6      0
   -2.098916    -1.562089     2.315269            6      0
   -2.098916    -2.317361     2.315269            6      0
   -2.098916    -1.562089     1.559997            6      0
   -6.036622    -1.562089     1.559997            6      0
   -2.098916    -2.317361     1.559997            6      0
   -2.659310    -0.531266     2.378186            6      0
   -5.476228    -0.531266     2.378186            6      0
   -2.659310    -3.348184     2.378186            6      0
   -2.659310    -0.531266     1.497080            6      0
   -5.476228    -0.531266     1.497080            6      0
   -2.659310    -3.348184     1.497080            6      0
   -2.659310    -1.499172     3.346092            6      0
   -2.659310    -2.380278     3.346092            6      0
   -5.476228    -1.499172     0.529174            6      0
   -3.627216    -0.531266     3.346092            6      0
   -4.508322    -0.531266     3.346092            6      0
   -3.627216    -3.348184     3.346092            6      0
   -3.627216    -0.531266     0.529174            6      0
   -4.508322    -0.531266     0.529174            6      0
   -3.260563    -1.132518     3.628323            6      0
   -3.260563    -2.746931     3.628323            6      0
   -4.874976    -1.132518     0.246942            6      0
   -3.260563    -0.249034     2.744839            6      0
   -4.874976    -0.249034     2.744839            6      0
   -3.260563    -3.630416     2.744839            6      0
   -3.260563    -0.249034     1.130426            6      0
   -4.874976    -0.249034     1.130426            6      0
   -2.377079    -1.132518     2.744839            6      0
   -2.377079    -2.746931     2.744839            6      0
   -2.377079    -1.132518     1.130426            6      0
   -5.758460    -1.132518     1.130426            6      0
   -3.091896    -0.148281     1.937633            6      0
   -5.043642    -0.148281     1.937633            6      0
   -3.091896    -3.731169     1.937633            6      0
   -2.276325    -0.963852     1.937633            6      0
   -5.859213    -0.963852     1.937633            6      0
   -2.276325    -2.915598     1.937633            6      0
   -3.091896    -1.939725     3.729077            6      0
   -2.276325    -1.939725     2.913505            6      0
   -5.859213    -1.939725     0.961760            6      0
   -4.067769    -0.963852     3.729077            6      0
   -4.067769    -2.915598     3.729077            6      0
   -4.067769    -0.963852     0.146188            6      0
   -4.067769    -0.148281     2.913505            6      0
   -4.067769    -3.731169     2.913505            6      0
   -4.067769    -0.148281     0.961760            6      0
   -1.736839    -2.415330     0.681295            6      1
   -3.776839    -0.375330     0.681295            6      1
   -3.776839    -2.415330    -1.358705            6      1
   -2.599044    -3.593125     1.859090            6      1
   -2.599044    -1.237536    -0.496499            6      1
   -4.954633    -1.237536    -0.496499            6      1
   -2.599044    -3.593125    -0.496499            6      1
   -3.399203    -2.037694    -1.287558            6      1
   -4.154474    -2.037694    -1.287558            6      1
   -3.399203    -2.792966    -1.287558            6      1
   -3.399203    -0.446477     1.058931            6      1
   -4.154474    -0.446477     1.058931            6      1
   -3.399203    -4.384183     1.058931            6      1
   -3.399203    -0.446477     0.303659            6      1
   -4.154474    -0.446477     0.303659            6      1
   -3.399203    -4.384183     0.303659            6      1
   -1.807986    -2.037694     1.058931            6      1
   -1.807986    -2.792966     1.058931            6      1
   -1.807986    -2.037694     0.303659            6      1
   -5.745692    -2.037694     0.303659            6      1
   -1.807986    -2.792966     0.303659            6      1
   -2.368380    -1.006871     1.121848            6      1
   -5.185298    -1.006871     1.121848            6      1
   -2.368380    -3.823789     1.121848            6      1
   -2.368380    -1.006871     0.240742            6      1
   -5.185298    -1.006871     0.240742            6      1
   -2.368380    -3.823789     0.240742            6      1
   -2.368380    -1.974777     2.089754            6      1
   -2.368380    -2.855883     2.089754            6      1
   -2.368380    -1.974777    -0.727164            6      1
   -5.185298    -1.974777    -0.727164            6      1
   -2.368380    -2.855883    -0.727164            6      1
   -3.336286    -3.823789     2.089754            6      1
   -4.217391    -3.823789     2.089754            6      1
   -3.336286    -1.006871    -0.727164            6      1
   -4.217391    -1.006871    -0.727164            6      1
   -2.969632    -3.222537     2.371986            6      1
   -2.969632    -1.608124    -1.009396            6      1
   -4.584045    -1.608124    -1.009396            6      1
   -2.969632    -3.222537    -1.009396            6      1
   -2.969632    -0.724639     1.488502            6      1
   -2.969632    -4.106021     1.488502            6      1
   -2.969632    -0.724639    -0.125911            6      1
   -4.584045    -0.724639    -0.125911            6      1
   -2.969632    -4.106021    -0.125911            6      1
   -2.086148    -1.608124     1.488502            6      1
   -2.086148    -3.222537     1.488502            6      1
   -2.086148    -1.608124    -0.125911            6      1
   -5.467529    -1.608124    -0.125911            6      1
   -2.086148    -3.222537    -0.125911            6      1
   -2.800966    -0.623886     0.681295            6      1
   -4.752711    -0.623886     0.681295            6      1
   -2.800966    -4.206774     0.681295            6      1
   -1.985394    -1.439457     0.681295            6      1
   -5.568283    -1.439457     0.681295            6      1
   -1.985394    -3.391203     0.681295            6      1
   -2.800966    -2.415330    -1.110149            6      1
   -4.752711    -2.415330    -1.110149            6      1
   -1.985394    -2.415330     1.657168            6      1
   -1.985394    -2.415330    -0.294578            6      1
   -3.776839    -1.439457    -1.110149            6      1
   -3.776839    -4.206774     1.657168            6      1
   -3.776839    -0.623886    -0.294578            6      1
   -9.091645    -3.897670     2.622662            7      2
   -7.231645    -2.037670     2.622662            7      2
   -6.157774    -4.971541     3.696534            7      2
   -8.305517    -4.971541     3.696534            7      2
   -8.305517    -2.823798     1.548791            7      2
   -7.575960    -3.553355     0.827532            7      2
   -7.575960    -2.102539     2.966977            7      2
   -6.887330    -5.692801     2.966977            7      2
   -7.575960    -5.692801     2.966977            7      2
   -7.575960    -2.102539     2.278347            7      2
   -6.887330    -5.692801     2.278347            7      2
   -9.026776    -3.553355     2.966977            7      2
   -9.026776    -4.241985     2.966977            7      2
   -9.026776    -3.553355     2.278347            7      2
   -8.515829    -2.613487     3.024343            7      2
   -5.947462    -5.181853     3.024343            7      2
   -8.515829    -2.613487     2.220982            7      2
   -5.947462    -5.181853     2.220982            7      2
   -5.947462    -3.495989     3.906846            7      2
   -5.947462    -4.299350     3.906846            7      2
   -8.515829    -3.495989     1.338479            7      2
   -6.829965    -5.181853     3.906846            7      2
   -7.633326    -5.181853     3.906846            7      2
   -7.633326    -2.613487     1.338479            7      2
   -6.495663    -4.633652     4.164175            7      2
   -7.967628    -3.161687     1.081150            7      2
   -6.495663    -5.439182     3.358645            7      2
   -7.967628    -5.439182     3.358645            7      2
   -7.967628    -2.356158     1.886680            7      2
   -6.495663    -5.439182     1.886680            7      2
   -5.690133    -4.633652     3.358645            7      2
   -8.773158    -4.633652     3.358645            7      2
   -8.773158    -3.161687     1.886680            7      2
   -8.121412    -2.264294     2.622662            7      2
   -6.341879    -5.531045     2.622662            7      2
   -8.865021    -3.007903     2.622662            7      2
   -5.598270    -4.787436     2.622662            7      2
   -6.341879    -3.897670     4.256038            7      2
   -8.121412    -3.897670     0.989287            7      2
   -8.865021    -3.897670     3.512429            7      2
   -7.231645    -4.787436     4.256038            7      2
   -7.231645    -5.531045     3.512429            7      2
   -7.231645    -2.264294     1.732896            7      2
   -5.219820    -0.323852     2.716651            6      3
   -4.042025    -1.186057     3.894446            6      3
   -4.042025    -3.541646     3.894446            6      3
