# Atoms array:
     x           y            z                   Z     indx
   -6.296657    -3.525158     2.048291            6      0
   -6.015607    -4.021422     0.771357            6      1
   -9.368415    -5.315134     2.922480            8      2
   -7.645127    -3.560763     3.792439            1      3
   -6.863230    -5.009498     0.119362            6      4
   -5.128540    -3.674901     0.213588            1      5
   -8.011462    -5.417066     0.913182            6      6
   -6.621554    -5.478502    -1.044061            8      7
   -8.274421    -4.907347     2.192714            6      8
   -8.695077    -6.165938     0.472754            1      9
   -7.421001    -3.948724     2.787970            6     10
   -5.619465    -2.776983     2.496963            1     11
   -9.853135    -5.972586     2.385625            1     12

# Gridpoints array:
     x           y            z                   Z     indx
   -4.256657    -3.525158     2.048291            6      0
   -6.296657    -1.485158     2.048291            6      0
   -6.296657    -5.565158     2.048291            6      0
   -6.296657    -3.525158     4.088291            6      0
   -5.118863    -2.347363     3.226086            6      0
   -7.474452    -2.347363     3.226086            6      0
   -5.118863    -4.702952     3.226086            6      0
   -5.118863    -2.347363     0.870497            6      0
   -7.474452    -2.347363     0.870497            6      0
   -5.919021    -3.147522     4.017145            6      0
   -5.919021    -3.902794     4.017145            6      0
   -5.919021    -1.556305     2.425927            6      0
   -6.674293    -1.556305     2.425927            6      0
   -5.919021    -5.494011     2.425927            6      0
   -6.674293    -5.494011     2.425927            6      0
   -5.919021    -1.556305     1.670656            6      0
   -6.674293    -1.556305     1.670656            6      0
   -5.919021    -5.494011     1.670656            6      0
   -4.327804    -3.147522     2.425927            6      0
   -4.327804    -3.902794     2.425927            6      0
   -4.327804    -3.147522     1.670656            6      0
   -4.327804    -3.902794     1.670656            6      0
   -4.888198    -2.116699     2.488844            6      0
   -7.705116    -2.116699     2.488844            6      0
   -4.888198    -4.933617     2.488844            6      0
   -4.888198    -2.116699     1.607739            6      0
   -7.705116    -2.116699     1.607739            6      0
   -4.888198    -4.933617     1.607739            6      0
   -4.888198    -3.084605     3.456750            6      0
   -4.888198    -3.965711     3.456750            6      0
   -7.705116    -3.084605     0.639833            6      0
   -5.856104    -2.116699     3.456750            6      0
   -6.737210    -2.116699     3.456750            6      0
   -5.856104    -4.933617     3.456750            6      0
   -5.856104    -2.116699     0.639833            6      0
   -6.737210    -2.116699     0.639833            6      0
   -5.489451    -2.717951     3.738982            6      0
   -5.489451    -4.332364     3.738982            6      0
   -7.103864    -2.717951     0.357601            6      0
   -5.489451    -1.834467     2.855498            6      0
   -7.103864    -1.834467     2.855498            6      0
   -5.489451    -5.215849     2.855498            6      0
   -5.489451    -1.834467     1.241085            6      0
   -7.103864    -1.834467     1.241085            6      0
   -4.605967    -2.717951     2.855498            6      0
   -4.605967    -4.332364     2.855498            6      0
   -4.605967    -2.717951     1.241085            6      0
   -7.987348    -2.717951     1.241085            6      0
   -5.320785    -1.733714     2.048291            6      0
   -7.272530    -1.733714     2.048291            6      0
   -5.320785    -5.316602     2.048291            6      0
   -4.505213    -2.549285     2.048291            6      0
   -8.088102    -2.549285     2.048291            6      0
   -4.505213    -4.501031     2.048291            6      0
   -5.320785    -3.525158     3.839736            6      0
   -4.505213    -3.525158     3.024164            6      0
   -4.505213    -3.525158     1.072419            6      0
   -8.088102    -3.525158     1.072419            6      0
   -6.296657    -2.549285     3.839736            6      0
   -6.296657    -4.501031     3.839736            6      0
   -6.296657    -2.549285     0.256847            6      0
   -6.296657    -1.733714     3.024164            6      0
   -6.296657    -5.316602     3.024164            6      0
   -6.296657    -1.733714     1.072419            6      0
   -3.975607    -4.021422     0.771357            6      1
   -6.015607    -1.981422     0.771357            6      1
   -6.015607    -4.021422    -1.268643            6      1
   -4.837812    -5.199217     1.949152            6      1
   -4.837812    -2.843628    -0.406437            6      1
   -7.193401    -2.843628    -0.406437            6      1
   -4.837812    -5.199217    -0.406437            6      1
   -5.637971    -3.643786    -1.197496            6      1
   -6.393242    -3.643786    -1.197496            6      1
   -5.637971    -4.399058    -1.197496            6      1
   -5.637971    -2.052569     1.148993            6      1
   -6.393242    -2.052569     1.148993            6      1
   -5.637971    -5.990275     1.148993            6      1
   -5.637971    -2.052569     0.393721            6      1
   -6.393242    -2.052569     0.393721            6      1
   -5.637971    -5.990275     0.393721            6      1
   -4.046754    -3.643786     1.148993            6      1
   -4.046754    -4.399058     1.148993            6      1
   -4.046754    -3.643786     0.393721            6      1
   -7.984460    -3.643786     0.393721            6      1
   -4.046754    -4.399058     0.393721            6      1
   -4.607148    -2.612963     1.211910            6      1
   -7.424066    -2.612963     1.211910            6      1
   -4.607148    -5.429881     1.211910            6      1
   -4.607148    -2.612963     0.330804            6      1
   -7.424066    -2.612963     0.330804            6      1
   -4.607148    -5.429881     0.330804            6      1
   -4.607148    -3.580869     2.179816            6      1
   -4.607148    -4.461975     2.179816            6      1
   -4.607148    -3.580869    -0.637102            6      1
   -7.424066    -3.580869    -0.637102            6      1
   -4.607148    -4.461975    -0.637102            6      1
   -5.575054    -5.429881     2.179816            6      1
   -6.456159    -5.429881     2.179816            6      1
   -5.575054    -2.612963    -0.637102            6      1
   -6.456159    -2.612963    -0.637102            6      1
   -5.208400    -4.828629     2.462048            6      1
   -5.208400    -3.214216    -0.919334            6      1
   -6.822813    -3.214216    -0.919334            6      1
   -5.208400    -4.828629    -0.919334            6      1
   -5.208400    -2.330731     1.578564            6      1
   -5.208400    -5.712113     1.578564            6      1
   -5.208400    -2.330731    -0.035849            6      1
   -6.822813    -2.330731    -0.035849            6      1
   -5.208400    -5.712113    -0.035849            6      1
   -4.324916    -3.214216     1.578564            6      1
   -4.324916    -4.828629     1.578564            6      1
   -4.324916    -3.214216    -0.035849            6      1
   -7.706297    -3.214216    -0.035849            6      1
   -4.324916    -4.828629    -0.035849            6      1
   -5.039734    -2.229978     0.771357            6      1
   -6.991479    -2.229978     0.771357            6      1
   -5.039734    -5.812866     0.771357            6      1
   -4.224162    -3.045549     0.771357            6      1
   -7.807051    -3.045549     0.771357            6      1
   -4.224162    -4.997295     0.771357            6      1
   -5.039734    -4.021422    -1.020087            6      1
   -4.224162    -4.021422     1.747230            6      1
   -4.224162    -4.021422    -0.204516            6      1
   -6.015607    -3.045549    -1.020087            6      1
   -6.015607    -5.812866     1.747230            6      1
   -6.015607    -2.229978    -0.204516            6      1
  -11.192415    -5.315134     2.922480            8      2
   -9.368415    -3.491134     2.922480            8      2
   -9.368415    -7.139134     2.922480            8      2
   -9.368415    -5.315134     4.746480            8      2
  -10.421502    -4.262047     3.975567            8      2
   -8.315329    -6.368221     3.975567            8      2
  -10.421502    -6.368221     3.975567            8      2
  -10.421502    -4.262047     1.869393            8      2
  -10.421502    -6.368221     1.869393            8      2
   -9.030764    -4.977483     4.682866            8      2
   -9.706066    -4.977483     4.682866            8      2
   -9.030764    -5.652785     4.682866            8      2
   -9.706066    -5.652785     4.682866            8      2
   -9.706066    -4.977483     1.162094            8      2
   -9.706066    -5.652785     1.162094            8      2
   -9.030764    -3.554747     3.260131            8      2
   -9.706066    -3.554747     3.260131            8      2
   -9.030764    -7.075520     3.260131            8      2
   -9.706066    -7.075520     3.260131            8      2
   -9.706066    -3.554747     2.584829            8      2
   -9.030764    -7.075520     2.584829            8      2
   -9.706066    -7.075520     2.584829            8      2
  -11.128802    -4.977483     3.260131            8      2
  -11.128802    -5.652785     3.260131            8      2
  -11.128802    -4.977483     2.584829            8      2
  -11.128802    -5.652785     2.584829            8      2
  -10.627743    -4.055806     3.316386            8      2
   -8.109087    -6.574462     3.316386            8      2
  -10.627743    -6.574462     3.316386            8      2
  -10.627743    -4.055806     2.528574            8      2
   -8.109087    -6.574462     2.528574            8      2
  -10.627743    -6.574462     2.528574            8      2
   -8.109087    -4.921228     4.181808            8      2
  -10.627743    -4.921228     4.181808            8      2
   -8.109087    -5.709040     4.181808            8      2
  -10.627743    -5.709040     4.181808            8      2
  -10.627743    -4.921228     1.663152            8      2
  -10.627743    -5.709040     1.663152            8      2
   -8.974509    -4.055806     4.181808            8      2
   -9.762322    -4.055806     4.181808            8      2
   -8.974509    -6.574462     4.181808            8      2
   -9.762322    -6.574462     4.181808            8      2
   -9.762322    -4.055806     1.663152            8      2
   -8.974509    -6.574462     1.663152            8      2
   -9.762322    -6.574462     1.663152            8      2
   -8.646678    -4.593396     4.434157            8      2
  -10.090153    -4.593396     4.434157            8      2
   -8.646678    -6.036871     4.434157            8      2
  -10.090153    -6.036871     4.434157            8      2
  -10.090153    -4.593396     1.410804            8      2
  -10.090153    -6.036871     1.410804            8      2
  -10.090153    -3.803457     3.644218            8      2
   -8.646678    -6.826810     3.644218            8      2
  -10.090153    -6.826810     3.644218            8      2
  -10.090153    -3.803457     2.200743            8      2
   -8.646678    -6.826810     2.200743            8      2
  -10.090153    -6.826810     2.200743            8      2
