# Atoms array:
     x           y            z                   Z     indx
   -4.861083    -2.654643     2.212444            6      0
   -5.976721    -3.121367     3.108865            6      1
   -5.153576    -1.833261     1.526762            1      2
   -4.001475    -2.285271     2.793255            1      3
   -4.490791    -3.465096     1.557817            1      4
   -7.037199    -3.876367     2.645018            6      5
   -5.951939    -2.837379     4.164499            1      6
   -7.902805    -3.870400     4.640916            1      7
   -8.114896    -4.304550     3.649954            6      8
   -9.083704    -3.888661     3.315391            1      9
   -8.249107    -5.827078     3.765292            6     10
   -7.198865    -4.266168     1.414643            8     11
   -7.324516    -6.271486     4.167033            1     12
   -9.079303    -6.118633     4.426678            1     13
   -8.431992    -6.269107     2.774759            1     14

# Gridpoints array:
     x           y            z                   Z     indx
   -2.821083    -2.654643     2.212444            6      0
   -4.861083    -0.614643     2.212444            6      0
   -4.861083    -4.694643     2.212444            6      0
   -4.861083    -2.654643     0.172444            6      0
   -3.683288    -1.476849     3.390238            6      0
   -6.038878    -1.476849     3.390238            6      0
   -3.683288    -3.832438     3.390238            6      0
   -3.683288    -1.476849     1.034649            6      0
   -6.038878    -1.476849     1.034649            6      0
   -3.683288    -3.832438     1.034649            6      0
   -4.483447    -2.277008     4.181297            6      0
   -4.483447    -3.032279     4.181297            6      0
   -4.483447    -2.277008     0.243591            6      0
   -5.238719    -2.277008     0.243591            6      0
   -4.483447    -3.032279     0.243591            6      0
   -5.238719    -3.032279     0.243591            6      0
   -4.483447    -0.685790     2.590080            6      0
   -5.238719    -0.685790     2.590080            6      0
   -4.483447    -4.623496     2.590080            6      0
   -5.238719    -4.623496     2.590080            6      0
   -4.483447    -0.685790     1.834808            6      0
   -5.238719    -0.685790     1.834808            6      0
   -4.483447    -4.623496     1.834808            6      0
   -5.238719    -4.623496     1.834808            6      0
   -2.892230    -2.277008     2.590080            6      0
   -2.892230    -3.032279     2.590080            6      0
   -2.892230    -2.277008     1.834808            6      0
   -6.829936    -2.277008     1.834808            6      0
   -2.892230    -3.032279     1.834808            6      0
   -3.452624    -1.246184     2.652996            6      0
   -6.269542    -1.246184     2.652996            6      0
   -3.452624    -4.063102     2.652996            6      0
   -3.452624    -1.246184     1.771891            6      0
   -6.269542    -1.246184     1.771891            6      0
   -3.452624    -4.063102     1.771891            6      0
   -3.452624    -2.214091     3.620903            6      0
   -3.452624    -3.095196     3.620903            6      0
   -3.452624    -2.214091     0.803985            6      0
   -6.269542    -2.214091     0.803985            6      0
   -3.452624    -3.095196     0.803985            6      0
   -6.269542    -3.095196     0.803985            6      0
   -4.420530    -1.246184     3.620903            6      0
   -5.301636    -1.246184     3.620903            6      0
   -4.420530    -4.063102     3.620903            6      0
   -4.420530    -1.246184     0.803985            6      0
   -5.301636    -1.246184     0.803985            6      0
   -4.420530    -4.063102     0.803985            6      0
   -5.301636    -4.063102     0.803985            6      0
   -4.053877    -1.847437     3.903134            6      0
   -4.053877    -3.461850     3.903134            6      0
   -4.053877    -1.847437     0.521753            6      0
   -5.668290    -1.847437     0.521753            6      0
   -4.053877    -3.461850     0.521753            6      0
   -5.668290    -3.461850     0.521753            6      0
   -4.053877    -0.963953     3.019650            6      0
   -5.668290    -0.963953     3.019650            6      0
   -4.053877    -4.345334     3.019650            6      0
   -4.053877    -0.963953     1.405237            6      0
   -5.668290    -0.963953     1.405237            6      0
   -4.053877    -4.345334     1.405237            6      0
   -5.668290    -4.345334     1.405237            6      0
   -3.170392    -1.847437     3.019650            6      0
   -3.170392    -3.461850     3.019650            6      0
   -3.170392    -1.847437     1.405237            6      0
   -6.551774    -1.847437     1.405237            6      0
   -3.170392    -3.461850     1.405237            6      0
   -3.885210    -0.863199     2.212444            6      0
   -5.836956    -0.863199     2.212444            6      0
   -3.885210    -4.446088     2.212444            6      0
   -3.069639    -1.678771     2.212444            6      0
   -6.652527    -1.678771     2.212444            6      0
   -3.069639    -3.630516     2.212444            6      0
   -3.885210    -2.654643     4.003888            6      0
   -3.885210    -2.654643     0.420999            6      0
   -5.836956    -2.654643     0.420999            6      0
