# Atoms array:
     x           y            z                   Z     indx
   -3.588531     0.822654    -0.000012            6      0
   -3.662451    -0.568195    -0.000016            6      1
   -0.188628     1.180407    -0.000051            1      2
   -2.268629     2.824619    -0.000020            8      3
   -2.488688    -1.328196    -0.000032            6      4
   -4.633614    -1.068392    -0.000006            1      5
   -1.241561    -0.695995    -0.000045            6      6
   -2.581705    -3.090735    -0.000037            7      7
   -1.168836     0.694813    -0.000041            6      8
   -0.328303    -1.295434    -0.000058            1      9
   -2.337427     1.538215    -0.000024            6     10
   -4.511997     1.409076     0.000002            1     11

# Gridpoints array:
     x           y            z                   Z     indx
   -5.628531     0.822654    -0.000012            6      0
   -3.588531     0.822654     2.039988            6      0
   -3.588531     0.822654    -2.040012            6      0
   -4.766326     2.000449     1.177783            6      0
   -4.766326    -0.355140     1.177783            6      0
   -4.766326     2.000449    -1.177806            6      0
   -4.766326    -0.355140    -1.177806            6      0
   -3.210896     1.200290     1.968841            6      0
   -3.966167     1.200290     1.968841            6      0
   -3.210896     0.445018     1.968841            6      0
   -3.966167     0.445018     1.968841            6      0
   -3.210896     1.200290    -1.968865            6      0
   -3.966167     1.200290    -1.968865            6      0
   -3.210896     0.445018    -1.968865            6      0
   -3.966167     0.445018    -1.968865            6      0
   -3.966167     2.791507     0.377624            6      0
   -3.966167     2.791507    -0.377647            6      0
   -5.557385     1.200290     0.377624            6      0
   -5.557385     0.445018     0.377624            6      0
   -5.557385     1.200290    -0.377647            6      0
   -5.557385     0.445018    -0.377647            6      0
   -4.996990     2.231113     0.440541            6      0
   -4.996990     2.231113    -0.440564            6      0
   -4.996990     1.263207     1.408447            6      0
   -2.180073     0.382101     1.408447            6      0
   -4.996990     0.382101     1.408447            6      0
   -4.996990     1.263207    -1.408471            6      0
   -2.180073     0.382101    -1.408471            6      0
   -4.996990     0.382101    -1.408471            6      0
   -3.147979     2.231113     1.408447            6      0
   -4.029084     2.231113     1.408447            6      0
   -3.147979     2.231113    -1.408471            6      0
   -4.029084     2.231113    -1.408471            6      0
   -2.781325     1.629861     1.690679            6      0
   -4.395738     1.629861     1.690679            6      0
   -2.781325     0.015448     1.690679            6      0
   -4.395738     0.015448     1.690679            6      0
   -2.781325     1.629861    -1.690702            6      0
   -4.395738     1.629861    -1.690702            6      0
   -2.781325     0.015448    -1.690702            6      0
   -4.395738     0.015448    -1.690702            6      0
   -4.395738     2.513345     0.807195            6      0
   -4.395738     2.513345    -0.807218            6      0
   -5.279222     1.629861     0.807195            6      0
   -5.279222     0.015448     0.807195            6      0
   -5.279222     1.629861    -0.807218            6      0
   -5.279222     0.015448    -0.807218            6      0
   -4.564404     2.614098    -0.000012            6      0
   -5.379976     1.798527    -0.000012            6      0
   -5.379976    -0.153219    -0.000012            6      0
   -2.612659     0.822654     1.791433            6      0
   -4.564404     0.822654     1.791433            6      0
   -2.612659     0.822654    -1.791456            6      0
   -4.564404     0.822654    -1.791456            6      0
   -5.379976     0.822654     0.975861            6      0
   -5.379976     0.822654    -0.975884            6      0
   -3.588531     1.798527     1.791433            6      0
   -3.588531    -0.153219     1.791433            6      0
   -3.588531     1.798527    -1.791456            6      0
   -3.588531    -0.153219    -1.791456            6      0
   -3.588531     2.614098     0.975861            6      0
   -3.588531     2.614098    -0.975884            6      0
   -5.702451    -0.568195    -0.000016            6      1
   -3.662451    -0.568195     2.039984            6      1
   -3.662451    -0.568195    -2.040016            6      1
   -4.840246     0.609599     1.177779            6      1
   -4.840246    -1.745990     1.177779            6      1
   -4.840246     0.609599    -1.177810            6      1
   -4.840246    -1.745990    -1.177810            6      1
   -3.284815    -0.190560     1.968837            6      1
   -4.040087    -0.190560     1.968837            6      1
   -3.284815    -0.945831     1.968837            6      1
   -4.040087    -0.945831     1.968837            6      1
   -3.284815    -0.190560    -1.968869            6      1
   -4.040087    -0.190560    -1.968869            6      1
   -3.284815    -0.945831    -1.968869            6      1
   -4.040087    -0.945831    -1.968869            6      1
   -5.631304    -0.190560     0.377620            6      1
