# Atoms array:
     x           y            z                   Z     indx
   -5.189689    -6.314193     2.947580            6      0
   -4.993686    -5.044348     3.517823            6      1
   -6.119077    -7.332065     3.563581            6      2
   -4.469907    -6.587782     1.768360            6      3
   -4.134648    -4.097495     2.955772            6      4
   -5.535004    -4.789835     4.436557            1      5
   -3.386211    -4.349760     1.754049            6      6
   -4.012768    -3.120337     3.435455            1      7
   -3.607630    -5.657237     1.190964            6      8
   -2.584523    -3.482638     1.224669            8      9
   -4.591321    -7.565586     1.287496            1     10
   -6.596745    -6.930747     4.469454            1     11
   -6.924273    -7.632719     2.872285            1     12
   -5.591513    -8.256947     3.852083            1     13
   -3.066741    -5.911929     0.273049            1     14

# Gridpoints array:
     x           y            z                   Z     indx
   -3.149689    -6.314193     2.947580            6      0
   -5.189689    -6.314193     4.987580            6      0
   -4.011894    -7.491987     4.125374            6      0
   -6.367483    -5.136398     1.769785            6      0
   -6.367483    -7.491987     1.769785            6      0
   -4.812053    -5.936557     4.916433            6      0
   -5.567324    -5.936557     4.916433            6      0
   -4.812053    -6.691829     4.916433            6      0
   -4.812053    -8.283046     2.569944            6      0
   -3.220836    -5.936557     3.325215            6      0
   -7.158542    -5.936557     3.325215            6      0
   -3.220836    -6.691829     3.325215            6      0
   -7.158542    -5.936557     2.569944            6      0
   -6.598148    -4.905734     3.388132            6      0
   -3.781230    -7.722652     3.388132            6      0
   -6.598148    -4.905734     2.507027            6      0
   -3.781230    -7.722652     2.507027            6      0
   -3.781230    -5.873640     4.356039            6      0
   -6.598148    -5.873640     4.356039            6      0
   -3.781230    -6.754746     4.356039            6      0
   -6.598148    -5.873640     1.539121            6      0
   -6.598148    -6.754746     1.539121            6      0
   -4.749136    -7.722652     4.356039            6      0
   -5.630241    -4.905734     1.539121            6      0
   -5.630241    -7.722652     1.539121            6      0
   -4.382482    -7.121399     4.638270            6      0
   -5.996895    -5.506986     1.256889            6      0
   -5.996895    -7.121399     1.256889            6      0
   -4.382482    -8.004883     3.754786            6      0
   -5.996895    -4.623502     2.140373            6      0
   -5.996895    -8.004883     2.140373            6      0
   -6.880379    -5.506986     3.754786            6      0
   -3.498998    -7.121399     3.754786            6      0
   -6.880379    -5.506986     2.140373            6      0
   -4.213816    -8.105637     2.947580            6      0
   -6.981133    -5.338320     2.947580            6      0
   -3.398244    -7.290066     2.947580            6      0
   -4.213816    -6.314193     4.739024            6      0
   -6.165561    -6.314193     1.156135            6      0
   -3.398244    -6.314193     3.923452            6      0
   -6.981133    -6.314193     1.971707            6      0
   -5.189689    -8.105637     1.971707            6      0
   -7.033686    -5.044348     3.517823            6      1
   -4.993686    -5.044348     5.557823            6      1
   -3.815892    -3.866553     4.695618            6      1
   -6.171481    -3.866553     4.695618            6      1
   -3.815892    -6.222142     4.695618            6      1
   -6.171481    -3.866553     2.340029            6      1
   -4.616050    -4.666712     5.486676            6      1
   -5.371322    -4.666712     5.486676            6      1
   -4.616050    -5.421983     5.486676            6      1
   -5.371322    -5.421983     5.486676            6      1
   -5.371322    -4.666712     1.548970            6      1
   -5.371322    -3.075494     3.895459            6      1
   -5.371322    -3.075494     3.140187            6      1
   -3.024833    -4.666712     3.895459            6      1
   -6.962539    -4.666712     3.895459            6      1
   -3.024833    -5.421983     3.895459            6      1
   -6.962539    -5.421983     3.895459            6      1
   -6.962539    -4.666712     3.140187            6      1
   -3.024833    -5.421983     3.140187            6      1
   -6.962539    -5.421983     3.140187            6      1
   -6.402145    -3.635889     3.958376            6      1
   -3.585227    -6.452806     3.958376            6      1
   -6.402145    -3.635889     3.077270            6      1
   -3.585227    -4.603795     4.926282            6      1
   -6.402145    -4.603795     4.926282            6      1
   -3.585227    -5.484900     4.926282            6      1
   -6.402145    -5.484900     4.926282            6      1
   -6.402145    -4.603795     2.109364            6      1
   -6.402145    -5.484900     2.109364            6      1
   -4.553133    -3.635889     4.926282            6      1
   -5.434239    -3.635889     4.926282            6      1
   -4.553133    -6.452806     4.926282            6      1
   -5.434239    -6.452806     4.926282            6      1
   -5.434239    -3.635889     2.109364            6      1
   -4.186480    -4.237141     5.208514            6      1
   -5.800893    -4.237141     5.208514            6      1
   -4.186480    -5.851554     5.208514            6      1
   -5.800893    -5.851554     5.208514            6      1
   -5.800893    -4.237141     1.827132            6      1
   -5.800893    -3.353657     4.325030            6      1
   -4.186480    -6.735038     4.325030            6      1
   -5.800893    -3.353657     2.710617            6      1
