# Atoms array:
     x           y            z                   Z     indx
   -2.025343    -2.807244     1.562966            6      0
   -2.533926    -2.158581     0.369275            6      1
   -3.719823    -2.522812    -0.213321            6      2
   -4.506416    -3.567219     0.342425            6      3
   -4.047924    -4.230371     1.510863            6      4
   -2.861752    -3.868290     2.095637            6      5
   -6.409849    -4.869702     0.255083            8      6
   -2.518268    -4.386423     2.995375            1      7
   -1.933676    -1.354497    -0.062793            1      8
   -4.078800    -2.018865    -1.110410            1      9
   -5.718299    -3.938116    -0.254407            7     10
   -4.656745    -5.030913     1.930882            1     11
   -6.111928    -3.338199    -1.298594            8     12
   -0.872993    -2.418065     2.087111            7     13
   -0.682716    -2.991985     2.920889            1     14

# Gridpoints array:
     x           y            z                   Z     indx
   -2.025343    -0.767244     1.562966            6      0
   -2.025343    -2.807244     3.602966            6      0
   -3.203138    -1.629449     2.740760            6      0
   -0.847549    -3.985038     2.740760            6      0
   -0.847549    -1.629449     0.385171            6      0
   -0.847549    -3.985038     0.385171            6      0
   -1.647707    -2.429608     3.531819            6      0
   -2.402979    -2.429608     3.531819            6      0
   -1.647707    -3.184880     3.531819            6      0
   -2.402979    -3.184880     3.531819            6      0
   -1.647707    -3.184880    -0.405887            6      0
   -1.647707    -0.838391     1.940602            6      0
   -2.402979    -0.838391     1.940602            6      0
   -1.647707    -0.838391     1.185330            6      0
   -2.402979    -0.838391     1.185330            6      0
   -1.647707    -4.776097     1.185330            6      0
   -3.994196    -2.429608     1.940602            6      0
   -0.056490    -3.184880     1.185330            6      0
   -3.433802    -1.398785     2.003519            6      0
   -0.616884    -4.215703     2.003519            6      0
   -0.616884    -1.398785     1.122413            6      0
   -0.616884    -4.215703     1.122413            6      0
   -3.433802    -2.366691     2.971425            6      0
   -0.616884    -2.366691     0.154507            6      0
   -0.616884    -3.247797     0.154507            6      0
   -1.584790    -1.398785     2.971425            6      0
   -2.465896    -1.398785     2.971425            6      0
   -1.584790    -4.215703     0.154507            6      0
   -2.465896    -4.215703     0.154507            6      0
   -2.832550    -2.000037     3.253657            6      0
   -1.218137    -3.614450     3.253657            6      0
   -1.218137    -3.614450    -0.127725            6      0
   -1.218137    -1.116553     2.370172            6      0
   -2.832550    -1.116553     2.370172            6      0
   -1.218137    -4.497934     2.370172            6      0
   -1.218137    -1.116553     0.755759            6      0
   -1.218137    -4.497934     0.755759            6      0
   -3.716034    -2.000037     2.370172            6      0
   -0.334652    -2.000037     0.755759            6      0
   -0.334652    -3.614450     0.755759            6      0
   -1.049470    -1.015800     1.562966            6      0
   -3.001216    -1.015800     1.562966            6      0
   -1.049470    -4.598688     1.562966            6      0
   -3.816787    -1.831371     1.562966            6      0
   -0.233899    -3.783117     1.562966            6      0
   -3.001216    -2.807244     3.354410            6      0
   -1.049470    -2.807244    -0.228478            6      0
   -0.233899    -2.807244     0.587093            6      0
   -2.025343    -1.831371     3.354410            6      0
   -2.025343    -3.783117    -0.228478            6      0
   -2.025343    -1.015800     2.538839            6      0
   -2.025343    -4.598688     0.587093            6      0
   -0.493926    -2.158581     0.369275            6      1
   -2.533926    -0.118581     0.369275            6      1
   -2.533926    -2.158581    -1.670725            6      1
   -1.356131    -0.980786     1.547070            6      1
   -3.711721    -0.980786     1.547070            6      1
   -1.356131    -0.980786    -0.808520            6      1
   -3.711721    -0.980786    -0.808520            6      1
   -1.356131    -3.336375    -0.808520            6      1
   -2.911562    -1.780945     2.338128            6      1
   -2.156290    -1.780945    -1.599578            6      1
   -2.911562    -1.780945    -1.599578            6      1
   -2.156290    -2.536217    -1.599578            6      1
   -2.911562    -2.536217    -1.599578            6      1
   -2.156290    -0.189728     0.746911            6      1
   -2.911562    -0.189728     0.746911            6      1
   -2.156290    -0.189728    -0.008361            6      1
   -2.911562    -0.189728    -0.008361            6      1
   -2.156290    -4.127434    -0.008361            6      1
   -2.911562    -4.127434    -0.008361            6      1
   -0.565073    -1.780945     0.746911            6      1
   -0.565073    -1.780945    -0.008361            6      1
   -0.565073    -2.536217    -0.008361            6      1
   -1.125467    -0.750122     0.809828            6      1
   -3.942385    -0.750122     0.809828            6      1
   -1.125467    -0.750122    -0.071278            6      1
   -3.942385    -0.750122    -0.071278            6      1
   -1.125467    -3.567040    -0.071278            6      1
   -3.942385    -1.718028     1.777734            6      1
   -1.125467    -1.718028    -1.039184            6      1
   -1.125467    -2.599134    -1.039184            6      1
   -2.093373    -0.750122     1.777734            6      1
   -2.974479    -0.750122     1.777734            6      1
   -2.093373    -0.750122    -1.039184            6      1
   -2.974479    -0.750122    -1.039184            6      1
   -2.093373    -3.567040    -1.039184            6      1
   -2.974479    -3.567040    -1.039184            6      1
   -3.341133    -1.351374     2.059966            6      1
   -1.726719    -1.351374    -1.321416            6      1
   -3.341133    -1.351374    -1.321416            6      1
   -1.726719    -2.965787    -1.321416            6      1
   -1.726719    -0.467890     1.176482            6      1
   -3.341133    -0.467890     1.176482            6      1
   -1.726719    -0.467890    -0.437932            6      1
   -3.341133    -0.467890    -0.437932            6      1
   -1.726719    -3.849271    -0.437932            6      1
   -0.843235    -1.351374     1.176482            6      1
   -4.224617    -1.351374     1.176482            6      1
   -0.843235    -1.351374    -0.437932            6      1
   -0.843235    -2.965787    -0.437932            6      1
   -1.558053    -0.367136     0.369275            6      1
   -3.509799    -0.367136     0.369275            6      1
   -1.558053    -3.950025     0.369275            6      1
   -0.742482    -1.182708     0.369275            6      1
   -4.325370    -1.182708     0.369275            6      1
   -0.742482    -3.134453     0.369275            6      1
   -3.509799    -2.158581     2.160719            6      1
   -1.558053    -2.158581    -1.422169            6      1
   -4.325370    -2.158581     1.345148            6      1
   -0.742482    -2.158581    -0.606598            6      1
   -2.533926    -1.182708     2.160719            6      1
   -2.533926    -1.182708    -1.422169            6      1
   -2.533926    -3.134453    -1.422169            6      1
   -2.533926    -0.367136     1.345148            6      1
   -2.533926    -0.367136    -0.606598            6      1
   -2.533926    -3.950025    -0.606598            6      1
   -3.719823    -0.482812    -0.213321            6      2
   -3.719823    -2.522812    -2.253321            6      2
   -4.897617    -1.345017     0.964474            6      2
   -2.542028    -1.345017    -1.391116            6      2
   -4.897617    -1.345017    -1.391116            6      2
   -2.542028    -3.700606    -1.391116            6      2
   -4.097458    -2.145176     1.755532            6      2
   -3.342187    -2.145176    -2.182174            6      2
   -4.097458    -2.145176    -2.182174            6      2
   -3.342187    -2.900447    -2.182174            6      2
   -4.097458    -2.900447    -2.182174            6      2
   -3.342187    -0.553958     0.164315            6      2
   -4.097458    -0.553958     0.164315            6      2
   -3.342187    -0.553958    -0.590957            6      2
   -4.097458    -0.553958    -0.590957            6      2
   -3.342187    -4.491665    -0.590957            6      2
   -5.688676    -2.145176     0.164315            6      2
   -5.688676    -2.145176    -0.590957            6      2
   -5.128281    -1.114353     0.227232            6      2
   -2.311364    -3.931270     0.227232            6      2
   -5.128281    -1.114353    -0.653874            6      2
   -2.311364    -3.931270    -0.653874            6      2
   -5.128281    -2.082259     1.195138            6      2
   -2.311364    -2.082259    -1.621780            6      2
