# Atoms array:
     x           y            z                   Z     indx
   -2.047154    -2.867789     1.619997            6      0
   -2.524840    -2.197521     0.424711            6      1
   -3.708911    -2.539492    -0.185307            6      2
   -4.510094    -3.576687     0.347184            6      3
   -4.088550    -4.263779     1.509587            6      4
   -2.905107    -3.924966     2.122291            6      5
   -6.434736    -4.846238     0.209142            8      6
   -0.955029    -2.551389     2.186940            8      7
   -1.906169    -1.395918     0.014086            1      8
   -4.049021    -2.021746    -1.082218            1      9
   -5.729432    -3.925204    -0.279932            7     10
   -4.716745    -5.061565     1.905890            1     11
   -6.089531    -3.308472    -1.316568            8     12
   -2.578820    -4.454973     3.020365            7     13

# Gridpoints array:
     x           y            z                   Z     indx
   -2.047154    -0.827789     1.619997            6      0
   -2.047154    -2.867789     3.659997            6      0
   -3.224949    -1.689995     2.797792            6      0
   -0.869360    -4.045584     2.797792            6      0
   -0.869360    -1.689995     0.442203            6      0
   -0.869360    -4.045584     0.442203            6      0
   -1.669518    -2.490153     3.588850            6      0
   -2.424790    -2.490153     3.588850            6      0
   -1.669518    -3.245425     3.588850            6      0
   -2.424790    -3.245425     3.588850            6      0
   -1.669518    -3.245425    -0.348856            6      0
   -1.669518    -0.898936     1.997633            6      0
   -2.424790    -0.898936     1.997633            6      0
   -1.669518    -0.898936     1.242361            6      0
   -1.669518    -4.836642     1.242361            6      0
   -4.016007    -2.490153     1.997633            6      0
   -0.078301    -3.245425     1.242361            6      0
   -3.455613    -1.459330     2.060550            6      0
   -0.638695    -4.276248     2.060550            6      0
   -0.638695    -1.459330     1.179444            6      0
   -0.638695    -4.276248     1.179444            6      0
   -3.455613    -2.427236     3.028456            6      0
   -0.638695    -2.427236     0.211538            6      0
   -0.638695    -3.308342     0.211538            6      0
   -1.606602    -1.459330     3.028456            6      0
   -2.487707    -1.459330     3.028456            6      0
   -1.606602    -4.276248     0.211538            6      0
   -2.487707    -4.276248     0.211538            6      0
   -2.854361    -2.060583     3.310688            6      0
   -1.239948    -3.674996     3.310688            6      0
   -1.239948    -3.674996    -0.070694            6      0
   -1.239948    -1.177099     2.427204            6      0
   -2.854361    -1.177099     2.427204            6      0
   -1.239948    -4.558480     2.427204            6      0
   -1.239948    -1.177099     0.812791            6      0
   -1.239948    -4.558480     0.812791            6      0
   -3.737845    -2.060583     2.427204            6      0
   -0.356464    -3.674996     2.427204            6      0
   -0.356464    -2.060583     0.812791            6      0
   -0.356464    -3.674996     0.812791            6      0
   -1.071282    -1.076345     1.619997            6      0
   -3.023027    -1.076345     1.619997            6      0
   -1.071282    -4.659233     1.619997            6      0
   -3.838599    -1.891916     1.619997            6      0
   -0.255710    -3.843662     1.619997            6      0
   -3.023027    -2.867789     3.411441            6      0
   -1.071282    -2.867789    -0.171447            6      0
   -0.255710    -2.867789     0.644124            6      0
   -2.047154    -1.891916     3.411441            6      0
   -2.047154    -3.843662    -0.171447            6      0
   -2.047154    -1.076345     2.595870            6      0
   -2.047154    -4.659233     0.644124            6      0
