# Atoms array:
     x           y            z                   Z     indx
   -4.977829    -1.457749    -2.584150            7      0
   -5.262634    -2.881313    -2.650855            6      1
   -4.511634     0.972818    -2.117955            8      2
   -4.689049     0.047843    -2.295370            1      3
   -3.572722     1.070863    -2.276953            1      4

# Gridpoints array:
     x           y            z                   Z     indx
   -3.117829    -1.457749    -2.584150            7      0
   -6.837829    -1.457749    -2.584150            7      0
   -4.977829    -1.457749    -0.724150            7      0
   -4.977829    -1.457749    -4.444150            7      0
   -3.903958    -0.383878    -1.510279            7      0
   -6.051701    -0.383878    -1.510279            7      0
   -3.903958    -2.531621    -1.510279            7      0
   -3.903958    -0.383878    -3.658022            7      0
   -6.051701    -0.383878    -3.658022            7      0
   -3.903958    -2.531621    -3.658022            7      0
   -4.633514    -1.113434    -0.789019            7      0
   -5.322144    -1.113434    -0.789019            7      0
   -4.633514    -1.802064    -0.789019            7      0
   -5.322144    -1.802064    -0.789019            7      0
   -4.633514    -1.113434    -4.379281            7      0
   -5.322144    -1.113434    -4.379281            7      0
   -4.633514    -1.802064    -4.379281            7      0
   -5.322144    -1.802064    -4.379281            7      0
   -3.182698    -1.113434    -2.239835            7      0
   -6.772960    -1.113434    -2.239835            7      0
   -3.182698    -1.802064    -2.239835            7      0
   -6.772960    -1.802064    -2.239835            7      0
   -3.182698    -1.113434    -2.928465            7      0
   -6.772960    -1.113434    -2.928465            7      0
   -3.182698    -1.802064    -2.928465            7      0
   -6.772960    -1.802064    -2.928465            7      0
   -6.262012    -0.173566    -2.182469            7      0
   -3.693646    -2.741932    -2.182469            7      0
   -3.693646    -0.173566    -2.985831            7      0
   -6.262012    -0.173566    -2.985831            7      0
   -3.693646    -2.741932    -2.985831            7      0
   -3.693646    -1.056068    -1.299967            7      0
   -6.262012    -1.056068    -1.299967            7      0
   -3.693646    -1.859430    -1.299967            7      0
   -6.262012    -1.859430    -1.299967            7      0
   -3.693646    -1.056068    -3.868333            7      0
   -6.262012    -1.056068    -3.868333            7      0
   -3.693646    -1.859430    -3.868333            7      0
   -6.262012    -1.859430    -3.868333            7      0
   -5.379510    -0.173566    -1.299967            7      0
   -4.576148    -0.173566    -3.868333            7      0
   -5.379510    -0.173566    -3.868333            7      0
   -4.241847    -0.721767    -1.042638            7      0
   -5.713811    -0.721767    -1.042638            7      0
   -4.241847    -2.193731    -1.042638            7      0
   -5.713811    -2.193731    -1.042638            7      0
   -4.241847    -0.721767    -4.125662            7      0
   -5.713811    -0.721767    -4.125662            7      0
   -4.241847    -2.193731    -4.125662            7      0
   -5.713811    -2.193731    -4.125662            7      0
   -5.713811     0.083763    -1.848168            7      0
   -4.241847     0.083763    -3.320132            7      0
   -5.713811     0.083763    -3.320132            7      0
   -3.436317    -0.721767    -1.848168            7      0
   -6.519341    -0.721767    -1.848168            7      0
   -3.436317    -2.193731    -1.848168            7      0
   -6.519341    -2.193731    -1.848168            7      0
   -3.436317    -0.721767    -3.320132            7      0
   -6.519341    -0.721767    -3.320132            7      0
   -3.436317    -2.193731    -3.320132            7      0
   -6.519341    -2.193731    -3.320132            7      0
   -5.867595     0.175627    -2.584150            7      0
   -3.344453    -0.567983    -2.584150            7      0
   -6.611205    -0.567983    -2.584150            7      0
   -3.344453    -2.347515    -2.584150            7      0
   -4.088063    -1.457749    -0.950774            7      0
   -5.867595    -1.457749    -0.950774            7      0
   -4.088063    -1.457749    -4.217526            7      0
   -5.867595    -1.457749    -4.217526            7      0
   -3.344453    -1.457749    -1.694384            7      0
   -6.611205    -1.457749    -1.694384            7      0
   -3.344453    -1.457749    -3.473916            7      0
   -6.611205    -1.457749    -3.473916            7      0
   -4.977829    -0.567983    -0.950774            7      0
   -4.977829    -2.347515    -0.950774            7      0
   -4.977829    -0.567983    -4.217526            7      0
   -4.977829    -2.347515    -4.217526            7      0
   -4.977829     0.175627    -3.473916            7      0
   -3.222634    -2.881313    -2.650855            6      1
   -7.302634    -2.881313    -2.650855            6      1
   -5.262634    -4.921313    -2.650855            6      1
   -5.262634    -2.881313    -0.610855            6      1
   -5.262634    -2.881313    -4.690855            6      1
   -4.084839    -1.703518    -1.473060            6      1
   -6.440429    -1.703518    -1.473060            6      1
   -4.084839    -4.059108    -1.473060            6      1
   -6.440429    -4.059108    -1.473060            6      1
   -4.084839    -1.703518    -3.828650            6      1
   -6.440429    -1.703518    -3.828650            6      1
   -4.084839    -4.059108    -3.828650            6      1
   -6.440429    -4.059108    -3.828650            6      1
   -4.884998    -2.503677    -0.682002            6      1
   -5.640270    -2.503677    -0.682002            6      1
   -4.884998    -3.258949    -0.682002            6      1
   -5.640270    -3.258949    -0.682002            6      1
   -4.884998    -2.503677    -4.619708            6      1
   -5.640270    -2.503677    -4.619708            6      1
   -4.884998    -3.258949    -4.619708            6      1
   -5.640270    -3.258949    -4.619708            6      1
   -4.884998    -4.850166    -2.273219            6      1
   -5.640270    -4.850166    -2.273219            6      1
   -4.884998    -4.850166    -3.028491            6      1
   -5.640270    -4.850166    -3.028491            6      1
   -3.293781    -2.503677    -2.273219            6      1
   -7.231487    -2.503677    -2.273219            6      1
   -3.293781    -3.258949    -2.273219            6      1
   -7.231487    -3.258949    -2.273219            6      1
   -3.293781    -2.503677    -3.028491            6      1
   -7.231487    -2.503677    -3.028491            6      1
   -3.293781    -3.258949    -3.028491            6      1
   -7.231487    -3.258949    -3.028491            6      1
   -6.671093    -1.472854    -2.210302            6      1
   -3.854175    -4.289772    -2.210302            6      1
   -6.671093    -4.289772    -2.210302            6      1
   -6.671093    -1.472854    -3.091408            6      1
   -3.854175    -4.289772    -3.091408            6      1
   -6.671093    -4.289772    -3.091408            6      1
   -3.854175    -2.440760    -1.242396            6      1
   -6.671093    -2.440760    -1.242396            6      1
   -3.854175    -3.321866    -1.242396            6      1
   -6.671093    -3.321866    -1.242396            6      1
   -3.854175    -2.440760    -4.059314            6      1
   -6.671093    -2.440760    -4.059314            6      1
   -3.854175    -3.321866    -4.059314            6      1
   -6.671093    -3.321866    -4.059314            6      1
   -4.822081    -1.472854    -1.242396            6      1
   -5.703187    -1.472854    -1.242396            6      1
   -4.822081    -4.289772    -1.242396            6      1
   -5.703187    -4.289772    -1.242396            6      1
   -4.822081    -1.472854    -4.059314            6      1
   -5.703187    -1.472854    -4.059314            6      1
   -4.822081    -4.289772    -4.059314            6      1
   -5.703187    -4.289772    -4.059314            6      1
   -4.455427    -2.074106    -0.960164            6      1
   -6.069841    -2.074106    -0.960164            6      1
   -4.455427    -3.688520    -0.960164            6      1
   -6.069841    -3.688520    -0.960164            6      1
   -4.455427    -2.074106    -4.341546            6      1
   -6.069841    -2.074106    -4.341546            6      1
   -4.455427    -3.688520    -4.341546            6      1
   -6.069841    -3.688520    -4.341546            6      1
   -6.069841    -1.190622    -1.843648            6      1
   -4.455427    -4.572004    -1.843648            6      1
   -6.069841    -4.572004    -1.843648            6      1
   -6.069841    -1.190622    -3.458062            6      1
   -4.455427    -4.572004    -3.458062            6      1
   -6.069841    -4.572004    -3.458062            6      1
   -3.571943    -2.074106    -1.843648            6      1
   -6.953325    -2.074106    -1.843648            6      1
   -3.571943    -3.688520    -1.843648            6      1
   -6.953325    -3.688520    -1.843648            6      1
   -3.571943    -2.074106    -3.458062            6      1
   -6.953325    -2.074106    -3.458062            6      1
   -3.571943    -3.688520    -3.458062            6      1
   -6.953325    -3.688520    -3.458062            6      1
   -4.286761    -4.672757    -2.650855            6      1
   -6.238507    -4.672757    -2.650855            6      1
   -3.471190    -1.905440    -2.650855            6      1
   -7.054078    -1.905440    -2.650855            6      1
   -3.471190    -3.857186    -2.650855            6      1
   -7.054078    -3.857186    -2.650855            6      1
   -4.286761    -2.881313    -0.859411            6      1
   -6.238507    -2.881313    -0.859411            6      1
   -4.286761    -2.881313    -4.442299            6      1
   -6.238507    -2.881313    -4.442299            6      1
   -3.471190    -2.881313    -1.674982            6      1
   -7.054078    -2.881313    -1.674982            6      1
   -3.471190    -2.881313    -3.626728            6      1
   -7.054078    -2.881313    -3.626728            6      1
   -5.262634    -1.905440    -0.859411            6      1
   -5.262634    -3.857186    -0.859411            6      1
   -5.262634    -1.905440    -4.442299            6      1
   -5.262634    -3.857186    -4.442299            6      1
   -5.262634    -4.672757    -1.674982            6      1
   -5.262634    -4.672757    -3.626728            6      1
   -6.335634     0.972818    -2.117955            8      2
   -4.511634     2.796818    -2.117955            8      2
   -4.511634     0.972818    -0.293955            8      2
   -4.511634     0.972818    -3.941955            8      2
   -3.458547     2.025905    -1.064868            8      2
   -5.564721     2.025905    -1.064868            8      2
   -3.458547    -0.080269    -1.064868            8      2
   -5.564721    -0.080269    -1.064868            8      2
   -3.458547     2.025905    -3.171042            8      2
   -5.564721     2.025905    -3.171042            8      2
   -3.458547    -0.080269    -3.171042            8      2
   -5.564721    -0.080269    -3.171042            8      2
   -4.173983     1.310469    -0.357569            8      2
   -4.849285     1.310469    -0.357569            8      2
   -4.173983     0.635167    -0.357569            8      2
   -4.849285     0.635167    -0.357569            8      2
   -4.173983     1.310469    -3.878341            8      2
   -4.849285     1.310469    -3.878341            8      2
   -4.173983     0.635167    -3.878341            8      2
   -4.849285     0.635167    -3.878341            8      2
   -4.173983     2.733204    -1.780304            8      2
   -4.849285     2.733204    -1.780304            8      2
   -4.173983     2.733204    -2.455606            8      2
   -4.849285     2.733204    -2.455606            8      2
   -2.751248     1.310469    -1.780304            8      2
   -6.272020     1.310469    -1.780304            8      2
   -2.751248     0.635167    -1.780304            8      2
   -6.272020     0.635167    -1.780304            8      2
   -6.272020     1.310469    -2.455606            8      2
   -2.751248     0.635167    -2.455606            8      2
   -6.272020     0.635167    -2.455606            8      2
   -3.252306     2.232146    -1.724049            8      2
   -5.770962     2.232146    -1.724049            8      2
   -3.252306    -0.286510    -1.724049            8      2
   -5.770962    -0.286510    -1.724049            8      2
   -3.252306     2.232146    -2.511861            8      2
   -5.770962     2.232146    -2.511861            8      2
   -3.252306    -0.286510    -2.511861            8      2
   -3.252306     1.366724    -0.858627            8      2
   -5.770962     1.366724    -0.858627            8      2
   -3.252306     0.578912    -0.858627            8      2
   -5.770962     0.578912    -0.858627            8      2
   -3.252306     1.366724    -3.377283            8      2
   -5.770962     1.366724    -3.377283            8      2
   -3.252306     0.578912    -3.377283            8      2
   -5.770962     0.578912    -3.377283            8      2
   -4.117728     2.232146    -0.858627            8      2
   -4.905540     2.232146    -0.858627            8      2
   -4.117728    -0.286510    -0.858627            8      2
   -4.905540    -0.286510    -0.858627            8      2
   -4.117728     2.232146    -3.377283            8      2
   -4.905540     2.232146    -3.377283            8      2
   -4.117728    -0.286510    -3.377283            8      2
   -3.789896     1.694556    -0.606279            8      2
   -5.233372     1.694556    -0.606279            8      2
   -3.789896     0.251080    -0.606279            8      2
   -5.233372     0.251080    -0.606279            8      2
   -3.789896     1.694556    -3.629631            8      2
   -5.233372     1.694556    -3.629631            8      2
   -3.789896     0.251080    -3.629631            8      2
   -5.233372     0.251080    -3.629631            8      2
   -3.789896     2.484494    -1.396217            8      2
   -5.233372     2.484494    -1.396217            8      2
   -3.789896    -0.538858    -1.396217            8      2
   -5.233372    -0.538858    -1.396217            8      2
   -3.789896     2.484494    -2.839693            8      2
   -5.233372     2.484494    -2.839693            8      2
   -3.789896    -0.538858    -2.839693            8      2
   -2.999958     1.694556    -1.396217            8      2
   -6.023310     1.694556    -1.396217            8      2
   -2.999958     0.251080    -1.396217            8      2
   -6.023310     0.251080    -1.396217            8      2
   -2.999958     1.694556    -2.839693            8      2
   -6.023310     1.694556    -2.839693            8      2
   -2.999958     0.251080    -2.839693            8      2
   -6.023310     0.251080    -2.839693            8      2
   -3.639089     2.574580    -2.117955            8      2
   -5.384179     2.574580    -2.117955            8      2
   -3.639089    -0.628944    -2.117955            8      2
   -2.909872     1.845363    -2.117955            8      2
   -6.113396     1.845363    -2.117955            8      2
   -2.909872     0.100273    -2.117955            8      2
   -6.113396     0.100273    -2.117955            8      2
   -3.639089     0.972818    -0.516193            8      2
   -5.384179     0.972818    -0.516193            8      2
   -3.639089     0.972818    -3.719717            8      2
