# Atoms array:
     x           y            z                   Z     indx
   -4.071476     0.625003     0.092938            6      0
   -2.508699     1.615005     0.362586           16      1
   -4.105149     0.311276    -0.943701            1      2
   -4.046257    -0.225543     0.762365            1      3
   -4.908983     1.274378     0.322329            1      4
   -1.362438     0.404944    -0.083471            6      5
   -1.198009    -0.372644     0.639239            1      6
   -2.498368     2.668962    -0.648779            8      7
   -0.525819     0.710886    -0.683768            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -6.111476     0.625003     0.092938            6      0
   -4.071476     2.665003     0.092938            6      0
   -4.071476    -1.414997     0.092938            6      0
   -4.071476     0.625003     2.132938            6      0
   -4.071476     0.625003    -1.947062            6      0
   -5.249270     1.802797     1.270733            6      0
   -2.893681    -0.552792     1.270733            6      0
   -5.249270    -0.552792     1.270733            6      0
   -5.249270     1.802797    -1.084856            6      0
   -2.893681    -0.552792    -1.084856            6      0
   -5.249270    -0.552792    -1.084856            6      0
   -3.693840     1.002639     2.061791            6      0
   -4.449112     1.002639     2.061791            6      0
   -3.693840     0.247367     2.061791            6      0
   -4.449112     0.247367     2.061791            6      0
   -3.693840     1.002639    -1.875915            6      0
   -4.449112     1.002639    -1.875915            6      0
   -3.693840     0.247367    -1.875915            6      0
   -4.449112     0.247367    -1.875915            6      0
   -4.449112     2.593856     0.470574            6      0
   -3.693840    -1.343850     0.470574            6      0
   -4.449112    -1.343850     0.470574            6      0
   -4.449112     2.593856    -0.284698            6      0
   -3.693840    -1.343850    -0.284698            6      0
   -4.449112    -1.343850    -0.284698            6      0
   -6.040329     1.002639     0.470574            6      0
   -6.040329     0.247367     0.470574            6      0
   -6.040329     1.002639    -0.284698            6      0
   -6.040329     0.247367    -0.284698            6      0
   -5.479935     2.033462     0.533491            6      0
   -2.663017    -0.783456     0.533491            6      0
   -5.479935    -0.783456     0.533491            6      0
   -5.479935     2.033462    -0.347615            6      0
   -2.663017    -0.783456    -0.347615            6      0
   -5.479935    -0.783456    -0.347615            6      0
   -5.479935     1.065556     1.501397            6      0
   -2.663017     0.184450     1.501397            6      0
   -5.479935     0.184450     1.501397            6      0
   -2.663017     1.065556    -1.315521            6      0
   -5.479935     1.065556    -1.315521            6      0
   -2.663017     0.184450    -1.315521            6      0
   -5.479935     0.184450    -1.315521            6      0
   -3.630923     2.033462     1.501397            6      0
   -4.512029     2.033462     1.501397            6      0
   -3.630923    -0.783456     1.501397            6      0
   -4.512029    -0.783456     1.501397            6      0
   -3.630923     2.033462    -1.315521            6      0
   -4.512029     2.033462    -1.315521            6      0
   -3.630923    -0.783456    -1.315521            6      0
   -4.512029    -0.783456    -1.315521            6      0
   -4.878682     1.432209     1.783629            6      0
   -3.264269    -0.182204     1.783629            6      0
   -4.878682    -0.182204     1.783629            6      0
   -3.264269     1.432209    -1.597753            6      0
   -4.878682     1.432209    -1.597753            6      0
   -3.264269    -0.182204    -1.597753            6      0
   -4.878682    -0.182204    -1.597753            6      0
   -4.878682     2.315694     0.900145            6      0
   -3.264269    -1.065688     0.900145            6      0
   -4.878682    -1.065688     0.900145            6      0
   -4.878682     2.315694    -0.714268            6      0
   -3.264269    -1.065688    -0.714268            6      0
   -4.878682    -1.065688    -0.714268            6      0
   -5.762166     1.432209     0.900145            6      0
   -5.762166    -0.182204     0.900145            6      0
   -5.762166     1.432209    -0.714268            6      0
   -5.762166    -0.182204    -0.714268            6      0
   -5.047349     2.416447     0.092938            6      0
   -3.095603    -1.166441     0.092938            6      0
   -5.047349    -1.166441     0.092938            6      0
   -5.862920     1.600876     0.092938            6      0
   -5.862920    -0.350870     0.092938            6      0
   -3.095603     0.625003     1.884382            6      0
   -5.047349     0.625003     1.884382            6      0
   -3.095603     0.625003    -1.698506            6      0
   -5.047349     0.625003    -1.698506            6      0
   -5.862920     0.625003     1.068811            6      0
   -5.862920     0.625003    -0.882935            6      0
   -4.071476     1.600876     1.884382            6      0
   -4.071476    -0.350870     1.884382            6      0
   -4.071476     1.600876    -1.698506            6      0
   -4.071476    -0.350870    -1.698506            6      0
   -4.071476     2.416447     1.068811            6      0
   -4.071476    -1.166441     1.068811            6      0
   -4.071476     2.416447    -0.882935            6      0
   -4.071476    -1.166441    -0.882935            6      0
   -2.508699     3.775005     0.362586           16      1
   -2.508699     1.615005     2.522586           16      1
   -2.508699     1.615005    -1.797414           16      1
   -1.261622     2.862082     1.609663           16      1
   -3.755775     2.862082     1.609663           16      1
   -1.261622     0.367928     1.609663           16      1
   -3.755775     0.367928     1.609663           16      1
   -1.261622     2.862082    -0.884491           16      1
   -3.755775     2.862082    -0.884491           16      1
   -2.108849     2.014855     2.447254           16      1
   -2.908548     2.014855     2.447254           16      1
   -2.108849     1.215155     2.447254           16      1
   -2.908548     1.215155     2.447254           16      1
   -2.108849     2.014855    -1.722082           16      1
   -2.908548     2.014855    -1.722082           16      1
   -2.108849     1.215155    -1.722082           16      1
   -2.908548     1.215155    -1.722082           16      1
   -2.108849     3.699673     0.762436           16      1
   -2.908548     3.699673     0.762436           16      1
   -2.908548    -0.469663     0.762436           16      1
   -0.424031     2.014855     0.762436           16      1
   -0.424031     2.014855    -0.037264           16      1
   -1.017389     3.106314     0.829054           16      1
   -4.000008     3.106314     0.829054           16      1
   -1.017389     3.106314    -0.103882           16      1
   -4.000008     3.106314    -0.103882           16      1
   -1.017389     2.081473     1.853895           16      1
   -4.000008     2.081473     1.853895           16      1
   -1.017389     1.148537     1.853895           16      1
   -4.000008     1.148537     1.853895           16      1
   -1.017389     2.081473    -1.128723           16      1
   -4.000008     2.081473    -1.128723           16      1
   -2.042231     3.106314     1.853895           16      1
   -2.975166     3.106314     1.853895           16      1
   -2.042231     0.123696     1.853895           16      1
   -2.975166     0.123696     1.853895           16      1
   -2.975166     0.123696    -1.128723           16      1
   -1.654009     2.469694     2.152729           16      1
   -3.363388     2.469694     2.152729           16      1
   -1.654009     0.760316     2.152729           16      1
   -3.363388     0.760316     2.152729           16      1
   -3.363388     0.760316    -1.427557           16      1
   -1.654009     3.405148     1.217275           16      1
   -3.363388     3.405148     1.217275           16      1
   -0.718555     2.469694     1.217275           16      1
   -4.298842     2.469694     1.217275           16      1
   -0.718555     0.760316     1.217275           16      1
   -0.718555     2.469694    -0.492103           16      1
   -4.298842     2.469694    -0.492103           16      1
   -1.475421     3.511828     0.362586           16      1
   -3.541976     3.511828     0.362586           16      1
   -0.611875     2.648282     0.362586           16      1
   -4.405522     2.648282     0.362586           16      1
   -1.475421     1.615005     2.259409           16      1
   -3.541976     1.615005     2.259409           16      1
   -1.475421     1.615005    -1.534237           16      1
   -3.541976     1.615005    -1.534237           16      1
   -0.611875     1.615005     1.395863           16      1
   -4.405522     1.615005     1.395863           16      1
   -2.508699     2.648282     2.259409           16      1
   -2.508699     0.581728     2.259409           16      1
   -2.508699     0.581728    -1.534237           16      1
