# Atoms array:
     x           y            z                   Z     indx
   -6.268289    -4.175343     0.820124            6      0
   -7.361164    -4.597332     1.550071            6      1
   -6.161120    -4.470126    -0.225943            1      2
   -5.490875    -3.545588     1.265728            1      3
   -7.665042    -4.362584     2.778344            8      4
   -8.077003    -5.239110     0.962010            1      5

# Gridpoints array:
     x           y            z                   Z     indx
   -4.228289    -4.175343     0.820124            6      0
   -6.268289    -2.135343     0.820124            6      0
   -6.268289    -6.215343     0.820124            6      0
   -6.268289    -4.175343    -1.219876            6      0
   -5.090495    -2.997548     1.997918            6      0
   -7.446084    -2.997548     1.997918            6      0
   -5.090495    -5.353137     1.997918            6      0
   -5.090495    -2.997548    -0.357671            6      0
   -7.446084    -2.997548    -0.357671            6      0
   -5.090495    -5.353137    -0.357671            6      0
   -7.446084    -5.353137    -0.357671            6      0
   -5.890653    -3.797707     2.788977            6      0
   -5.890653    -4.552979     2.788977            6      0
   -5.890653    -3.797707    -1.148729            6      0
   -6.645925    -3.797707    -1.148729            6      0
   -5.890653    -4.552979    -1.148729            6      0
   -6.645925    -4.552979    -1.148729            6      0
   -5.890653    -2.206490     1.197760            6      0
   -6.645925    -2.206490     1.197760            6      0
   -5.890653    -6.144196     1.197760            6      0
   -6.645925    -6.144196     1.197760            6      0
   -5.890653    -2.206490     0.442488            6      0
   -6.645925    -2.206490     0.442488            6      0
   -5.890653    -6.144196     0.442488            6      0
   -6.645925    -6.144196     0.442488            6      0
   -4.299436    -3.797707     1.197760            6      0
   -4.299436    -4.552979     1.197760            6      0
   -4.299436    -3.797707     0.442488            6      0
   -8.237142    -3.797707     0.442488            6      0
   -4.299436    -4.552979     0.442488            6      0
   -4.859830    -2.766884     1.260677            6      0
   -7.676748    -2.766884     1.260677            6      0
   -4.859830    -5.583802     1.260677            6      0
   -4.859830    -2.766884     0.379571            6      0
   -7.676748    -2.766884     0.379571            6      0
   -4.859830    -5.583802     0.379571            6      0
   -4.859830    -3.734790     2.228583            6      0
   -4.859830    -4.615896     2.228583            6      0
   -4.859830    -3.734790    -0.588335            6      0
   -7.676748    -3.734790    -0.588335            6      0
   -4.859830    -4.615896    -0.588335            6      0
   -7.676748    -4.615896    -0.588335            6      0
   -5.827736    -2.766884     2.228583            6      0
   -6.708842    -2.766884     2.228583            6      0
   -5.827736    -5.583802     2.228583            6      0
   -5.827736    -2.766884    -0.588335            6      0
   -6.708842    -2.766884    -0.588335            6      0
