# Atoms array:
     x           y            z                   Z     indx
   -3.811318    -0.661628    -0.675668            6      0
   -2.496413     0.130439    -0.851168            6      1
   -1.412929    -0.472893    -0.364267            7      2
   -2.586384     1.260475    -1.435856            8      3
   -4.551342    -0.045494    -0.120897            1      4
   -4.263766    -0.866902    -1.669948            1      5
   -3.666692    -1.621259    -0.140914            1      6
   -0.632407     0.186735    -0.566180            1      7

# Gridpoints array:
     x           y            z                   Z     indx
   -5.851318    -0.661628    -0.675668            6      0
   -3.811318    -2.701628    -0.675668            6      0
   -3.811318    -0.661628     1.364332            6      0
   -3.811318    -0.661628    -2.715668            6      0
   -4.989112     0.516167     0.502126            6      0
   -2.633523    -1.839422     0.502126            6      0
   -4.989112    -1.839422     0.502126            6      0
   -4.989112     0.516167    -1.853463            6      0
   -2.633523    -1.839422    -1.853463            6      0
   -4.989112    -1.839422    -1.853463            6      0
   -3.433682    -0.283992     1.293185            6      0
   -4.188954    -0.283992     1.293185            6      0
   -3.433682    -1.039264     1.293185            6      0
   -4.188954    -1.039264     1.293185            6      0
   -3.433682    -0.283992    -2.644521            6      0
   -4.188954    -0.283992    -2.644521            6      0
   -3.433682    -1.039264    -2.644521            6      0
   -4.188954    -1.039264    -2.644521            6      0
   -4.188954     1.307225    -0.298032            6      0
   -3.433682    -2.630481    -0.298032            6      0
   -4.188954    -2.630481    -0.298032            6      0
   -4.188954     1.307225    -1.053304            6      0
   -3.433682    -2.630481    -1.053304            6      0
   -4.188954    -2.630481    -1.053304            6      0
   -5.780171    -0.283992    -0.298032            6      0
   -5.780171    -1.039264    -0.298032            6      0
   -5.780171    -0.283992    -1.053304            6      0
   -5.780171    -1.039264    -1.053304            6      0
   -5.219777     0.746831    -0.235115            6      0
   -2.402859    -2.070087    -0.235115            6      0
   -5.219777    -2.070087    -0.235115            6      0
   -5.219777     0.746831    -1.116221            6      0
   -2.402859    -2.070087    -1.116221            6      0
   -5.219777    -2.070087    -1.116221            6      0
   -5.219777    -0.221075     0.732791            6      0
   -2.402859    -1.102181     0.732791            6      0
   -5.219777    -1.102181     0.732791            6      0
   -5.219777    -0.221075    -2.084127            6      0
   -2.402859    -1.102181    -2.084127            6      0
   -5.219777    -1.102181    -2.084127            6      0
   -3.370765     0.746831     0.732791            6      0
   -4.251870     0.746831     0.732791            6      0
   -3.370765    -2.070087     0.732791            6      0
   -4.251870    -2.070087     0.732791            6      0
   -4.251870     0.746831    -2.084127            6      0
   -3.370765    -2.070087    -2.084127            6      0
   -4.251870    -2.070087    -2.084127            6      0
   -3.004111     0.145579     1.015023            6      0
   -4.618524     0.145579     1.015023            6      0
   -3.004111    -1.468834     1.015023            6      0
   -4.618524    -1.468834     1.015023            6      0
   -4.618524     0.145579    -2.366359            6      0
   -3.004111    -1.468834    -2.366359            6      0
   -4.618524    -1.468834    -2.366359            6      0
   -4.618524     1.029063     0.131538            6      0
   -3.004111    -2.352319     0.131538            6      0
   -4.618524    -2.352319     0.131538            6      0
   -4.618524     1.029063    -1.482875            6      0
   -3.004111    -2.352319    -1.482875            6      0
   -4.618524    -2.352319    -1.482875            6      0
   -5.502008     0.145579     0.131538            6      0
   -5.502008    -1.468834     0.131538            6      0
   -5.502008     0.145579    -1.482875            6      0
   -2.120627    -1.468834    -1.482875            6      0
   -5.502008    -1.468834    -1.482875            6      0
   -4.787190     1.129816    -0.675668            6      0
   -2.835445    -2.453072    -0.675668            6      0
   -4.787190    -2.453072    -0.675668            6      0
   -5.602762     0.314245    -0.675668            6      0
   -5.602762    -1.637501    -0.675668            6      0
   -2.835445    -0.661628     1.115776            6      0
   -4.787190    -0.661628     1.115776            6      0
   -2.835445    -0.661628    -2.467112            6      0
   -4.787190    -0.661628    -2.467112            6      0
   -5.602762    -0.661628     0.300205            6      0
   -5.602762    -0.661628    -1.651541            6      0
   -3.811318     0.314245     1.115776            6      0
   -3.811318    -1.637501     1.115776            6      0
   -3.811318     0.314245    -2.467112            6      0
   -3.811318    -1.637501    -2.467112            6      0
   -3.811318     1.129816     0.300205            6      0
   -3.811318    -2.453072     0.300205            6      0
   -3.811318    -2.453072    -1.651541            6      0
   -2.496413    -1.909561    -0.851168            6      1
   -2.496413     0.130439     1.188832            6      1
   -2.496413     0.130439    -2.891168            6      1
   -1.318618     1.308234     0.326627            6      1
   -3.674208     1.308234     0.326627            6      1
   -1.318618     1.308234    -2.028962            6      1
   -1.318618    -1.047355    -2.028962            6      1
   -2.118777     0.508075     1.117686            6      1
   -2.874049     0.508075     1.117686            6      1
   -2.118777    -0.247197     1.117686            6      1
   -2.874049    -0.247197     1.117686            6      1
   -2.118777     0.508075    -2.820021            6      1
   -2.874049     0.508075    -2.820021            6      1
   -2.118777    -0.247197    -2.820021            6      1
   -2.874049    -0.247197    -2.820021            6      1
   -2.118777     2.099292    -0.473532            6      1
   -2.118777    -1.838414    -0.473532            6      1
   -2.118777    -1.838414    -1.228803            6      1
   -2.874049    -1.838414    -1.228803            6      1
   -1.087954     1.538898    -0.410615            6      1
   -3.904872     1.538898    -0.410615            6      1
   -1.087954     1.538898    -1.291720            6      1
   -3.904872     1.538898    -1.291720            6      1
