# Atoms array:
     x           y            z                   Z     indx
   -3.827604    -0.634648    -0.747362            6      0
   -2.705186     0.175595    -0.785450            6      1
   -1.398744    -0.385712    -0.211585            6      2
   -2.643537     1.376485    -1.260612            8      3
   -3.788970    -1.642331    -0.330125            1      4
   -4.784175    -0.280386    -1.143426            1      5
   -1.498090    -1.410047     0.176593            1      6
   -0.617844    -0.378458    -0.989937            1      7
   -1.040260     0.265835     0.602417            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -5.867604    -0.634648    -0.747362            6      0
   -3.827604    -2.674648    -0.747362            6      0
   -3.827604    -0.634648     1.292638            6      0
   -3.827604    -0.634648    -2.787362            6      0
   -5.005398     0.543146     0.430432            6      0
   -2.649809    -1.812443     0.430432            6      0
   -5.005398    -1.812443     0.430432            6      0
   -5.005398     0.543146    -1.925157            6      0
   -2.649809    -1.812443    -1.925157            6      0
   -5.005398    -1.812443    -1.925157            6      0
   -3.449968    -0.257012     1.221491            6      0
   -4.205240    -0.257012     1.221491            6      0
   -3.449968    -1.012284     1.221491            6      0
   -4.205240    -1.012284     1.221491            6      0
   -3.449968    -0.257012    -2.716215            6      0
   -4.205240    -0.257012    -2.716215            6      0
   -3.449968    -1.012284    -2.716215            6      0
   -4.205240    -1.012284    -2.716215            6      0
   -4.205240     1.334205    -0.369726            6      0
   -3.449968    -2.603501    -0.369726            6      0
   -4.205240    -2.603501    -0.369726            6      0
   -4.205240     1.334205    -1.124998            6      0
   -3.449968    -2.603501    -1.124998            6      0
   -4.205240    -2.603501    -1.124998            6      0
   -5.796457    -0.257012    -0.369726            6      0
   -5.796457    -1.012284    -0.369726            6      0
   -5.796457    -0.257012    -1.124998            6      0
   -5.796457    -1.012284    -1.124998            6      0
   -5.236063     0.773811    -0.306809            6      0
   -2.419145    -2.043107    -0.306809            6      0
   -5.236063    -2.043107    -0.306809            6      0
   -5.236063     0.773811    -1.187915            6      0
   -2.419145    -2.043107    -1.187915            6      0
   -5.236063    -2.043107    -1.187915            6      0
   -5.236063    -0.194096     0.661097            6      0
   -5.236063    -1.075201     0.661097            6      0
   -5.236063    -0.194096    -2.155821            6      0
   -2.419145    -1.075201    -2.155821            6      0
   -5.236063    -1.075201    -2.155821            6      0
   -3.387051     0.773811     0.661097            6      0
   -4.268157     0.773811     0.661097            6      0
   -3.387051    -2.043107     0.661097            6      0
   -4.268157    -2.043107     0.661097            6      0
   -4.268157     0.773811    -2.155821            6      0
   -3.387051    -2.043107    -2.155821            6      0
   -4.268157    -2.043107    -2.155821            6      0
   -3.020397     0.172558     0.943329            6      0
   -4.634810     0.172558     0.943329            6      0
   -3.020397    -1.441855     0.943329            6      0
   -4.634810    -1.441855     0.943329            6      0
   -3.020397     0.172558    -2.438053            6      0
   -4.634810     0.172558    -2.438053            6      0
   -3.020397    -1.441855    -2.438053            6      0
   -4.634810    -1.441855    -2.438053            6      0
   -4.634810     1.056042     0.059844            6      0
   -3.020397    -2.325339     0.059844            6      0
   -4.634810    -2.325339     0.059844            6      0
   -4.634810     1.056042    -1.554569            6      0
   -3.020397    -2.325339    -1.554569            6      0
   -4.634810    -2.325339    -1.554569            6      0
   -5.518294     0.172558     0.059844            6      0
   -5.518294    -1.441855     0.059844            6      0
   -5.518294     0.172558    -1.554569            6      0
   -2.136913    -1.441855    -1.554569            6      0
   -5.518294    -1.441855    -1.554569            6      0
   -4.803477     1.156796    -0.747362            6      0
   -2.851731    -2.426093    -0.747362            6      0
   -4.803477    -2.426093    -0.747362            6      0
   -5.619048     0.341224    -0.747362            6      0
   -5.619048    -1.610521    -0.747362            6      0
   -2.851731    -0.634648     1.044082            6      0
   -4.803477    -0.634648     1.044082            6      0
   -2.851731    -0.634648    -2.538806            6      0
   -4.803477    -0.634648    -2.538806            6      0
   -5.619048    -0.634648     0.228511            6      0
