# Atoms array:
     x           y            z                   Z     indx
   -8.654264    -3.368856    -1.808341            7      0
   -7.713204    -2.630377    -1.805684            6      1
   -6.629481    -1.791609    -1.799066            6      2
   -5.717594    -2.074104    -1.274354            1      3
   -6.667637    -0.833336    -2.315184            1      4

# Gridpoints array:
     x           y            z                   Z     indx
  -10.514264    -3.368856    -1.808341            7      0
   -8.654264    -5.228856    -1.808341            7      0
   -8.654264    -3.368856     0.051659            7      0
   -8.654264    -3.368856    -3.668341            7      0
   -9.728136    -2.294985    -0.734470            7      0
   -7.580393    -4.442728    -0.734470            7      0
   -9.728136    -4.442728    -0.734470            7      0
   -9.728136    -2.294985    -2.882213            7      0
   -7.580393    -4.442728    -2.882213            7      0
   -9.728136    -4.442728    -2.882213            7      0
   -8.309949    -3.024541    -0.013211            7      0
   -8.998579    -3.024541    -0.013211            7      0
   -8.309949    -3.713172    -0.013211            7      0
   -8.998579    -3.713172    -0.013211            7      0
   -8.309949    -3.024541    -3.603472            7      0
   -8.998579    -3.024541    -3.603472            7      0
   -8.309949    -3.713172    -3.603472            7      0
   -8.998579    -3.713172    -3.603472            7      0
   -8.998579    -1.573726    -1.464026            7      0
   -8.309949    -5.163987    -1.464026            7      0
   -8.998579    -5.163987    -1.464026            7      0
   -8.998579    -1.573726    -2.152656            7      0
   -8.309949    -5.163987    -2.152656            7      0
   -8.998579    -5.163987    -2.152656            7      0
  -10.449395    -3.024541    -1.464026            7      0
  -10.449395    -3.713172    -1.464026            7      0
  -10.449395    -3.024541    -2.152656            7      0
  -10.449395    -3.713172    -2.152656            7      0
   -9.938447    -2.084673    -1.406661            7      0
   -7.370081    -4.653040    -1.406661            7      0
   -9.938447    -4.653040    -1.406661            7      0
   -9.938447    -2.084673    -2.210022            7      0
   -7.370081    -4.653040    -2.210022            7      0
   -9.938447    -4.653040    -2.210022            7      0
   -9.938447    -2.967176    -0.524158            7      0
   -7.370081    -3.770537    -0.524158            7      0
   -9.938447    -3.770537    -0.524158            7      0
   -9.938447    -2.967176    -3.092524            7      0
   -7.370081    -3.770537    -3.092524            7      0
   -9.938447    -3.770537    -3.092524            7      0
   -9.055945    -2.084673    -0.524158            7      0
   -8.252583    -4.653040    -0.524158            7      0
   -9.055945    -4.653040    -0.524158            7      0
   -9.055945    -2.084673    -3.092524            7      0
   -8.252583    -4.653040    -3.092524            7      0
   -9.055945    -4.653040    -3.092524            7      0
