# Atoms array:
     x           y            z                   Z     indx
   -5.330356    -3.648084     0.540344            6      0
   -6.354604    -4.236673     1.169829            6      1
   -8.316302    -5.550279     1.256227            8      2
   -5.190175    -3.783512    -0.535168            1      3
   -7.276321    -5.344927    -0.746662            8      4
   -7.395541    -5.115337     0.494266            6      5
   -4.609646    -3.020914     1.070343            1      6
   -6.489372    -4.093804     2.247402            1      7

# Gridpoints array:
     x           y            z                   Z     indx
   -3.290356    -3.648084     0.540344            6      0
   -5.330356    -1.608084     0.540344            6      0
   -5.330356    -5.688084     0.540344            6      0
   -5.330356    -3.648084     2.580344            6      0
   -4.152562    -2.470290     1.718138            6      0
   -6.508151    -2.470290     1.718138            6      0
   -4.152562    -4.825879     1.718138            6      0
   -4.152562    -2.470290    -0.637451            6      0
   -6.508151    -2.470290    -0.637451            6      0
   -4.152562    -4.825879    -0.637451            6      0
   -4.952720    -3.270448     2.509197            6      0
   -5.707992    -3.270448     2.509197            6      0
   -4.952720    -4.025720     2.509197            6      0
   -4.952720    -3.270448    -1.428509            6      0
   -5.707992    -3.270448    -1.428509            6      0
   -4.952720    -4.025720    -1.428509            6      0
   -5.707992    -4.025720    -1.428509            6      0
   -4.952720    -1.679231     0.917980            6      0
   -5.707992    -1.679231     0.917980            6      0
   -4.952720    -5.616937     0.917980            6      0
   -4.952720    -1.679231     0.162708            6      0
   -5.707992    -1.679231     0.162708            6      0
   -4.952720    -5.616937     0.162708            6      0
   -5.707992    -5.616937     0.162708            6      0
   -3.361503    -3.270448     0.917980            6      0
   -3.361503    -4.025720     0.917980            6      0
   -3.361503    -3.270448     0.162708            6      0
   -7.299209    -3.270448     0.162708            6      0
   -3.361503    -4.025720     0.162708            6      0
   -3.921897    -2.239625     0.980897            6      0
   -6.738815    -2.239625     0.980897            6      0
   -3.921897    -5.056543     0.980897            6      0
   -3.921897    -2.239625     0.099791            6      0
   -6.738815    -2.239625     0.099791            6      0
   -3.921897    -5.056543     0.099791            6      0
   -3.921897    -3.207531     1.948803            6      0
   -3.921897    -4.088637     1.948803            6      0
   -3.921897    -3.207531    -0.868115            6      0
   -6.738815    -3.207531    -0.868115            6      0
   -3.921897    -4.088637    -0.868115            6      0
   -4.889803    -2.239625     1.948803            6      0
   -5.770909    -2.239625     1.948803            6      0
   -4.889803    -5.056543     1.948803            6      0
   -4.889803    -2.239625    -0.868115            6      0
   -5.770909    -2.239625    -0.868115            6      0
   -4.889803    -5.056543    -0.868115            6      0
   -5.770909    -5.056543    -0.868115            6      0
   -4.523150    -2.840878     2.231035            6      0
   -6.137563    -2.840878     2.231035            6      0
   -4.523150    -4.455291     2.231035            6      0
   -4.523150    -2.840878    -1.150347            6      0
   -6.137563    -2.840878    -1.150347            6      0
   -4.523150    -4.455291    -1.150347            6      0
   -6.137563    -4.455291    -1.150347            6      0
   -4.523150    -1.957393     1.347550            6      0
   -6.137563    -1.957393     1.347550            6      0
   -4.523150    -5.338775     1.347550            6      0
   -4.523150    -1.957393    -0.266863            6      0
   -6.137563    -1.957393    -0.266863            6      0
   -4.523150    -5.338775    -0.266863            6      0
   -3.639665    -2.840878     1.347550            6      0
   -7.021047    -2.840878     1.347550            6      0
   -3.639665    -4.455291     1.347550            6      0
   -3.639665    -2.840878    -0.266863            6      0
   -7.021047    -2.840878    -0.266863            6      0
   -3.639665    -4.455291    -0.266863            6      0
   -4.354483    -1.856640     0.540344            6      0
   -6.306229    -1.856640     0.540344            6      0
   -4.354483    -5.439528     0.540344            6      0
   -3.538912    -2.672211     0.540344            6      0
   -7.121800    -2.672211     0.540344            6      0
   -3.538912    -4.623957     0.540344            6      0
   -4.354483    -3.648084     2.331788            6      0
   -4.354483    -3.648084    -1.251100            6      0
   -6.306229    -3.648084    -1.251100            6      0
   -3.538912    -3.648084     1.516217            6      0
   -3.538912    -3.648084    -0.435529            6      0
   -7.121800    -3.648084    -0.435529            6      0
   -5.330356    -2.672211     2.331788            6      0
   -5.330356    -4.623957     2.331788            6      0
   -5.330356    -2.672211    -1.251100            6      0
   -5.330356    -4.623957    -1.251100            6      0
   -5.330356    -1.856640     1.516217            6      0
   -5.330356    -5.439528     1.516217            6      0
   -5.330356    -1.856640    -0.435529            6      0
   -5.330356    -5.439528    -0.435529            6      0
   -6.354604    -2.196673     1.169829            6      1
   -5.176809    -3.058878     2.347623            6      1
   -7.532398    -3.058878     2.347623            6      1
   -5.176809    -5.414467     2.347623            6      1
   -7.532398    -5.414467     2.347623            6      1
   -7.532398    -3.058878    -0.007966            6      1
   -5.176809    -5.414467    -0.007966            6      1
   -5.976968    -3.859037     3.138682            6      1
   -6.732240    -3.859037     3.138682            6      1
   -5.976968    -4.614309     3.138682            6      1
   -6.732240    -4.614309     3.138682            6      1
   -6.732240    -3.859037    -0.799024            6      1
   -5.976968    -2.267820     1.547465            6      1
   -6.732240    -2.267820     1.547465            6      1
   -5.976968    -6.205526     1.547465            6      1
   -6.732240    -6.205526     1.547465            6      1
   -6.732240    -2.267820     0.792193            6      1
   -5.976968    -6.205526     0.792193            6      1
   -8.323457    -3.859037     1.547465            6      1
   -4.385751    -4.614309     1.547465            6      1
   -8.323457    -3.859037     0.792193            6      1
   -7.763063    -2.828214     1.610382            6      1
   -4.946145    -5.645132     1.610382            6      1
   -7.763063    -2.828214     0.729276            6      1
   -4.946145    -5.645132     0.729276            6      1
   -4.946145    -3.796120     2.578288            6      1
   -7.763063    -3.796120     2.578288            6      1
   -4.946145    -4.677226     2.578288            6      1
   -7.763063    -4.677226     2.578288            6      1
   -7.763063    -3.796120    -0.238630            6      1
   -5.914051    -2.828214     2.578288            6      1
   -6.795157    -2.828214     2.578288            6      1
   -5.914051    -5.645132     2.578288            6      1
   -6.795157    -5.645132     2.578288            6      1
   -6.795157    -2.828214    -0.238630            6      1
   -5.914051    -5.645132    -0.238630            6      1
   -5.547397    -3.429466     2.860520            6      1
   -7.161810    -3.429466     2.860520            6      1
   -5.547397    -5.043879     2.860520            6      1
   -7.161810    -5.043879     2.860520            6      1
   -7.161810    -3.429466    -0.520862            6      1
   -5.547397    -5.043879    -0.520862            6      1
   -5.547397    -2.545982     1.977035            6      1
   -7.161810    -2.545982     1.977035            6      1
   -5.547397    -5.927364     1.977035            6      1
   -7.161810    -2.545982     0.362622            6      1
   -5.547397    -5.927364     0.362622            6      1
   -8.045294    -3.429466     1.977035            6      1
   -4.663913    -5.043879     1.977035            6      1
   -8.045294    -3.429466     0.362622            6      1
   -4.663913    -5.043879     0.362622            6      1
   -7.330476    -2.445229     1.169829            6      1
   -5.378731    -6.028117     1.169829            6      1
   -8.146048    -3.260800     1.169829            6      1
   -4.563159    -5.212546     1.169829            6      1
   -5.378731    -4.236673     2.961273            6      1
   -7.330476    -4.236673     2.961273            6      1
   -4.563159    -4.236673     2.145702            6      1
   -8.146048    -4.236673     2.145702            6      1
   -6.354604    -3.260800     2.961273            6      1
   -6.354604    -5.212546     2.961273            6      1
   -6.354604    -3.260800    -0.621615            6      1
   -6.354604    -2.445229     2.145702            6      1
   -6.354604    -6.028117     2.145702            6      1
   -6.354604    -2.445229     0.193956            6      1
  -10.140302    -5.550279     1.256227            8      2
