# Atoms array:
     x           y            z                   Z     indx
   -5.145622    -2.522780    -0.899958            1      0
   -4.205110    -2.401391    -2.897740            6      1
   -2.925104    -2.225121    -2.451521            8      2
   -6.793521    -0.702182    -1.172784            1      3
   -5.228770    -1.989958    -1.857477            6      4
   -6.122200    -0.996877    -1.984078            6      5
   -6.207173    -0.436980    -2.921785            1      6
   -4.463471    -1.822683    -3.835978            1      7
   -4.456740    -3.474041    -3.176231            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -5.145622    -3.842780    -0.899958            1      0
   -5.145622    -2.522780     0.420042            1      0
   -4.383519    -1.760678    -0.137856            1      0
   -5.907724    -1.760678    -0.137856            1      0
   -4.383519    -3.284883    -0.137856            1      0
   -5.907724    -3.284883    -0.137856            1      0
   -4.901269    -2.278428     0.374006            1      0
   -5.389974    -2.278428     0.374006            1      0
   -4.901269    -2.767133     0.374006            1      0
   -5.389974    -2.767133     0.374006            1      0
   -4.901269    -3.796744    -0.655605            1      0
   -5.389974    -3.796744    -0.655605            1      0
   -4.901269    -3.796744    -1.144311            1      0
   -5.389974    -3.796744    -1.144311            1      0
   -3.871658    -2.278428    -0.655605            1      0
   -3.871658    -2.767133    -0.655605            1      0
   -6.419585    -2.767133    -0.655605            1      0
   -4.234266    -3.434136    -0.614894            1      0
   -6.056977    -3.434136    -0.614894            1      0
   -4.234266    -3.434136    -1.185022            1      0
   -6.056977    -3.434136    -1.185022            1      0
   -4.234266    -2.237717     0.011398            1      0
   -6.056977    -2.237717     0.011398            1      0
   -4.234266    -2.807844     0.011398            1      0
   -6.056977    -2.807844     0.011398            1      0
   -4.860558    -1.611424     0.011398            1      0
   -5.430685    -1.611424     0.011398            1      0
   -4.860558    -3.434136     0.011398            1      0
   -5.430685    -3.434136     0.011398            1      0
   -4.623311    -2.000470     0.194018            1      0
   -5.667932    -2.000470     0.194018            1      0
   -4.623311    -3.045090     0.194018            1      0
   -5.667932    -3.045090     0.194018            1      0
   -4.623311    -3.616757    -0.377648            1      0
   -5.667932    -3.616757    -0.377648            1      0
   -4.623311    -3.616757    -1.422268            1      0
   -5.667932    -3.616757    -1.422268            1      0
   -4.051645    -2.000470    -0.377648            1      0
   -6.239598    -2.000470    -0.377648            1      0
   -4.051645    -3.045090    -0.377648            1      0
   -6.239598    -3.045090    -0.377648            1      0
   -4.514174    -3.681950    -0.899958            1      0
   -5.777069    -3.681950    -0.899958            1      0
   -3.986452    -3.154227    -0.899958            1      0
   -6.304791    -3.154227    -0.899958            1      0
   -4.514174    -2.522780     0.259212            1      0
   -5.777069    -2.522780     0.259212            1      0
   -3.986452    -2.522780    -0.268511            1      0
   -6.304791    -2.522780    -0.268511            1      0
   -5.145622    -1.891333     0.259212            1      0
   -5.145622    -3.154227     0.259212            1      0
   -5.145622    -1.363610    -0.268511            1      0
   -5.145622    -3.681950    -0.268511            1      0
