# Atoms array:
     x           y            z                   Z     indx
   -3.603853     3.400647    -1.066328            1      0
   -0.247426     3.456412    -0.205227            6      1
   -2.653983     3.031861    -0.665702            6      2
   -1.256070     0.304625     0.811164            1      3
    0.731175     1.758643     0.744656            1      4
   -2.587088     1.737361    -0.121417            6      5
   -1.537692     3.861627    -0.709220            6      6
   -1.345194     1.307279     0.380776            6      7
   -3.464456     1.089743    -0.091533            1      8
   -0.220557     2.124015     0.345581            6      9
   -1.628304     4.864973    -1.140339            1     10
    0.866057     4.215281    -0.222126            7     11
    0.621504     5.117066    -0.654727            1     12

# Gridpoints array:
     x           y            z                   Z     indx
   -4.923853     3.400647    -1.066328            1      0
   -3.603853     4.720647    -1.066328            1      0
   -3.603853     3.400647    -2.386328            1      0
   -4.365956     4.162749    -0.304226            1      0
   -4.365956     2.638545    -0.304226            1      0
   -4.365956     4.162749    -1.828431            1      0
   -4.365956     2.638545    -1.828431            1      0
   -3.359501     3.645000    -2.340292            1      0
   -3.848206     3.645000    -2.340292            1      0
   -3.359501     3.156294    -2.340292            1      0
   -3.848206     3.156294    -2.340292            1      0
   -3.359501     4.674611    -0.821976            1      0
   -3.848206     4.674611    -0.821976            1      0
   -3.359501     4.674611    -1.310681            1      0
   -3.848206     4.674611    -1.310681            1      0
   -4.877817     3.645000    -0.821976            1      0
   -4.877817     3.156294    -0.821976            1      0
   -4.877817     3.645000    -1.310681            1      0
   -4.877817     3.156294    -1.310681            1      0
   -4.515209     4.312003    -0.781265            1      0
   -4.515209     2.489291    -0.781265            1      0
   -4.515209     4.312003    -1.351392            1      0
   -4.515209     2.489291    -1.351392            1      0
   -4.515209     3.685711    -0.154973            1      0
   -4.515209     3.115583    -0.154973            1      0
   -4.515209     3.685711    -1.977684            1      0
   -4.515209     3.115583    -1.977684            1      0
   -3.888917     4.312003    -0.154973            1      0
   -3.318790     4.312003    -1.977684            1      0
   -3.888917     4.312003    -1.977684            1      0
   -3.888917     2.489291    -1.977684            1      0
   -4.126164     3.922957     0.027648            1      0
   -3.081543     3.922957    -2.160305            1      0
   -4.126164     3.922957    -2.160305            1      0
   -4.126164     2.878337    -2.160305            1      0
   -4.126164     4.494623    -0.544018            1      0
   -3.081543     4.494623    -1.588639            1      0
   -4.126164     4.494623    -1.588639            1      0
   -4.126164     2.306671    -1.588639            1      0
   -4.697830     3.922957    -0.544018            1      0
   -4.697830     2.878337    -0.544018            1      0
   -4.697830     3.922957    -1.588639            1      0
   -4.697830     2.878337    -1.588639            1      0
   -4.235301     4.559817    -1.066328            1      0
   -4.235301     2.241477    -1.066328            1      0
   -4.763023     4.032094    -1.066328            1      0
   -4.763023     2.769200    -1.066328            1      0
   -4.235301     3.400647     0.092841            1      0
   -4.235301     3.400647    -2.225498            1      0
   -4.763023     3.400647    -0.434881            1      0
   -4.763023     3.400647    -1.697776            1      0
   -3.603853     4.032094    -2.225498            1      0
   -3.603853     2.769200    -2.225498            1      0
   -3.603853     4.559817    -0.434881            1      0
   -3.603853     4.559817    -1.697776            1      0
   -0.247426     3.456412     1.834773            6      1
   -0.247426     3.456412    -2.245227            6      1
   -1.425221     4.634207     0.972568            6      1
    0.930368     2.278618    -1.383022            6      1
    0.130210     3.834048     1.763626            6      1
   -0.625062     3.834048     1.763626            6      1
    0.130210     3.078776     1.763626            6      1
   -0.625062     3.078776     1.763626            6      1
    0.130210     3.834048    -2.174080            6      1
   -0.625062     3.834048    -2.174080            6      1
    0.130210     3.078776    -2.174080            6      1
   -0.625062     3.078776    -2.174080            6      1
   -0.625062     5.425265     0.172409            6      1
   -0.625062     5.425265    -0.582863            6      1
    1.721427     3.078776     0.172409            6      1
    1.721427     3.078776    -0.582863            6      1
    1.161033     2.047953    -0.645780            6      1
    1.161033     3.896965     1.203232            6      1
   -1.655885     3.896965     1.203232            6      1
    1.161033     3.015859     1.203232            6      1
   -1.655885     3.015859     1.203232            6      1
    1.161033     3.896965    -1.613686            6      1
    1.161033     3.015859    -1.613686            6      1
    0.193127     4.864871     1.203232            6      1
   -0.687979     4.864871     1.203232            6      1
    0.193127     4.864871    -1.613686            6      1
    0.193127     2.047953    -1.613686            6      1
   -0.687979     2.047953    -1.613686            6      1
    0.559780     4.263619     1.485464            6      1
   -1.054633     4.263619     1.485464            6      1
    0.559780     4.263619    -1.895918            6      1
    0.559780     2.649206    -1.895918            6      1
   -1.054633     2.649206    -1.895918            6      1
   -1.054633     5.147103     0.601980            6      1
    0.559780     1.765722    -1.012434            6      1
    1.443265     2.649206     0.601980            6      1
    1.443265     2.649206    -1.012434            6      1
    1.544018     2.480540    -0.205227            6      1
    0.728447     3.456412     1.586217            6      1
   -1.223299     3.456412     1.586217            6      1
    0.728447     3.456412    -1.996671            6      1
    1.544018     3.456412     0.770646            6      1
    1.544018     3.456412    -1.181100            6      1
   -0.247426     4.432285     1.586217            6      1
   -0.247426     4.432285    -1.996671            6      1
   -0.247426     2.480540    -1.996671            6      1
   -0.247426     5.247857     0.770646            6      1
   -0.247426     5.247857    -1.181100            6      1
   -0.247426     1.664968    -1.181100            6      1
   -4.693983     3.031861    -0.665702            6      2
   -2.653983     3.031861     1.374298            6      2
   -2.653983     3.031861    -2.705702            6      2
   -3.831778     4.209655     0.512092            6      2
   -3.831778     4.209655    -1.843497            6      2
   -1.476189     1.854066    -1.843497            6      2
   -3.831778     1.854066    -1.843497            6      2
   -2.276347     3.409497     1.303151            6      2
   -3.031619     3.409497     1.303151            6      2
   -2.276347     2.654225     1.303151            6      2
   -3.031619     2.654225     1.303151            6      2
   -2.276347     3.409497    -2.634555            6      2
   -3.031619     3.409497    -2.634555            6      2
   -2.276347     2.654225    -2.634555            6      2
   -3.031619     2.654225    -2.634555            6      2
   -3.031619     5.000714    -0.288066            6      2
   -3.031619     5.000714    -1.043338            6      2
   -4.622836     3.409497    -0.288066            6      2
   -4.622836     2.654225    -0.288066            6      2
   -4.622836     3.409497    -1.043338            6      2
   -4.622836     2.654225    -1.043338            6      2
   -4.062442     4.440320    -0.225149            6      2
   -4.062442     4.440320    -1.106255            6      2
   -4.062442     1.623402    -1.106255            6      2
   -4.062442     3.472414     0.742757            6      2
   -4.062442     2.591308     0.742757            6      2
   -4.062442     3.472414    -2.074161            6      2
   -1.245524     2.591308    -2.074161            6      2
   -4.062442     2.591308    -2.074161            6      2
   -2.213430     4.440320     0.742757            6      2
   -3.094536     4.440320     0.742757            6      2
   -2.213430     4.440320    -2.074161            6      2
   -3.094536     4.440320    -2.074161            6      2
   -2.213430     1.623402    -2.074161            6      2
   -3.094536     1.623402    -2.074161            6      2
   -1.846777     3.839067     1.024989            6      2
   -3.461190     3.839067     1.024989            6      2
   -3.461190     2.224654     1.024989            6      2
   -1.846777     3.839067    -2.356393            6      2
   -3.461190     3.839067    -2.356393            6      2
   -1.846777     2.224654    -2.356393            6      2
   -3.461190     2.224654    -2.356393            6      2
   -3.461190     4.722551     0.141504            6      2
   -3.461190     4.722551    -1.472909            6      2
   -1.846777     1.341170    -1.472909            6      2
   -3.461190     1.341170    -1.472909            6      2
   -4.344674     3.839067     0.141504            6      2
   -4.344674     2.224654     0.141504            6      2
   -4.344674     3.839067    -1.472909            6      2
   -0.963292     2.224654    -1.472909            6      2
   -4.344674     2.224654    -1.472909            6      2
   -3.629856     4.823305    -0.665702            6      2
   -4.445427     4.007734    -0.665702            6      2
   -4.445427     2.055988    -0.665702            6      2
   -1.678110     3.031861     1.125742            6      2
   -3.629856     3.031861     1.125742            6      2
   -1.678110     3.031861    -2.457146            6      2
   -3.629856     3.031861    -2.457146            6      2
   -4.445427     3.031861     0.310171            6      2
   -4.445427     3.031861    -1.641575            6      2
   -2.653983     4.007734     1.125742            6      2
   -2.653983     4.007734    -2.457146            6      2
   -2.653983     2.055988    -2.457146            6      2
   -2.653983     4.823305     0.310171            6      2
   -2.653983     4.823305    -1.641575            6      2
   -2.653983     1.240417    -1.641575            6      2
   -1.256070    -1.015375     0.811164            1      3
   -1.256070     0.304625     2.131164            1      3
   -0.493968    -0.457477     1.573266            1      3
   -2.018173    -0.457477     1.573266            1      3
   -0.493968    -0.457477     0.049061            1      3
   -2.018173    -0.457477     0.049061            1      3
   -1.011718     0.548978     2.085127            1      3
   -1.500423     0.548978     2.085127            1      3
   -1.011718     0.060273     2.085127            1      3
   -1.500423     0.060273     2.085127            1      3
   -1.011718    -0.969338     1.055516            1      3
   -1.500423    -0.969338     1.055516            1      3
   -1.011718    -0.969338     0.566811            1      3
   -1.500423    -0.969338     0.566811            1      3
    0.017893     0.060273     1.055516            1      3
   -2.530034     0.060273     1.055516            1      3
    0.017893     0.060273     0.566811            1      3
   -0.344715    -0.606730     1.096227            1      3
   -2.167426    -0.606730     1.096227            1      3
   -0.344715    -0.606730     0.526100            1      3
   -2.167426    -0.606730     0.526100            1      3
   -0.344715     0.589689     1.722520            1      3
   -2.167426     0.589689     1.722520            1      3
   -0.344715     0.019562     1.722520            1      3
   -2.167426     0.019562     1.722520            1      3
   -0.344715     0.019562    -0.100192            1      3
   -0.971007    -0.606730     1.722520            1      3
   -1.541134    -0.606730     1.722520            1      3
   -0.971007    -0.606730    -0.100192            1      3
   -1.541134    -0.606730    -0.100192            1      3
   -0.733760     0.826935     1.905140            1      3
   -0.733760    -0.217685     1.905140            1      3
   -1.778381    -0.217685     1.905140            1      3
   -0.733760    -0.217685    -0.282813            1      3
   -1.778381    -0.217685    -0.282813            1      3
   -0.733760    -0.789351     1.333474            1      3
   -1.778381    -0.789351     1.333474            1      3
   -0.733760    -0.789351     0.288854            1      3
   -1.778381    -0.789351     0.288854            1      3
   -0.162094    -0.217685     1.333474            1      3
   -2.350047    -0.217685     1.333474            1      3
