# Atoms array:
     x           y            z                   Z     indx
   -4.172182    -1.980183     1.997006            6      0
   -3.832282    -2.432666     0.719711            6      1
   -6.995103    -3.791794     2.510512            1      2
   -5.313376    -2.464031     2.653674            6      3
   -3.554637    -1.239940     2.508565            1      4
   -4.633010    -3.383165     0.077340            6      5
   -2.940578    -2.044449     0.222531            1      6
   -5.773191    -3.874870     0.721873            6      7
   -4.369647    -3.739278    -0.920679            1      8
   -6.107669    -3.416438     1.998590            6      9
   -6.402652    -4.617497     0.226565            1     10
   -5.682070    -1.962248     4.055206            6     11
   -4.897595    -1.119171     4.584707            8     12
   -6.740538    -2.429173     4.573527            8     13

# Gridpoints array:
     x           y            z                   Z     indx
   -2.132182    -1.980183     1.997006            6      0
   -4.172182     0.059817     1.997006            6      0
   -4.172182    -4.020183     1.997006            6      0
   -2.994388    -0.802389     3.174800            6      0
   -2.994388    -3.157978     3.174800            6      0
   -2.994388    -0.802389     0.819211            6      0
   -5.349977    -0.802389     0.819211            6      0
   -3.794546    -2.357819     3.965859            6      0
   -3.794546    -0.011330     2.374641            6      0
   -4.549818    -0.011330     2.374641            6      0
   -3.794546    -3.949036     2.374641            6      0
   -3.794546    -0.011330     1.619370            6      0
   -4.549818    -0.011330     1.619370            6      0
   -3.794546    -3.949036     1.619370            6      0
   -2.203329    -1.602547     2.374641            6      0
   -2.203329    -2.357819     2.374641            6      0
   -2.203329    -1.602547     1.619370            6      0
   -2.203329    -2.357819     1.619370            6      0
   -2.763723    -0.571724     2.437558            6      0
   -5.580641    -0.571724     2.437558            6      0
   -2.763723    -3.388642     2.437558            6      0
   -2.763723    -0.571724     1.556453            6      0
   -5.580641    -0.571724     1.556453            6      0
   -2.763723    -3.388642     1.556453            6      0
   -2.763723    -1.539630     3.405465            6      0
   -2.763723    -2.420736     3.405465            6      0
   -5.580641    -1.539630     0.588547            6      0
   -3.731629    -0.571724     3.405465            6      0
   -3.731629    -3.388642     3.405465            6      0
   -3.731629    -0.571724     0.588547            6      0
   -4.612735    -0.571724     0.588547            6      0
   -3.364976    -1.172977     3.687696            6      0
   -3.364976    -2.787390     3.687696            6      0
   -4.979389    -1.172977     0.306315            6      0
   -3.364976    -0.289493     2.804212            6      0
   -4.979389    -0.289493     2.804212            6      0
   -3.364976    -3.670874     2.804212            6      0
   -3.364976    -0.289493     1.189799            6      0
   -4.979389    -0.289493     1.189799            6      0
   -2.481491    -1.172977     2.804212            6      0
   -2.481491    -2.787390     2.804212            6      0
   -2.481491    -1.172977     1.189799            6      0
   -5.862873    -1.172977     1.189799            6      0
   -3.196309    -0.188739     1.997006            6      0
   -5.148055    -0.188739     1.997006            6      0
   -3.196309    -3.771628     1.997006            6      0
