# Atoms array:
     x           y            z                   Z     indx
   -4.201915    -4.153626    -3.258001            6      0
   -2.889810    -4.639495    -3.235598            6      1
   -3.791554    -1.343104    -1.391508            1      2
   -4.548975    -2.961326    -2.602182            6      3
   -4.979288    -4.710675    -3.790654            1      4
   -1.892853    -3.934531    -2.550913            6      5
   -2.643306    -5.573478    -3.746998            1      6
   -2.222391    -2.746365    -1.887172            6      7
   -0.867835    -4.310914    -2.529517            1      8
   -3.537491    -2.270278    -1.915167            6      9
   -1.452338    -2.195470    -1.341175            1     10
   -5.952918    -2.372575    -2.731086            6     11
   -6.662474    -3.254228    -2.761296            1     12
   -6.178040    -1.872548    -1.740539            1     13
   -6.049097    -1.539656    -3.813368            8     14

# Gridpoints array:
     x           y            z                   Z     indx
   -6.241915    -4.153626    -3.258001            6      0
   -4.201915    -6.193626    -3.258001            6      0
   -4.201915    -4.153626    -1.218001            6      0
   -4.201915    -4.153626    -5.298001            6      0
   -5.379709    -5.331421    -2.080206            6      0
   -3.024120    -2.975832    -4.435795            6      0
   -5.379709    -2.975832    -4.435795            6      0
   -5.379709    -5.331421    -4.435795            6      0
   -3.824279    -4.531262    -1.289148            6      0
   -4.579550    -4.531262    -1.289148            6      0
   -3.824279    -3.775990    -5.226854            6      0
   -4.579550    -3.775990    -5.226854            6      0
   -3.824279    -4.531262    -5.226854            6      0
   -4.579550    -4.531262    -5.226854            6      0
   -3.824279    -6.122479    -2.880365            6      0
   -4.579550    -6.122479    -2.880365            6      0
   -3.824279    -6.122479    -3.635637            6      0
   -4.579550    -6.122479    -3.635637            6      0
   -6.170768    -4.531262    -2.880365            6      0
   -6.170768    -3.775990    -3.635637            6      0
   -6.170768    -4.531262    -3.635637            6      0
   -5.610373    -5.562085    -2.817448            6      0
   -2.793456    -2.745167    -3.698554            6      0
   -5.610373    -5.562085    -3.698554            6      0
   -5.610373    -4.594179    -1.849542            6      0
   -2.793456    -3.713073    -4.666460            6      0
   -5.610373    -3.713073    -4.666460            6      0
   -5.610373    -4.594179    -4.666460            6      0
   -3.761362    -5.562085    -1.849542            6      0
   -4.642467    -5.562085    -1.849542            6      0
   -3.761362    -2.745167    -4.666460            6      0
   -4.642467    -2.745167    -4.666460            6      0
   -3.761362    -5.562085    -4.666460            6      0
   -4.642467    -5.562085    -4.666460            6      0
   -3.394708    -4.960833    -1.567310            6      0
   -5.009121    -4.960833    -1.567310            6      0
   -3.394708    -3.346420    -4.948692            6      0
   -5.009121    -3.346420    -4.948692            6      0
   -3.394708    -4.960833    -4.948692            6      0
   -5.009121    -4.960833    -4.948692            6      0
   -3.394708    -5.844317    -2.450794            6      0
   -5.009121    -5.844317    -2.450794            6      0
   -3.394708    -2.462935    -4.065207            6      0
   -5.009121    -5.844317    -4.065207            6      0
   -5.892605    -4.960833    -2.450794            6      0
   -5.892605    -3.346420    -4.065207            6      0
   -5.892605    -4.960833    -4.065207            6      0
   -5.177787    -5.945070    -3.258001            6      0
   -5.993359    -5.129499    -3.258001            6      0
   -5.177787    -4.153626    -1.466557            6      0
   -3.226042    -4.153626    -5.049445            6      0
   -5.177787    -4.153626    -5.049445            6      0
