grid_point,N_poses,Emin_kcal,Z,Boltz_mean_Eint_corr_kcal,Boltz_std_kcal,pose_probs
gp0,8,-4.446477001707535,3.9999999999938596,-4.446477001706626,4.2084125835022545e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp1,8,-4.446477001707535,3.9999999999938596,-4.446477001706626,4.208412592514659e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp2,8,-4.446477001711173,3.9999999999831144,-4.446477001708672,4.210561851298734e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp3,8,-4.446477001711173,3.9999999999831144,-4.446477001708672,4.210561854400801e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp4,8,-4.446477001710264,3.9999999999892544,-4.446477001708672,4.2085968404724596e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp5,8,-4.446477001710264,3.9999999999831144,-4.446477001707763,4.209579453866551e-11,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp6,8,-4.446476995829471,3.999999979680527,-4.446476992819726,3.0091300245518955e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp7,8,-4.446476995827652,3.9999999796866668,-4.446476992818816,3.0082206187906744e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp8,8,-4.446476995827652,3.999999979694342,-4.446476992819954,3.0079934564173796e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp9,8,-4.446476995829471,3.9999999796835963,-4.44647699282018,3.0095846587404735e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp10,8,-4.446476995827652,3.9999999796897368,-4.446476992819272,3.0086752529317317e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp11,8,-4.446476995827652,3.9999999796897368,-4.446476992819272,3.0086752529317313e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp12,8,-4.446476995829471,3.999999979680527,-4.446476992819726,3.0091300245518968e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp13,8,-4.446476995827652,3.9999999796897368,-4.446476992819271,3.008675252931605e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp14,8,-4.446477005340967,3.999999992746883,-4.446477004266626,1.1851913957920236e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp15,8,-4.446477005165434,3.999999992536581,-4.446477004059943,1.1734458561955921e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp16,8,-4.446477005339148,3.999999992765303,-4.4464770042675354,1.1840310426319096e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp17,8,-4.446477005165434,3.999999992545791,-4.4464770040613075,1.1746354155788092e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp18,8,-4.446477005340967,3.9999999927438123,-4.446477004266171,1.1840830882200252e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp19,8,-4.446477005169072,3.9999999925319756,-4.446477004062899,1.1726121512039411e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp20,8,-4.446477005341876,3.999999992746883,-4.4464770042675354,1.1846491546364815e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp21,8,-4.446477005164525,3.9999999925565364,-4.44647700406199,1.175197476373568e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp22,8,-4.446477005342786,3.9999999927438123,-4.44647700426799,1.185578160386919e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp23,8,-4.446477005164525,3.999999992565747,-4.446477004063354,1.1726403675498718e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp24,8,-4.446477005343695,3.9999999927346024,-4.4464770042675354,1.1850378412523024e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp25,8,-4.446477005166344,3.999999992544256,-4.44647700406199,1.1736185258509613e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp26,8,-4.4464770053446045,3.9999999927361376,-4.446477004268672,1.1863020889437155e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp27,8,-4.446477005166344,3.9999999925565364,-4.446477004063809,1.1741466637286874e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp28,8,-4.446477005341876,3.9999999927499528,-4.44647700426799,1.1853470239680985e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp29,8,-4.446477005166344,3.999999992547326,-4.446477004062445,1.1732110736871792e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp30,8,-4.446477004753433,3.9999999922602716,-4.446477003607015,1.145827197515869e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp31,8,-4.446477004753433,3.9999999922525964,-4.446477003605878,1.1465091740643983e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp32,8,-4.446477004753433,3.9999999922525964,-4.446477003605878,1.1469636148504875e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp33,8,-4.4464770047488855,3.9999999922694816,-4.446477003603832,1.144917865610443e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp34,8,-4.4464770047507045,3.9999999922740868,-4.446477003606333,1.1446905100877346e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp35,8,-4.446477004753433,3.9999999922525964,-4.446477003605878,1.146509174070446e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp36,8,-4.446477004751614,3.9999999922664116,-4.446477003606105,1.145826475603738e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp37,8,-4.446477004753433,3.999999992247991,-4.446477003605196,1.1471904297462684e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp38,8,-4.446477007413705,3.9999999582865176,-4.446477001235053,4.6296441897486165e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp39,8,-4.446477006333225,3.9999999435515603,-4.446476997972013,8.336654368589508e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp40,8,-4.446477007415524,3.999999958281912,-4.44647700123619,4.630543925790624e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp41,8,-4.446477006335044,3.9999999435484903,-4.446476997973377,8.335869509410219e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp42,8,-4.446477007413705,3.999999958283447,-4.446477001234598,4.63062380318927e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp43,8,-4.446477006333225,3.9999999435561655,-4.446476997972695,8.334542037004262e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp44,8,-4.4464770074164335,3.9999999582803767,-4.446477001236872,4.63051798445981e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp45,8,-4.446477006334135,3.9999999435454203,-4.446476997972013,8.336081489974141e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp46,8,-4.4464770074127955,3.9999999582926575,-4.446477001235053,4.6293666615515134e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp47,8,-4.446477006334135,3.9999999435484903,-4.446476997972468,8.336904280594053e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp48,8,-4.4464770074164335,3.999999958286517,-4.446477001237781,4.628454270308659e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp49,8,-4.446477006333225,3.999999943553095,-4.446476997972241,8.335973593275626e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp50,8,-4.446477007417343,3.9999999582680967,-4.446477001235962,4.630750563657115e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp51,8,-4.446477006335044,3.9999999435469555,-4.44647699797315,8.33599450602206e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp52,8,-4.4464770074164335,3.999999958277307,-4.446477001236417,4.629929540006009e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp53,8,-4.446477006331406,3.9999999435592355,-4.446476997971331,8.334438906041882e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp54,8,-4.446477003995824,3.999999990995389,-4.44647700266205,1.3344372832336034e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp55,8,-4.446477003997643,3.999999990992319,-4.446477002663414,1.3344373607193285e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp56,8,-4.446477003997643,3.9999999909861788,-4.446477002662505,1.3330752712598376e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp57,8,-4.446477003997643,3.999999990986179,-4.446477002662504,1.333983382080829e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp58,8,-4.446477003995824,3.9999999909969244,-4.446477002662277,1.3342100613410028e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp59,8,-4.446477003996733,3.999999990992319,-4.446477002662505,1.334437360712336e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp60,8,-4.446477003996733,3.9999999909907844,-4.446477002662277,1.3328475844415874e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp61,8,-4.446477003996733,3.999999990995389,-4.446477002662959,1.3339828395006683e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp62,8,-4.4464770074973785,3.9999999729508615,-4.446477003490827,3.6904466698017935e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp63,8,-4.446477004822555,3.999999981867975,-4.446477002136817,3.4745936642354636e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
