grid_point,pose,E_explicit_kcal,E_imp_cross_kcal,E_corrected_kcal,E_int_corrected_kcal
gp0,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp0,b0_rot90,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp0,b0_rot180,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp0,b0_rot270,-5909.628700624594,-4.961993390350051,-5904.666707234243,-4.446477001704807
gp0,b1_rot0,-5886.71383348276,-14.480814574606093,-5872.233018908153,27.9872113243855
gp0,b1_rot90,-5886.713833482759,-14.480814574606093,-5872.233018908152,27.987211324386408
gp0,b1_rot180,-5886.713833482758,-14.480814574606093,-5872.233018908151,27.987211324387317
gp0,b1_rot270,-5886.713833482755,-14.480814574606093,-5872.233018908149,27.987211324390046
gp1,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp1,b0_rot90,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp1,b0_rot180,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp1,b0_rot270,-5909.628700624594,-4.961993390350051,-5904.666707234243,-4.446477001704807
gp1,b1_rot0,-5886.7138334853935,-14.480814574606093,-5872.233018910787,27.9872113217516
gp1,b1_rot90,-5886.713833485391,-14.480814574606093,-5872.233018910784,27.98721132175433
gp1,b1_rot180,-5886.713833485396,-14.480814574606093,-5872.23301891079,27.987211321748873
gp1,b1_rot270,-5886.7138334853935,-14.480814574606093,-5872.233018910787,27.9872113217516
gp2,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp2,b0_rot90,-5909.628700624598,-4.961993390350051,-5904.666707234248,-4.446477001709354
gp2,b0_rot180,-5909.6287006246,-4.961993390350051,-5904.66670723425,-4.446477001711173
gp2,b0_rot270,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp2,b1_rot0,-5886.7138334846595,-14.480814574606093,-5872.233018910053,27.987211322485564
gp2,b1_rot90,-5886.713833484662,-14.480814574606093,-5872.233018910056,27.987211322482835
gp2,b1_rot180,-5886.713833484664,-14.480814574606093,-5872.233018910058,27.987211322481016
gp2,b1_rot270,-5886.71383348466,-14.480814574606093,-5872.233018910054,27.987211322484654
gp3,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp3,b0_rot90,-5909.628700624598,-4.961993390350051,-5904.666707234248,-4.446477001709354
gp3,b0_rot180,-5909.6287006246,-4.961993390350051,-5904.66670723425,-4.446477001711173
gp3,b0_rot270,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp3,b1_rot0,-5886.71383348557,-14.480814574606093,-5872.233018910963,27.98721132157516
gp3,b1_rot90,-5886.713833485568,-14.480814574606093,-5872.233018910962,27.98721132157698
gp3,b1_rot180,-5886.71383348557,-14.480814574606093,-5872.233018910963,27.98721132157516
gp3,b1_rot270,-5886.713833485569,-14.480814574606093,-5872.2330189109625,27.98721132157607
gp4,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp4,b0_rot90,-5909.628700624598,-4.961993390350051,-5904.666707234248,-4.446477001709354
