# Atoms array:
     x           y            z                   Z     indx
    0.000000     0.000000     0.000000           35      0

# Gridpoints array:
     x           y            z                   Z     indx
    2.220000    -0.000000     0.000000           35      0
   -2.220000     0.000000     0.000000           35      0
    0.000000     2.220000     0.000000           35      0
   -0.000000    -2.220000     0.000000           35      0
    0.000000     0.000000     2.220000           35      0
   -0.000000    -0.000000    -2.220000           35      0
    1.281718     1.281718     1.281718           35      0
   -1.281718     1.281718     1.281718           35      0
    1.281718    -1.281718     1.281718           35      0
   -1.281718    -1.281718     1.281718           35      0
    1.281718     1.281718    -1.281718           35      0
   -1.281718     1.281718    -1.281718           35      0
    1.281718    -1.281718    -1.281718           35      0
   -1.281718    -1.281718    -1.281718           35      0
    0.410957     0.410957     2.142575           35      0
   -0.410957     0.410957     2.142575           35      0
    0.410957    -0.410957     2.142575           35      0
   -0.410957    -0.410957     2.142575           35      0
    0.410957     0.410957    -2.142575           35      0
   -0.410957     0.410957    -2.142575           35      0
    0.410957    -0.410957    -2.142575           35      0
   -0.410957    -0.410957    -2.142575           35      0
    0.410957     2.142575     0.410957           35      0
   -0.410957     2.142575     0.410957           35      0
    0.410957    -2.142575     0.410957           35      0
   -0.410957    -2.142575     0.410957           35      0
    0.410957     2.142575    -0.410957           35      0
   -0.410957     2.142575    -0.410957           35      0
    0.410957    -2.142575    -0.410957           35      0
   -0.410957    -2.142575    -0.410957           35      0
    2.142575     0.410957     0.410957           35      0
   -2.142575     0.410957     0.410957           35      0
    2.142575    -0.410957     0.410957           35      0
   -2.142575    -0.410957     0.410957           35      0
    2.142575     0.410957    -0.410957           35      0
   -2.142575     0.410957    -0.410957           35      0
    2.142575    -0.410957    -0.410957           35      0
   -2.142575    -0.410957    -0.410957           35      0
    1.532735     1.532735     0.479425           35      0
   -1.532735     1.532735     0.479425           35      0
    1.532735    -1.532735     0.479425           35      0
   -1.532735    -1.532735     0.479425           35      0
    1.532735     1.532735    -0.479425           35      0
   -1.532735     1.532735    -0.479425           35      0
    1.532735    -1.532735    -0.479425           35      0
   -1.532735    -1.532735    -0.479425           35      0
    1.532735     0.479425     1.532735           35      0
   -1.532735     0.479425     1.532735           35      0
    1.532735    -0.479425     1.532735           35      0
   -1.532735    -0.479425     1.532735           35      0
    1.532735     0.479425    -1.532735           35      0
   -1.532735     0.479425    -1.532735           35      0
    1.532735    -0.479425    -1.532735           35      0
   -1.532735    -0.479425    -1.532735           35      0
    0.479425     1.532735     1.532735           35      0
   -0.479425     1.532735     1.532735           35      0
    0.479425    -1.532735     1.532735           35      0
   -0.479425    -1.532735     1.532735           35      0
    0.479425     1.532735    -1.532735           35      0
   -0.479425     1.532735    -1.532735           35      0
    0.479425    -1.532735    -1.532735           35      0
   -0.479425    -1.532735    -1.532735           35      0
    0.878431     0.878431     1.839869           35      0
   -0.878431     0.878431     1.839869           35      0
    0.878431    -0.878431     1.839869           35      0
   -0.878431    -0.878431     1.839869           35      0
    0.878431     0.878431    -1.839869           35      0
   -0.878431     0.878431    -1.839869           35      0
    0.878431    -0.878431    -1.839869           35      0
   -0.878431    -0.878431    -1.839869           35      0
    0.878431     1.839869     0.878431           35      0
   -0.878431     1.839869     0.878431           35      0
    0.878431    -1.839869     0.878431           35      0
   -0.878431    -1.839869     0.878431           35      0
    0.878431     1.839869    -0.878431           35      0
   -0.878431     1.839869    -0.878431           35      0
    0.878431    -1.839869    -0.878431           35      0
   -0.878431    -1.839869    -0.878431           35      0
    1.839869     0.878431     0.878431           35      0
   -1.839869     0.878431     0.878431           35      0
    1.839869    -0.878431     0.878431           35      0
   -1.839869    -0.878431     0.878431           35      0
    1.839869     0.878431    -0.878431           35      0
   -1.839869     0.878431    -0.878431           35      0
    1.839869    -0.878431    -0.878431           35      0
   -1.839869    -0.878431    -0.878431           35      0
    1.061979     1.949513     0.000000           35      0
   -1.061979     1.949513     0.000000           35      0
    1.061979    -1.949513     0.000000           35      0
   -1.061979    -1.949513     0.000000           35      0
    1.949513     1.061979     0.000000           35      0
   -1.949513     1.061979     0.000000           35      0
    1.949513    -1.061979     0.000000           35      0
   -1.949513    -1.061979     0.000000           35      0
    1.061979    -0.000000     1.949513           35      0
   -1.061979     0.000000     1.949513           35      0
    1.061979    -0.000000    -1.949513           35      0
   -1.061979     0.000000    -1.949513           35      0
    1.949513    -0.000000     1.061979           35      0
   -1.949513     0.000000     1.061979           35      0
    1.949513    -0.000000    -1.061979           35      0
   -1.949513     0.000000    -1.061979           35      0
    0.000000     1.061979     1.949513           35      0
   -0.000000    -1.061979     1.949513           35      0
    0.000000     1.061979    -1.949513           35      0
   -0.000000    -1.061979    -1.949513           35      0
    0.000000     1.949513     1.061979           35      0
   -0.000000    -1.949513     1.061979           35      0
    0.000000     1.949513    -1.061979           35      0
   -0.000000    -1.949513    -1.061979           35      0
