# Atoms array:
     x           y            z                   Z     indx
    0.000000     0.000000     0.000000           17      0

# Gridpoints array:
     x           y            z                   Z     indx
    2.100000    -0.000000     0.000000           17      0
   -2.100000     0.000000     0.000000           17      0
    0.000000     2.100000     0.000000           17      0
   -0.000000    -2.100000     0.000000           17      0
    0.000000     0.000000     2.100000           17      0
   -0.000000    -0.000000    -2.100000           17      0
    1.212436     1.212436     1.212436           17      0
   -1.212436     1.212436     1.212436           17      0
    1.212436    -1.212436     1.212436           17      0
   -1.212436    -1.212436     1.212436           17      0
    1.212436     1.212436    -1.212436           17      0
   -1.212436     1.212436    -1.212436           17      0
    1.212436    -1.212436    -1.212436           17      0
   -1.212436    -1.212436    -1.212436           17      0
    0.388743     0.388743     2.026760           17      0
   -0.388743     0.388743     2.026760           17      0
    0.388743    -0.388743     2.026760           17      0
   -0.388743    -0.388743     2.026760           17      0
    0.388743     0.388743    -2.026760           17      0
   -0.388743     0.388743    -2.026760           17      0
    0.388743    -0.388743    -2.026760           17      0
   -0.388743    -0.388743    -2.026760           17      0
    0.388743     2.026760     0.388743           17      0
   -0.388743     2.026760     0.388743           17      0
    0.388743    -2.026760     0.388743           17      0
   -0.388743    -2.026760     0.388743           17      0
    0.388743     2.026760    -0.388743           17      0
   -0.388743     2.026760    -0.388743           17      0
    0.388743    -2.026760    -0.388743           17      0
   -0.388743    -2.026760    -0.388743           17      0
    2.026760     0.388743     0.388743           17      0
   -2.026760     0.388743     0.388743           17      0
    2.026760    -0.388743     0.388743           17      0
   -2.026760    -0.388743     0.388743           17      0
    2.026760     0.388743    -0.388743           17      0
   -2.026760     0.388743    -0.388743           17      0
    2.026760    -0.388743    -0.388743           17      0
   -2.026760    -0.388743    -0.388743           17      0
    1.449884     1.449884     0.453510           17      0
   -1.449884     1.449884     0.453510           17      0
    1.449884    -1.449884     0.453510           17      0
   -1.449884    -1.449884     0.453510           17      0
    1.449884     1.449884    -0.453510           17      0
   -1.449884     1.449884    -0.453510           17      0
    1.449884    -1.449884    -0.453510           17      0
   -1.449884    -1.449884    -0.453510           17      0
    1.449884     0.453510     1.449884           17      0
   -1.449884     0.453510     1.449884           17      0
    1.449884    -0.453510     1.449884           17      0
   -1.449884    -0.453510     1.449884           17      0
    1.449884     0.453510    -1.449884           17      0
   -1.449884     0.453510    -1.449884           17      0
    1.449884    -0.453510    -1.449884           17      0
   -1.449884    -0.453510    -1.449884           17      0
    0.453510     1.449884     1.449884           17      0
   -0.453510     1.449884     1.449884           17      0
    0.453510    -1.449884     1.449884           17      0
   -0.453510    -1.449884     1.449884           17      0
    0.453510     1.449884    -1.449884           17      0
   -0.453510     1.449884    -1.449884           17      0
    0.453510    -1.449884    -1.449884           17      0
   -0.453510    -1.449884    -1.449884           17      0
    0.830948     0.830948     1.740417           17      0
   -0.830948     0.830948     1.740417           17      0
    0.830948    -0.830948     1.740417           17      0
   -0.830948    -0.830948     1.740417           17      0
    0.830948     0.830948    -1.740417           17      0
   -0.830948     0.830948    -1.740417           17      0
    0.830948    -0.830948    -1.740417           17      0
   -0.830948    -0.830948    -1.740417           17      0
    0.830948     1.740417     0.830948           17      0
   -0.830948     1.740417     0.830948           17      0
    0.830948    -1.740417     0.830948           17      0
   -0.830948    -1.740417     0.830948           17      0
    0.830948     1.740417    -0.830948           17      0
   -0.830948     1.740417    -0.830948           17      0
    0.830948    -1.740417    -0.830948           17      0
   -0.830948    -1.740417    -0.830948           17      0
    1.740417     0.830948     0.830948           17      0
   -1.740417     0.830948     0.830948           17      0
    1.740417    -0.830948     0.830948           17      0
   -1.740417    -0.830948     0.830948           17      0
    1.740417     0.830948    -0.830948           17      0
   -1.740417     0.830948    -0.830948           17      0
    1.740417    -0.830948    -0.830948           17      0
   -1.740417    -0.830948    -0.830948           17      0
    1.004575     1.844134     0.000000           17      0
   -1.004575     1.844134     0.000000           17      0
    1.004575    -1.844134     0.000000           17      0
   -1.004575    -1.844134     0.000000           17      0
    1.844134     1.004575     0.000000           17      0
   -1.844134     1.004575     0.000000           17      0
    1.844134    -1.004575     0.000000           17      0
   -1.844134    -1.004575     0.000000           17      0
    1.004575    -0.000000     1.844134           17      0
   -1.004575     0.000000     1.844134           17      0
    1.004575    -0.000000    -1.844134           17      0
   -1.004575     0.000000    -1.844134           17      0
    1.844134    -0.000000     1.004575           17      0
   -1.844134     0.000000     1.004575           17      0
    1.844134    -0.000000    -1.004575           17      0
   -1.844134     0.000000    -1.004575           17      0
    0.000000     1.004575     1.844134           17      0
   -0.000000    -1.004575     1.844134           17      0
    0.000000     1.004575    -1.844134           17      0
   -0.000000    -1.004575    -1.844134           17      0
    0.000000     1.844134     1.004575           17      0
   -0.000000    -1.844134     1.004575           17      0
    0.000000     1.844134    -1.004575           17      0
   -0.000000    -1.844134    -1.004575           17      0
