# Atoms array:
     x           y            z                   Z     indx
   -0.163273    -0.813049     1.584558            6      0
   -0.432540    -0.736378    -1.441902            6      1
   -1.758056    -1.303986     1.752692           17      2
    0.596931    -1.566442     1.564931            1      3
    0.053467     0.232431     1.659689            1      4
   -0.761593     0.358304    -1.395527            8      5
   -0.102224    -1.829785    -1.508670            8      6

# Gridpoints array:
     x           y            z                   Z     indx
    1.876727    -0.813049     1.584558            6      0
   -0.163273     1.226951     1.584558            6      0
   -0.163273    -2.853049     1.584558            6      0
   -0.163273    -0.813049     3.624558            6      0
    1.014522     0.364745     2.762353            6      0
   -1.341067     0.364745     2.762353            6      0
    1.014522    -1.990844     2.762353            6      0
    1.014522     0.364745     0.406764            6      0
   -1.341067     0.364745     0.406764            6      0
    1.014522    -1.990844     0.406764            6      0
   -1.341067    -1.990844     0.406764            6      0
    0.214363    -0.435414     3.553411            6      0
   -0.540909    -0.435414     3.553411            6      0
    0.214363    -1.190685     3.553411            6      0
   -0.540909    -1.190685     3.553411            6      0
    0.214363     1.155804     1.962194            6      0
   -0.540909     1.155804     1.962194            6      0
    0.214363    -2.781902     1.962194            6      0
   -0.540909    -2.781902     1.962194            6      0
    0.214363     1.155804     1.206922            6      0
   -0.540909     1.155804     1.206922            6      0
    0.214363    -2.781902     1.206922            6      0
   -0.540909    -2.781902     1.206922            6      0
    1.805580    -0.435414     1.962194            6      0
    1.805580    -1.190685     1.962194            6      0
    1.805580    -0.435414     1.206922            6      0
    1.805580    -1.190685     1.206922            6      0
    1.245186     0.595409     2.025111            6      0
   -1.571732     0.595409     2.025111            6      0
    1.245186    -2.221508     2.025111            6      0
    1.245186     0.595409     1.144005            6      0
   -1.571732     0.595409     1.144005            6      0
    1.245186    -2.221508     1.144005            6      0
    1.245186    -0.372497     2.993017            6      0
   -1.571732    -0.372497     2.993017            6      0
    1.245186    -1.253602     2.993017            6      0
    1.245186    -0.372497     0.176099            6      0
   -1.571732    -0.372497     0.176099            6      0
    1.245186    -1.253602     0.176099            6      0
   -1.571732    -1.253602     0.176099            6      0
    0.277280     0.595409     2.993017            6      0
   -0.603826     0.595409     2.993017            6      0
    0.277280    -2.221508     2.993017            6      0
   -0.603826    -2.221508     2.993017            6      0
    0.277280     0.595409     0.176099            6      0
   -0.603826     0.595409     0.176099            6      0
    0.277280    -2.221508     0.176099            6      0
   -0.603826    -2.221508     0.176099            6      0
    0.643934    -0.005843     3.275249            6      0
   -0.970479    -0.005843     3.275249            6      0
    0.643934    -1.620256     3.275249            6      0
   -0.970479    -1.620256     3.275249            6      0
    0.643934    -0.005843    -0.106132            6      0
    0.643934    -1.620256    -0.106132            6      0
   -0.970479    -1.620256    -0.106132            6      0
    0.643934     0.877641     2.391765            6      0
   -0.970479     0.877641     2.391765            6      0
    0.643934    -2.503740     2.391765            6      0
   -0.970479    -2.503740     2.391765            6      0
    0.643934     0.877641     0.777352            6      0
   -0.970479     0.877641     0.777352            6      0
    0.643934    -2.503740     0.777352            6      0
   -0.970479    -2.503740     0.777352            6      0
    1.527418    -0.005843     2.391765            6      0
    1.527418    -1.620256     2.391765            6      0
    1.527418    -0.005843     0.777352            6      0
   -1.853964    -0.005843     0.777352            6      0
    1.527418    -1.620256     0.777352            6      0
    0.812600     0.978395     1.584558            6      0
   -1.139146     0.978395     1.584558            6      0
    0.812600    -2.604494     1.584558            6      0
    1.628171     0.162823     1.584558            6      0
    1.628171    -1.788922     1.584558            6      0
    0.812600    -0.813049     3.376003            6      0
   -1.139146    -0.813049     3.376003            6      0
    0.812600    -0.813049    -0.206886            6      0
    1.628171    -0.813049     2.560431            6      0
    1.628171    -0.813049     0.608686            6      0
   -0.163273     0.162823     3.376003            6      0
   -0.163273    -1.788922     3.376003            6      0
   -0.163273     0.978395     2.560431            6      0
   -0.163273    -2.604494     2.560431            6      0
   -0.163273     0.978395     0.608686            6      0
   -0.163273    -2.604494     0.608686            6      0
    1.607460    -0.736378    -1.441902            6      1
   -2.472540    -0.736378    -1.441902            6      1
   -0.432540    -0.736378    -3.481902            6      1
    0.745255     0.441417    -0.264107            6      1
   -1.610334     0.441417    -0.264107            6      1
    0.745255    -1.914173    -0.264107            6      1
   -1.610334    -1.914173    -0.264107            6      1
    0.745255     0.441417    -2.619696            6      1
   -1.610334     0.441417    -2.619696            6      1
    0.745255    -1.914173    -2.619696            6      1
   -1.610334    -1.914173    -2.619696            6      1
   -0.054904    -0.358742    -3.410755            6      1
   -0.810176    -0.358742    -3.410755            6      1
   -0.054904    -1.114014    -3.410755            6      1
   -0.810176    -1.114014    -3.410755            6      1
    1.536313    -0.358742    -1.064266            6      1
   -2.401393    -0.358742    -1.064266            6      1
    1.536313    -1.114014    -1.064266            6      1
   -2.401393    -1.114014    -1.064266            6      1
    1.536313    -0.358742    -1.819538            6      1
   -2.401393    -0.358742    -1.819538            6      1
    1.536313    -1.114014    -1.819538            6      1
   -2.401393    -1.114014    -1.819538            6      1
    0.975919     0.672081    -1.001349            6      1
   -1.840999    -2.144837    -1.001349            6      1
    0.975919     0.672081    -1.882455            6      1
   -1.840999    -2.144837    -1.882455            6      1
    0.975919    -0.295825    -0.033443            6      1
   -1.840999    -0.295825    -0.033443            6      1
    0.975919    -1.176931    -0.033443            6      1
   -1.840999    -1.176931    -0.033443            6      1
    0.975919    -0.295825    -2.850361            6      1
   -1.840999    -0.295825    -2.850361            6      1
    0.975919    -1.176931    -2.850361            6      1
   -1.840999    -1.176931    -2.850361            6      1
    0.008013     0.672081    -0.033443            6      1
   -0.873093     0.672081    -0.033443            6      1
    0.008013    -2.144837    -0.033443            6      1
   -0.873093    -2.144837    -0.033443            6      1
    0.008013     0.672081    -2.850361            6      1
   -0.873093     0.672081    -2.850361            6      1
    0.008013    -2.144837    -2.850361            6      1
   -0.873093    -2.144837    -2.850361            6      1
    0.374667     0.070829     0.248789            6      1
   -1.239746     0.070829     0.248789            6      1
    0.374667    -1.543585     0.248789            6      1
    0.374667     0.070829    -3.132592            6      1
   -1.239746     0.070829    -3.132592            6      1
