# Atoms array:
     x           y            z                   Z     indx
   -5.769815    -2.777391     2.589339            6      0
   -4.344927    -1.776086     2.518401           17      1
   -6.211880    -3.763777     1.221029           17      2
   -6.789289    -2.744338     4.003403           17      3

# Gridpoints array:
     x           y            z                   Z     indx
   -5.769815    -0.737391     2.589339            6      0
   -5.769815    -4.817391     2.589339            6      0
   -4.592020    -3.955185     3.767134            6      0
   -6.947609    -1.599596     1.411545            6      0
   -4.592020    -3.955185     1.411545            6      0
   -5.392179    -2.399755     0.620486            6      0
   -6.147451    -0.808538     2.966975            6      0
   -5.392179    -4.746244     2.966975            6      0
   -6.147451    -4.746244     2.966975            6      0
   -6.147451    -0.808538     2.211703            6      0
   -5.392179    -4.746244     2.211703            6      0
   -7.738668    -2.399755     2.211703            6      0
   -7.738668    -3.155026     2.211703            6      0
   -7.178274    -1.368932     3.029892            6      0
   -4.361356    -4.185850     3.029892            6      0
   -7.178274    -4.185850     3.029892            6      0
   -7.178274    -1.368932     2.148786            6      0
   -4.361356    -4.185850     2.148786            6      0
   -4.361356    -2.336838     3.997798            6      0
   -4.361356    -3.217943     3.997798            6      0
   -7.178274    -2.336838     1.180880            6      0
   -4.361356    -3.217943     1.180880            6      0
   -5.329262    -1.368932     3.997798            6      0
   -5.329262    -4.185850     3.997798            6      0
   -5.329262    -1.368932     1.180880            6      0
   -6.210368    -1.368932     1.180880            6      0
   -4.962608    -1.970184     4.280030            6      0
   -4.962608    -3.584597     4.280030            6      0
   -4.962608    -1.970184     0.898648            6      0
   -6.577021    -1.970184     0.898648            6      0
   -6.577021    -1.086700     3.396546            6      0
   -4.962608    -4.468081     3.396546            6      0
   -6.577021    -4.468081     3.396546            6      0
   -6.577021    -1.086700     1.782133            6      0
   -4.079124    -3.584597     3.396546            6      0
   -7.460506    -1.970184     1.782133            6      0
   -4.079124    -3.584597     1.782133            6      0
   -6.745688    -0.985946     2.589339            6      0
   -4.793942    -4.568835     2.589339            6      0
   -6.745688    -4.568835     2.589339            6      0
