# Atoms array:
     x           y            z                   Z     indx
   -8.476226    -3.302078    -1.769582            7      0
   -7.608030    -2.537879    -1.811388            6      1
   -6.707974    -1.790520    -1.831248            7      2
   -5.932872    -2.193687    -1.300738            1      3

# Gridpoints array:
     x           y            z                   Z     indx
  -10.336226    -3.302078    -1.769582            7      0
   -8.476226    -5.162078    -1.769582            7      0
   -8.476226    -3.302078     0.090418            7      0
   -8.476226    -3.302078    -3.629582            7      0
   -9.550098    -2.228207    -0.695711            7      0
   -7.402355    -4.375950    -0.695711            7      0
   -9.550098    -4.375950    -0.695711            7      0
   -9.550098    -2.228207    -2.843454            7      0
   -7.402355    -4.375950    -2.843454            7      0
   -9.550098    -4.375950    -2.843454            7      0
   -8.131911    -2.957763     0.025549            7      0
   -8.820541    -2.957763     0.025549            7      0
   -8.131911    -3.646393     0.025549            7      0
   -8.820541    -3.646393     0.025549            7      0
   -8.131911    -2.957763    -3.564713            7      0
   -8.820541    -2.957763    -3.564713            7      0
   -8.131911    -3.646393    -3.564713            7      0
   -8.820541    -3.646393    -3.564713            7      0
   -8.820541    -1.506947    -1.425267            7      0
   -8.131911    -5.097209    -1.425267            7      0
   -8.820541    -5.097209    -1.425267            7      0
   -8.820541    -1.506947    -2.113897            7      0
   -8.131911    -5.097209    -2.113897            7      0
   -8.820541    -5.097209    -2.113897            7      0
  -10.271357    -2.957763    -1.425267            7      0
  -10.271357    -3.646393    -1.425267            7      0
  -10.271357    -2.957763    -2.113897            7      0
  -10.271357    -3.646393    -2.113897            7      0
   -9.760409    -2.017895    -1.367901            7      0
   -7.192043    -4.586261    -1.367901            7      0
   -9.760409    -4.586261    -1.367901            7      0
   -9.760409    -2.017895    -2.171263            7      0
   -7.192043    -4.586261    -2.171263            7      0
   -9.760409    -4.586261    -2.171263            7      0
   -9.760409    -2.900397    -0.485399            7      0
   -7.192043    -3.703759    -0.485399            7      0
   -9.760409    -3.703759    -0.485399            7      0
   -9.760409    -2.900397    -3.053765            7      0
   -7.192043    -3.703759    -3.053765            7      0
   -9.760409    -3.703759    -3.053765            7      0
   -8.877907    -2.017895    -0.485399            7      0
   -8.074545    -4.586261    -0.485399            7      0
   -8.877907    -4.586261    -0.485399            7      0
   -8.877907    -2.017895    -3.053765            7      0
   -8.074545    -4.586261    -3.053765            7      0
   -8.877907    -4.586261    -3.053765            7      0
   -7.740244    -2.566096    -0.228070            7      0
   -9.212208    -2.566096    -0.228070            7      0
   -7.740244    -4.038060    -0.228070            7      0
   -9.212208    -4.038060    -0.228070            7      0
   -9.212208    -2.566096    -3.311094            7      0
   -7.740244    -4.038060    -3.311094            7      0
   -9.212208    -4.038060    -3.311094            7      0
   -9.212208    -1.760566    -1.033600            7      0
   -7.740244    -4.843590    -1.033600            7      0
   -9.212208    -4.843590    -1.033600            7      0
   -9.212208    -1.760566    -2.505564            7      0
   -7.740244    -4.843590    -2.505564            7      0
   -9.212208    -4.843590    -2.505564            7      0
  -10.017738    -2.566096    -1.033600            7      0
   -6.934714    -4.038060    -1.033600            7      0
  -10.017738    -4.038060    -1.033600            7      0
  -10.017738    -2.566096    -2.505564            7      0
   -6.934714    -4.038060    -2.505564            7      0
  -10.017738    -4.038060    -2.505564            7      0
   -9.365992    -1.668702    -1.769582            7      0
   -7.586460    -4.935454    -1.769582            7      0
   -9.365992    -4.935454    -1.769582            7      0
  -10.109602    -2.412312    -1.769582            7      0
   -6.842850    -4.191844    -1.769582            7      0
  -10.109602    -4.191844    -1.769582            7      0
   -7.586460    -3.302078    -0.136206            7      0
   -9.365992    -3.302078    -0.136206            7      0
   -7.586460    -3.302078    -3.402958            7      0
   -9.365992    -3.302078    -3.402958            7      0
  -10.109602    -3.302078    -0.879816            7      0
  -10.109602    -3.302078    -2.659348            7      0
   -8.476226    -2.412312    -0.136206            7      0
   -8.476226    -4.191844    -0.136206            7      0
   -8.476226    -2.412312    -3.402958            7      0
   -8.476226    -4.191844    -3.402958            7      0
   -8.476226    -4.935454    -0.879816            7      0
   -8.476226    -4.935454    -2.659348            7      0
   -7.608030    -0.497879    -1.811388            6      1
   -7.608030    -4.577879    -1.811388            6      1
   -7.608030    -2.537879     0.228612            6      1
   -7.608030    -2.537879    -3.851388            6      1
   -8.785825    -1.360084    -0.633593            6      1
   -6.430235    -3.715674    -0.633593            6      1
   -8.785825    -1.360084    -2.989183            6      1
   -6.430235    -3.715674    -2.989183            6      1
   -8.785825    -3.715674    -2.989183            6      1
   -7.230394    -2.160243     0.157465            6      1
   -7.985666    -2.160243     0.157465            6      1
   -7.230394    -2.915515     0.157465            6      1
   -7.985666    -2.915515     0.157465            6      1
   -7.230394    -2.160243    -3.780241            6      1
   -7.985666    -2.160243    -3.780241            6      1
   -7.230394    -2.915515    -3.780241            6      1
   -7.985666    -2.915515    -3.780241            6      1
   -7.230394    -0.569026    -1.433752            6      1
   -7.985666    -0.569026    -1.433752            6      1
   -7.230394    -4.506732    -1.433752            6      1
   -7.230394    -0.569026    -2.189024            6      1
