# Atoms array:
     x           y            z                   Z     indx
   -0.235003    -0.967745     1.530520            6      0
   -0.424933    -0.743367    -1.537969            6      1
   -1.884487    -1.227454     1.817193           17      2
    0.424955    -1.806610     1.668230            1      3
    0.402394     0.573375     1.829086           17      4
   -1.107907     0.171719    -1.477420            8      5
    0.257695    -1.658823    -1.613869            8      6

# Gridpoints array:
     x           y            z                   Z     indx
    1.804997    -0.967745     1.530520            6      0
   -0.235003    -3.007745     1.530520            6      0
   -0.235003    -0.967745     3.570520            6      0
   -1.412797     0.210050     2.708315            6      0
    0.942792    -2.145539     2.708315            6      0
    0.942792     0.210050     0.352726            6      0
   -1.412797     0.210050     0.352726            6      0
    0.942792    -2.145539     0.352726            6      0
   -1.412797    -2.145539     0.352726            6      0
    0.142633    -0.590109     3.499373            6      0
   -0.612639    -0.590109     3.499373            6      0
    0.142633    -1.345381     3.499373            6      0
   -0.612639    -1.345381     3.499373            6      0
    0.142633    -2.936598     1.908156            6      0
   -0.612639    -2.936598     1.908156            6      0
    0.142633    -2.936598     1.152884            6      0
   -0.612639    -2.936598     1.152884            6      0
    1.733850    -0.590109     1.908156            6      0
    1.733850    -1.345381     1.908156            6      0
    1.733850    -0.590109     1.152884            6      0
    1.733850    -1.345381     1.152884            6      0
   -1.643462     0.440714     1.971073            6      0
    1.173456    -2.376204     1.971073            6      0
   -1.643462     0.440714     1.089967            6      0
    1.173456    -2.376204     1.089967            6      0
    1.173456    -0.527192     2.938979            6      0
    1.173456    -1.408298     2.938979            6      0
    1.173456    -0.527192     0.122061            6      0
   -1.643462    -0.527192     0.122061            6      0
    1.173456    -1.408298     0.122061            6      0
   -1.643462    -1.408298     0.122061            6      0
    0.205550    -2.376204     2.938979            6      0
   -0.675556    -2.376204     2.938979            6      0
    0.205550     0.440714     0.122061            6      0
   -0.675556     0.440714     0.122061            6      0
    0.205550    -2.376204     0.122061            6      0
   -0.675556    -2.376204     0.122061            6      0
    0.572204    -0.160538     3.221211            6      0
   -1.042209    -0.160538     3.221211            6      0
    0.572204    -1.774951     3.221211            6      0
   -1.042209    -1.774951     3.221211            6      0
    0.572204    -0.160538    -0.160170            6      0
    0.572204    -1.774951    -0.160170            6      0
   -1.042209    -1.774951    -0.160170            6      0
    0.572204    -2.658436     2.337727            6      0
   -1.042209    -2.658436     2.337727            6      0
   -1.042209     0.722946     0.723314            6      0
    0.572204    -2.658436     0.723314            6      0
   -1.042209    -2.658436     0.723314            6      0
    1.455688    -1.774951     2.337727            6      0
    1.455688    -0.160538     0.723314            6      0
    1.455688    -1.774951     0.723314            6      0
   -1.210876     0.823699     1.530520            6      0
    0.740870    -2.759189     1.530520            6      0
   -1.210876    -2.759189     1.530520            6      0
    1.556441    -1.943618     1.530520            6      0
    0.740870    -0.967745     3.321965            6      0
   -1.210876    -0.967745     3.321965            6      0
    0.740870    -0.967745    -0.260924            6      0
    1.556441    -0.967745     2.506393            6      0
    1.556441    -0.967745     0.554648            6      0
   -0.235003     0.008128     3.321965            6      0
   -0.235003    -1.943618     3.321965            6      0
   -0.235003    -1.943618    -0.260924            6      0
   -0.235003    -2.759189     2.506393            6      0
