# Atoms array:
     x           y            z                   Z     indx
   -7.153736    -3.690264    -3.311677            6      0
   -8.185965    -3.605070    -4.235220            6      1
   -5.942200    -0.263865    -3.030312            7      2
   -5.646348    -2.630430    -2.219346            1      3
   -8.477624    -2.369594    -4.808143            6      4
   -8.744422    -4.487260    -4.521140            1      5
   -7.739849    -1.225388    -4.453554            6      6
   -9.269187    -2.283081    -5.544265            1      7
   -6.731048    -1.261279    -3.478896            6      8
   -7.960622    -0.306589    -4.982796            1      9
   -6.455121    -2.535703    -2.944147            6     10
   -6.883907    -4.645008    -2.873569            1     11
   -6.081501     1.068521    -3.220504            6     12
   -7.234315     1.792438    -3.550114            6     13
   -3.998315     3.776333    -2.832267            1     14
   -4.024746     1.330517    -2.638478            1     15
   -7.217923     3.192114    -3.701377            6     16
   -8.184050     1.286641    -3.678624            1     17
   -6.053990     3.914747    -3.453886            6     18
   -8.128600     3.705112    -3.990148            1     19
   -4.909739     3.235393    -3.062887            6     20
   -6.047593     4.993798    -3.553217            1     21
   -4.935332     1.840248    -2.952406            6     22

# Gridpoints array:
     x           y            z                   Z     indx
   -5.113736    -3.690264    -3.311677            6      0
   -7.153736    -5.730264    -3.311677            6      0
   -7.153736    -3.690264    -1.271677            6      0
   -8.331531    -2.512469    -2.133882            6      0
   -5.975941    -4.868059    -2.133882            6      0
   -8.331531    -4.868059    -2.133882            6      0
   -5.975941    -2.512469    -4.489472            6      0
   -5.975941    -4.868059    -4.489472            6      0
   -6.776100    -3.312628    -1.342824            6      0
   -7.531372    -3.312628    -1.342824            6      0
   -6.776100    -4.067900    -1.342824            6      0
   -7.531372    -4.067900    -1.342824            6      0
   -6.776100    -3.312628    -5.280530            6      0
   -6.776100    -4.067900    -5.280530            6      0
   -6.776100    -5.659117    -2.934041            6      0
   -7.531372    -5.659117    -2.934041            6      0
   -6.776100    -5.659117    -3.689313            6      0
   -7.531372    -5.659117    -3.689313            6      0
   -9.122589    -3.312628    -2.934041            6      0
   -5.184883    -4.067900    -2.934041            6      0
   -9.122589    -4.067900    -2.934041            6      0
   -5.184883    -3.312628    -3.689313            6      0
   -5.184883    -4.067900    -3.689313            6      0
   -8.562195    -2.281805    -2.871124            6      0
   -5.745277    -5.098723    -2.871124            6      0
   -8.562195    -5.098723    -2.871124            6      0
   -5.745277    -5.098723    -3.752230            6      0
   -8.562195    -3.249711    -1.903218            6      0
   -5.745277    -4.130817    -1.903218            6      0
   -8.562195    -4.130817    -1.903218            6      0
   -5.745277    -3.249711    -4.720136            6      0
   -5.745277    -4.130817    -4.720136            6      0
   -7.594289    -2.281805    -1.903218            6      0
   -6.713183    -5.098723    -1.903218            6      0
   -7.594289    -5.098723    -1.903218            6      0
   -6.713183    -5.098723    -4.720136            6      0
   -7.594289    -5.098723    -4.720136            6      0
   -7.960943    -2.883057    -1.620986            6      0
   -6.346530    -4.497471    -1.620986            6      0
   -7.960943    -4.497471    -1.620986            6      0
   -6.346530    -2.883057    -5.002368            6      0
   -6.346530    -4.497471    -5.002368            6      0
   -6.346530    -5.380955    -2.504470            6      0
   -7.960943    -5.380955    -2.504470            6      0
   -6.346530    -5.380955    -4.118884            6      0
   -7.960943    -5.380955    -4.118884            6      0
   -8.844427    -2.883057    -2.504470            6      0
   -5.463045    -4.497471    -2.504470            6      0
   -8.844427    -4.497471    -2.504470            6      0
   -5.463045    -2.883057    -4.118884            6      0
   -5.463045    -4.497471    -4.118884            6      0
   -6.177863    -5.481708    -3.311677            6      0
   -8.129609    -5.481708    -3.311677            6      0
   -5.362292    -4.666137    -3.311677            6      0
   -8.945180    -4.666137    -3.311677            6      0
   -6.177863    -3.690264    -1.520233            6      0
   -8.129609    -3.690264    -1.520233            6      0
   -6.177863    -3.690264    -5.103121            6      0
   -5.362292    -3.690264    -2.335804            6      0
   -8.945180    -3.690264    -2.335804            6      0
   -5.362292    -3.690264    -4.287550            6      0
   -7.153736    -2.714391    -1.520233            6      0
   -7.153736    -4.666137    -1.520233            6      0
   -7.153736    -4.666137    -5.103121            6      0
   -7.153736    -5.481708    -2.335804            6      0
   -7.153736    -5.481708    -4.287550            6      0
  -10.225965    -3.605070    -4.235220            6      1
   -8.185965    -5.645070    -4.235220            6      1
   -8.185965    -3.605070    -6.275220            6      1
   -9.363760    -2.427275    -3.057425            6      1
   -9.363760    -4.782865    -3.057425            6      1
   -7.008170    -4.782865    -5.413015            6      1
   -9.363760    -4.782865    -5.413015            6      1
   -8.563601    -3.227434    -2.266367            6      1
   -8.563601    -3.982706    -2.266367            6      1
   -7.808329    -3.227434    -6.204073            6      1
