# Atoms array:
     x           y            z                   Z     indx
   -2.168401     1.506987     0.020239            6      0
   -0.720111     1.732088    -0.379808            6      1
   -2.223678     0.987163     0.973759            1      2
   -2.689288     2.456816     0.114827            1      3
   -2.670914     0.906358    -0.735091            1      4
    0.172444     2.726494     0.828597           16      5
   -0.184463     0.785203    -0.465465            1      6
   -0.653253     2.259779    -1.332714            1      7

# Gridpoints array:
     x           y            z                   Z     indx
   -4.208401     1.506987     0.020239            6      0
   -2.168401     3.546987     0.020239            6      0
   -2.168401    -0.533013     0.020239            6      0
   -2.168401     1.506987     2.060239            6      0
   -2.168401     1.506987    -2.019761            6      0
   -3.346195     2.684781     1.198034            6      0
   -0.990606     0.329192     1.198034            6      0
   -3.346195     0.329192     1.198034            6      0
   -3.346195     2.684781    -1.157555            6      0
   -0.990606     0.329192    -1.157555            6      0
   -3.346195     0.329192    -1.157555            6      0
   -1.790765     1.884623     1.989092            6      0
   -2.546036     1.884623     1.989092            6      0
   -1.790765     1.129351     1.989092            6      0
   -2.546036     1.129351     1.989092            6      0
   -1.790765     1.884623    -1.948614            6      0
   -2.546036     1.884623    -1.948614            6      0
   -1.790765     1.129351    -1.948614            6      0
   -2.546036     1.129351    -1.948614            6      0
   -1.790765     3.475840     0.397875            6      0
   -2.546036     3.475840     0.397875            6      0
   -1.790765    -0.461866     0.397875            6      0
   -2.546036    -0.461866     0.397875            6      0
   -1.790765     3.475840    -0.357397            6      0
   -2.546036     3.475840    -0.357397            6      0
   -1.790765    -0.461866    -0.357397            6      0
   -2.546036    -0.461866    -0.357397            6      0
   -4.137254     1.884623     0.397875            6      0
   -4.137254     1.129351     0.397875            6      0
   -4.137254     1.884623    -0.357397            6      0
   -4.137254     1.129351    -0.357397            6      0
   -3.576860     2.915446     0.460792            6      0
   -0.759942     0.098528     0.460792            6      0
   -3.576860     0.098528     0.460792            6      0
   -3.576860     2.915446    -0.420314            6      0
   -3.576860     0.098528    -0.420314            6      0
   -3.576860     1.947540     1.428698            6      0
   -0.759942     1.066434     1.428698            6      0
   -3.576860     1.066434     1.428698            6      0
   -3.576860     1.947540    -1.388220            6      0
   -3.576860     1.066434    -1.388220            6      0
   -1.727848     2.915446     1.428698            6      0
   -2.608953     2.915446     1.428698            6      0
   -1.727848     0.098528     1.428698            6      0
   -2.608953     0.098528     1.428698            6      0
   -1.727848     2.915446    -1.388220            6      0
   -2.608953     2.915446    -1.388220            6      0
   -1.727848     0.098528    -1.388220            6      0
   -2.608953     0.098528    -1.388220            6      0
   -1.361194     2.314193     1.710930            6      0
   -2.975607     2.314193     1.710930            6      0
   -1.361194     0.699780     1.710930            6      0
   -2.975607     0.699780     1.710930            6      0
   -2.975607     2.314193    -1.670452            6      0
   -1.361194     0.699780    -1.670452            6      0
   -2.975607     0.699780    -1.670452            6      0
   -2.975607     3.197678     0.827446            6      0
   -1.361194    -0.183704     0.827446            6      0
   -2.975607    -0.183704     0.827446            6      0
   -1.361194     3.197678    -0.786967            6      0
   -2.975607     3.197678    -0.786967            6      0
   -1.361194    -0.183704    -0.786967            6      0
   -2.975607    -0.183704    -0.786967            6      0
   -3.859091     2.314193     0.827446            6      0
   -0.477710     0.699780     0.827446            6      0
   -3.859091     0.699780     0.827446            6      0
   -3.859091     2.314193    -0.786967            6      0
   -3.859091     0.699780    -0.786967            6      0
   -3.144273     3.298431     0.020239            6      0
   -1.192528    -0.284457     0.020239            6      0
   -3.144273    -0.284457     0.020239            6      0
   -3.959845     2.482860     0.020239            6      0
   -3.959845     0.531114     0.020239            6      0
   -1.192528     1.506987     1.811683            6      0
   -3.144273     1.506987     1.811683            6      0
   -3.144273     1.506987    -1.771205            6      0
   -3.959845     1.506987     0.996112            6      0
   -3.959845     1.506987    -0.955634            6      0
   -2.168401     2.482860     1.811683            6      0
   -2.168401     0.531114     1.811683            6      0
   -2.168401     2.482860    -1.771205            6      0
   -2.168401     0.531114    -1.771205            6      0
   -2.168401     3.298431     0.996112            6      0
   -2.168401    -0.284457     0.996112            6      0
   -2.168401     3.298431    -0.955634            6      0
   -2.168401    -0.284457    -0.955634            6      0
    1.319889     1.732088    -0.379808            6      1
   -0.720111     3.772088    -0.379808            6      1
   -0.720111    -0.307912    -0.379808            6      1
   -0.720111     1.732088    -2.419808            6      1
   -1.897906     2.909882     0.797987            6      1
    0.457683     0.554293     0.797987            6      1
    0.457683     2.909882    -1.557602            6      1
   -1.897906     2.909882    -1.557602            6      1
    0.457683     0.554293    -1.557602            6      1
   -1.897906     0.554293    -1.557602            6      1
   -1.097747     1.354452     1.589045            6      1
   -0.342476     2.109724    -2.348661            6      1
   -1.097747     2.109724    -2.348661            6      1
   -0.342476     1.354452    -2.348661            6      1
   -1.097747     1.354452    -2.348661            6      1
   -1.097747     3.700941    -0.002172            6      1
   -0.342476    -0.236765    -0.002172            6      1
   -1.097747    -0.236765    -0.002172            6      1
   -0.342476     3.700941    -0.757444            6      1
   -1.097747     3.700941    -0.757444            6      1
   -0.342476    -0.236765    -0.757444            6      1
