# Atoms array:
     x           y            z                   Z     indx
   -1.202848     4.436375    -1.396730            8      0
   -1.587435     3.422419    -0.576157            6      1
   -3.064071     2.991461    -0.744628            6      2
   -0.982341     2.468313    -0.702006            1      3
   -1.468886     3.650752     0.531070            1      4
   -3.244694     2.662794    -1.782269            1      5
   -3.341602     2.165671    -0.063968            1      6
   -3.731644     3.846765    -0.544609            1      7

# Gridpoints array:
     x           y            z                   Z     indx
    0.621152     4.436375    -1.396730            8      0
   -1.202848     6.260375    -1.396730            8      0
   -1.202848     4.436375    -3.220730            8      0
   -0.149762     5.489461    -0.343644            8      0
   -2.255935     5.489461    -0.343644            8      0
   -0.149762     5.489461    -2.449817            8      0
   -2.255935     5.489461    -2.449817            8      0
   -0.149762     3.383288    -2.449817            8      0
   -2.255935     3.383288    -2.449817            8      0
   -0.865198     4.774025     0.363656            8      0
   -0.865198     4.774025    -3.157117            8      0
   -1.540499     4.774025    -3.157117            8      0
   -0.865198     4.098724    -3.157117            8      0
   -1.540499     4.098724    -3.157117            8      0
   -0.865198     6.196761    -1.059079            8      0
   -1.540499     6.196761    -1.059079            8      0
   -0.865198     6.196761    -1.734381            8      0
   -1.540499     6.196761    -1.734381            8      0
    0.557538     4.774025    -1.059079            8      0
   -2.963235     4.774025    -1.059079            8      0
    0.557538     4.098724    -1.059079            8      0
    0.557538     4.774025    -1.734381            8      0
   -2.963235     4.774025    -1.734381            8      0
    0.557538     4.098724    -1.734381            8      0
    0.056480     5.695703    -1.002824            8      0
   -2.462176     5.695703    -1.002824            8      0
    0.056480     3.177047    -1.002824            8      0
    0.056480     5.695703    -1.790637            8      0
   -2.462176     5.695703    -1.790637            8      0
    0.056480     3.177047    -1.790637            8      0
    0.056480     4.830281    -0.137402            8      0
   -2.462176     4.830281    -0.137402            8      0
    0.056480     4.042468    -0.137402            8      0
    0.056480     4.830281    -2.656058            8      0
   -2.462176     4.830281    -2.656058            8      0
    0.056480     4.042468    -2.656058            8      0
   -2.462176     4.042468    -2.656058            8      0
   -0.808942     5.695703    -0.137402            8      0
   -1.596755     5.695703    -0.137402            8      0
   -0.808942     5.695703    -2.656058            8      0
   -1.596755     5.695703    -2.656058            8      0
   -0.808942     3.177047    -2.656058            8      0
   -1.596755     3.177047    -2.656058            8      0
   -0.481111     5.158112     0.114946            8      0
   -1.924586     5.158112     0.114946            8      0
   -0.481111     5.158112    -2.908407            8      0
   -1.924586     5.158112    -2.908407            8      0
   -0.481111     3.714637    -2.908407            8      0
   -1.924586     3.714637    -2.908407            8      0
   -0.481111     5.948051    -0.674993            8      0
   -1.924586     5.948051    -0.674993            8      0
   -0.481111     5.948051    -2.118468            8      0
   -1.924586     5.948051    -2.118468            8      0
   -0.481111     2.924698    -2.118468            8      0
    0.308828     5.158112    -0.674993            8      0
   -2.714525     5.158112    -0.674993            8      0
    0.308828     3.714637    -0.674993            8      0
    0.308828     5.158112    -2.118468            8      0
   -2.714525     5.158112    -2.118468            8      0
    0.308828     3.714637    -2.118468            8      0
   -0.330303     6.038136    -1.396730            8      0
   -2.075394     6.038136    -1.396730            8      0
    0.398913     5.308920    -1.396730            8      0
   -2.804610     5.308920    -1.396730            8      0
    0.398913     3.563829    -1.396730            8      0
   -0.330303     4.436375     0.205031            8      0
   -0.330303     4.436375    -2.998492            8      0
   -2.075394     4.436375    -2.998492            8      0
    0.398913     4.436375    -0.524185            8      0
    0.398913     4.436375    -2.269276            8      0
   -2.804610     4.436375    -2.269276            8      0
   -1.202848     5.308920     0.205031            8      0
   -1.202848     5.308920    -2.998492            8      0
   -1.202848     3.563829    -2.998492            8      0
   -1.202848     6.038136    -0.524185            8      0
   -1.202848     6.038136    -2.269276            8      0
   -1.202848     2.834613    -2.269276            8      0
    0.452565     3.422419    -0.576157            6      1
   -1.587435     1.382419    -0.576157            6      1
   -1.587435     3.422419    -2.616157            6      1
   -0.409640     4.600214     0.601637            6      1
   -2.765229     4.600214     0.601637            6      1
   -0.409640     2.244625     0.601637            6      1
   -2.765229     4.600214    -1.753952            6      1
   -0.409640     2.244625    -1.753952            6      1
   -1.209799     3.800055     1.392696            6      1
   -1.965071     3.800055     1.392696            6      1
   -1.209799     3.044783     1.392696            6      1
   -1.965071     3.044783     1.392696            6      1
   -1.965071     3.800055    -2.545010            6      1
   -1.209799     3.044783    -2.545010            6      1
   -1.965071     3.044783    -2.545010            6      1
   -1.209799     5.391272    -0.198521            6      1
   -1.965071     5.391272    -0.198521            6      1
   -1.209799     1.453566    -0.198521            6      1
   -1.965071     1.453566    -0.198521            6      1
   -1.209799     1.453566    -0.953793            6      1
   -1.965071     1.453566    -0.953793            6      1
    0.381418     3.800055    -0.198521            6      1
    0.381418     3.044783    -0.198521            6      1
    0.381418     3.800055    -0.953793            6      1
    0.381418     3.044783    -0.953793            6      1
   -0.178976     4.830878    -0.135604            6      1
   -2.995894     4.830878    -0.135604            6      1
   -0.178976     2.013960    -0.135604            6      1
   -2.995894     4.830878    -1.016710            6      1
   -0.178976     2.013960    -1.016710            6      1
   -0.178976     3.862972     0.832302            6      1
   -2.995894     3.862972     0.832302            6      1
   -0.178976     2.981866     0.832302            6      1
   -2.995894     2.981866     0.832302            6      1
   -0.178976     3.862972    -1.984616            6      1
   -0.178976     2.981866    -1.984616            6      1
   -1.146882     4.830878     0.832302            6      1
   -2.027988     4.830878     0.832302            6      1
   -1.146882     2.013960     0.832302            6      1
   -2.027988     2.013960     0.832302            6      1
   -1.146882     2.013960    -1.984616            6      1
   -2.027988     2.013960    -1.984616            6      1
   -0.780228     4.229626     1.114534            6      1
   -2.394641     4.229626     1.114534            6      1
   -0.780228     2.615213     1.114534            6      1
   -2.394641     2.615213     1.114534            6      1
   -2.394641     4.229626    -2.266848            6      1
   -0.780228     2.615213    -2.266848            6      1
   -2.394641     2.615213    -2.266848            6      1
   -0.780228     5.113110     0.231049            6      1
   -2.394641     5.113110     0.231049            6      1
   -0.780228     1.731728     0.231049            6      1
   -2.394641     1.731728     0.231049            6      1
   -2.394641     5.113110    -1.383364            6      1
   -0.780228     1.731728    -1.383364            6      1
   -2.394641     1.731728    -1.383364            6      1
    0.103256     4.229626     0.231049            6      1
    0.103256     2.615213     0.231049            6      1
    0.103256     4.229626    -1.383364            6      1
    0.103256     2.615213    -1.383364            6      1
   -2.563308     5.213863    -0.576157            6      1
   -0.611562     1.630975    -0.576157            6      1
    0.204009     4.398292    -0.576157            6      1
    0.204009     2.446546    -0.576157            6      1
   -0.611562     3.422419     1.215287            6      1
   -2.563308     3.422419     1.215287            6      1
   -0.611562     3.422419    -2.367601            6      1
   -2.563308     3.422419    -2.367601            6      1
    0.204009     3.422419     0.399716            6      1
    0.204009     3.422419    -1.552030            6      1
   -1.587435     4.398292     1.215287            6      1
   -1.587435     2.446546     1.215287            6      1
   -1.587435     2.446546    -2.367601            6      1
   -1.587435     5.213863     0.399716            6      1
   -1.587435     1.630975     0.399716            6      1
   -1.587435     1.630975    -1.552030            6      1
   -5.104071     2.991461    -0.744628            6      2
   -3.064071     5.031461    -0.744628            6      2
   -3.064071     0.951461    -0.744628            6      2
   -3.064071     2.991461     1.295372            6      2
   -3.064071     2.991461    -2.784628            6      2
   -4.241865     4.169255     0.433166            6      2
   -1.886276     1.813666     0.433166            6      2
   -4.241865     1.813666     0.433166            6      2
   -4.241865     4.169255    -1.922423            6      2
   -1.886276     1.813666    -1.922423            6      2
   -4.241865     1.813666    -1.922423            6      2
   -2.686435     3.369097     1.224225            6      2
   -3.441707     3.369097     1.224225            6      2
   -2.686435     2.613825     1.224225            6      2
   -3.441707     2.613825     1.224225            6      2
   -2.686435     3.369097    -2.713481            6      2
   -3.441707     3.369097    -2.713481            6      2
   -2.686435     2.613825    -2.713481            6      2
   -3.441707     2.613825    -2.713481            6      2
   -2.686435     4.960314    -0.366992            6      2
   -3.441707     4.960314    -0.366992            6      2
   -2.686435     1.022608    -0.366992            6      2
   -3.441707     1.022608    -0.366992            6      2
   -2.686435     4.960314    -1.122264            6      2
   -3.441707     4.960314    -1.122264            6      2
   -2.686435     1.022608    -1.122264            6      2
   -3.441707     1.022608    -1.122264            6      2
   -5.032924     3.369097    -0.366992            6      2
   -5.032924     2.613825    -0.366992            6      2
   -5.032924     3.369097    -1.122264            6      2
   -5.032924     2.613825    -1.122264            6      2
   -4.472530     4.399920    -0.304075            6      2
   -1.655612     1.583002    -0.304075            6      2
   -4.472530     1.583002    -0.304075            6      2
   -4.472530     4.399920    -1.185181            6      2
   -1.655612     1.583002    -1.185181            6      2
   -4.472530     1.583002    -1.185181            6      2
   -4.472530     3.432014     0.663831            6      2
   -4.472530     2.550908     0.663831            6      2
   -4.472530     3.432014    -2.153087            6      2
   -1.655612     2.550908    -2.153087            6      2
   -4.472530     2.550908    -2.153087            6      2
   -2.623518     4.399920     0.663831            6      2
   -3.504624     4.399920     0.663831            6      2
   -2.623518     1.583002     0.663831            6      2
   -3.504624     1.583002     0.663831            6      2
   -2.623518     4.399920    -2.153087            6      2
   -3.504624     4.399920    -2.153087            6      2
   -2.623518     1.583002    -2.153087            6      2
   -3.504624     1.583002    -2.153087            6      2
   -3.871277     3.798667     0.946063            6      2
   -2.256864     2.184254     0.946063            6      2
   -3.871277     2.184254     0.946063            6      2
   -2.256864     3.798667    -2.435319            6      2
   -3.871277     3.798667    -2.435319            6      2
   -2.256864     2.184254    -2.435319            6      2
   -3.871277     2.184254    -2.435319            6      2
   -2.256864     4.682151     0.062578            6      2
   -3.871277     4.682151     0.062578            6      2
   -2.256864     1.300770     0.062578            6      2
