# Atoms array:
     x           y            z                   Z     indx
   -7.044827    -4.557760     1.575720            6      0
   -8.048166    -3.406298     1.578073            6      1
   -7.537536    -5.764313     1.037441            8      2
   -6.126851    -4.253234     1.028083            1      3
   -6.754879    -4.805256     2.615832            1      4
   -7.704286    -5.590809    -0.434834            8      5
   -8.350020    -3.168812     0.549043            1      6
   -8.947244    -3.675585     2.153996            1      7
   -7.605409    -2.505202     2.030167            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -5.004827    -4.557760     1.575720            6      0
   -7.044827    -4.557760     3.615720            6      0
   -5.867032    -3.379966     2.753515            6      0
   -5.867032    -5.735555     2.753515            6      0
   -8.222621    -5.735555     2.753515            6      0
   -5.867032    -3.379966     0.397926            6      0
   -5.867032    -5.735555     0.397926            6      0
   -6.667191    -4.180124     3.544573            6      0
   -7.422463    -4.180124     3.544573            6      0
   -6.667191    -4.935396     3.544573            6      0
   -7.422463    -4.935396     3.544573            6      0
   -6.667191    -4.180124    -0.393133            6      0
   -7.422463    -4.180124    -0.393133            6      0
   -6.667191    -6.526613     1.953356            6      0
   -6.667191    -2.588907     1.198084            6      0
   -5.075974    -4.180124     1.953356            6      0
   -5.075974    -4.935396     1.953356            6      0
   -9.013680    -4.935396     1.953356            6      0
   -5.075974    -4.180124     1.198084            6      0
   -5.075974    -4.935396     1.198084            6      0
   -9.013680    -4.935396     1.198084            6      0
   -5.636368    -3.149301     2.016273            6      0
   -5.636368    -5.966219     2.016273            6      0
   -8.453286    -5.966219     2.016273            6      0
   -5.636368    -3.149301     1.135167            6      0
   -5.636368    -5.966219     1.135167            6      0
   -5.636368    -4.117207     2.984179            6      0
   -8.453286    -4.117207     2.984179            6      0
   -5.636368    -4.998313     2.984179            6      0
   -8.453286    -4.998313     2.984179            6      0
   -5.636368    -4.117207     0.167261            6      0
   -5.636368    -4.998313     0.167261            6      0
   -6.604274    -3.149301     2.984179            6      0
   -6.604274    -5.966219     2.984179            6      0
   -7.485380    -5.966219     2.984179            6      0
   -6.604274    -3.149301     0.167261            6      0
   -6.237620    -3.750554     3.266411            6      0
   -7.852033    -3.750554     3.266411            6      0
   -6.237620    -5.364967     3.266411            6      0
   -7.852033    -5.364967     3.266411            6      0
   -6.237620    -3.750554    -0.114970            6      0
   -7.852033    -3.750554    -0.114970            6      0
   -6.237620    -5.364967    -0.114970            6      0
   -6.237620    -2.867070     2.382927            6      0
   -6.237620    -6.248451     2.382927            6      0
   -7.852033    -6.248451     2.382927            6      0
   -6.237620    -2.867070     0.768514            6      0
   -6.237620    -6.248451     0.768514            6      0
   -5.354136    -3.750554     2.382927            6      0
   -5.354136    -5.364967     2.382927            6      0
   -8.735518    -5.364967     2.382927            6      0
   -5.354136    -3.750554     0.768514            6      0
   -5.354136    -5.364967     0.768514            6      0
   -6.068954    -2.766316     1.575720            6      0
   -6.068954    -6.349205     1.575720            6      0
   -5.253383    -3.581888     1.575720            6      0
   -5.253383    -5.533633     1.575720            6      0
   -8.836271    -5.533633     1.575720            6      0
   -6.068954    -4.557760     3.367165            6      0
   -8.020700    -4.557760     3.367165            6      0
   -6.068954    -4.557760    -0.215724            6      0
   -5.253383    -4.557760     2.551593            6      0
   -8.836271    -4.557760     2.551593            6      0
   -5.253383    -4.557760     0.599847            6      0
   -8.836271    -4.557760     0.599847            6      0
   -7.044827    -3.581888     3.367165            6      0
   -7.044827    -5.533633     3.367165            6      0
   -7.044827    -3.581888    -0.215724            6      0
   -7.044827    -6.349205     2.551593            6      0
   -7.044827    -2.766316     0.599847            6      0
  -10.088166    -3.406298     1.578073            6      1
   -8.048166    -1.366298     1.578073            6      1
   -8.048166    -3.406298     3.618073            6      1
   -8.048166    -3.406298    -0.461927            6      1
   -6.870371    -2.228504     2.755867            6      1
   -9.225960    -2.228504     2.755867            6      1
   -9.225960    -4.584093     2.755867            6      1
   -6.870371    -2.228504     0.400278            6      1
   -9.225960    -2.228504     0.400278            6      1
   -9.225960    -4.584093     0.400278            6      1
   -7.670530    -3.028662     3.546926            6      1
   -8.425802    -3.028662     3.546926            6      1
   -7.670530    -3.783934     3.546926            6      1
   -8.425802    -3.783934     3.546926            6      1
   -7.670530    -3.028662    -0.390780            6      1
   -8.425802    -3.028662    -0.390780            6      1
   -7.670530    -3.783934    -0.390780            6      1
   -8.425802    -3.783934    -0.390780            6      1
   -7.670530    -1.437445     1.955709            6      1
   -8.425802    -1.437445     1.955709            6      1
   -7.670530    -1.437445     1.200437            6      1
   -8.425802    -1.437445     1.200437            6      1
   -6.079313    -3.028662     1.955709            6      1
  -10.017019    -3.028662     1.955709            6      1
  -10.017019    -3.783934     1.955709            6      1
   -6.079313    -3.028662     1.200437            6      1
  -10.017019    -3.028662     1.200437            6      1
  -10.017019    -3.783934     1.200437            6      1
   -6.639707    -1.997839     2.018626            6      1
   -9.456625    -1.997839     2.018626            6      1
   -9.456625    -4.814757     2.018626            6      1
   -6.639707    -1.997839     1.137520            6      1
   -9.456625    -1.997839     1.137520            6      1
   -9.456625    -4.814757     1.137520            6      1
   -6.639707    -2.965745     2.986532            6      1
   -9.456625    -2.965745     2.986532            6      1
   -6.639707    -3.846851     2.986532            6      1
   -9.456625    -3.846851     2.986532            6      1
   -6.639707    -2.965745     0.169614            6      1
   -9.456625    -2.965745     0.169614            6      1
   -6.639707    -3.846851     0.169614            6      1
   -9.456625    -3.846851     0.169614            6      1
   -7.607613    -1.997839     2.986532            6      1
   -8.488719    -1.997839     2.986532            6      1
   -8.488719    -4.814757     2.986532            6      1
   -7.607613    -1.997839     0.169614            6      1
   -8.488719    -1.997839     0.169614            6      1
   -7.240959    -2.599092     3.268764            6      1
   -8.855372    -2.599092     3.268764            6      1
   -7.240959    -4.213505     3.268764            6      1
   -8.855372    -4.213505     3.268764            6      1
   -7.240959    -2.599092    -0.112618            6      1
   -8.855372    -2.599092    -0.112618            6      1
   -7.240959    -4.213505    -0.112618            6      1
   -8.855372    -4.213505    -0.112618            6      1
   -7.240959    -1.715607     2.385279            6      1
   -8.855372    -1.715607     2.385279            6      1
   -8.855372    -5.096989     2.385279            6      1
   -7.240959    -1.715607     0.770866            6      1
   -8.855372    -1.715607     0.770866            6      1
   -8.855372    -5.096989     0.770866            6      1
   -6.357475    -2.599092     2.385279            6      1
   -9.738856    -2.599092     2.385279            6      1
   -9.738856    -4.213505     2.385279            6      1
   -6.357475    -2.599092     0.770866            6      1
   -9.738856    -2.599092     0.770866            6      1
   -9.738856    -4.213505     0.770866            6      1
   -7.072293    -1.614854     1.578073            6      1
   -9.024038    -1.614854     1.578073            6      1
   -9.024038    -5.197742     1.578073            6      1
   -6.256721    -2.430425     1.578073            6      1
   -9.839610    -2.430425     1.578073            6      1
   -9.839610    -4.382171     1.578073            6      1
   -7.072293    -3.406298     3.369517            6      1
   -9.024038    -3.406298     3.369517            6      1
   -7.072293    -3.406298    -0.213371            6      1
   -9.024038    -3.406298    -0.213371            6      1
   -6.256721    -3.406298     2.553946            6      1
   -9.839610    -3.406298     2.553946            6      1
   -9.839610    -3.406298     0.602200            6      1
   -8.048166    -2.430425     3.369517            6      1
   -8.048166    -4.382171     3.369517            6      1
   -8.048166    -2.430425    -0.213371            6      1
   -8.048166    -1.614854     2.553946            6      1
   -8.048166    -1.614854     0.602200            6      1
   -5.713536    -5.764313     1.037441            8      2
   -9.361536    -5.764313     1.037441            8      2
   -7.537536    -7.588313     1.037441            8      2
   -7.537536    -5.764313     2.861441            8      2
   -6.484449    -6.817400     2.090528            8      2
   -8.590623    -6.817400     2.090528            8      2
   -6.484449    -6.817400    -0.015646            8      2
   -8.590623    -6.817400    -0.015646            8      2
   -7.875187    -5.426662     2.797827            8      2
   -7.199885    -6.101964     2.797827            8      2
   -7.875187    -6.101964     2.797827            8      2
   -7.199885    -7.524699     1.375092            8      2
   -7.875187    -7.524699     1.375092            8      2
   -7.199885    -7.524699     0.699790            8      2
   -7.875187    -7.524699     0.699790            8      2
   -9.297922    -5.426662     1.375092            8      2
   -5.777150    -6.101964     1.375092            8      2
   -9.297922    -6.101964     1.375092            8      2
   -5.777150    -5.426662     0.699790            8      2
   -9.297922    -5.426662     0.699790            8      2
   -5.777150    -6.101964     0.699790            8      2
   -9.297922    -6.101964     0.699790            8      2
   -6.278208    -7.023641     1.431347            8      2
   -8.796864    -7.023641     1.431347            8      2
   -8.796864    -4.504985     0.643535            8      2
   -6.278208    -7.023641     0.643535            8      2
   -8.796864    -7.023641     0.643535            8      2
   -8.796864    -5.370407     2.296769            8      2
   -6.278208    -6.158219     2.296769            8      2
   -8.796864    -6.158219     2.296769            8      2
   -6.278208    -5.370407    -0.221887            8      2
   -6.278208    -6.158219    -0.221887            8      2
   -7.143630    -7.023641     2.296769            8      2
   -7.931442    -7.023641     2.296769            8      2
   -7.143630    -7.023641    -0.221887            8      2
   -7.931442    -7.023641    -0.221887            8      2
   -8.259274    -5.042575     2.549118            8      2
   -6.815798    -6.486051     2.549118            8      2
   -8.259274    -6.486051     2.549118            8      2
   -6.815798    -7.275989     1.759179            8      2
   -8.259274    -7.275989     1.759179            8      2
   -6.815798    -7.275989     0.315704            8      2
   -8.259274    -7.275989     0.315704            8      2
   -9.049212    -5.042575     1.759179            8      2
   -6.025860    -6.486051     1.759179            8      2
   -9.049212    -6.486051     1.759179            8      2
   -6.025860    -5.042575     0.315704            8      2
   -9.049212    -5.042575     0.315704            8      2
   -6.025860    -6.486051     0.315704            8      2
   -9.049212    -6.486051     0.315704            8      2
   -6.664991    -7.366075     1.037441            8      2
   -8.410081    -7.366075     1.037441            8      2
   -9.139298    -4.891768     1.037441            8      2
   -5.935774    -6.636858     1.037441            8      2
   -9.139298    -6.636858     1.037441            8      2
   -8.410081    -5.764313     2.639203            8      2
   -5.935774    -5.764313     1.909986            8      2
   -9.139298    -5.764313     1.909986            8      2
