# Atoms array:
     x           y            z                   Z     indx
   -3.160795     2.358851    -0.000010            6      0
   -3.336442     3.608949     0.000002            8      1
   -2.072464     1.719784    -0.000006            8      2
   -4.102945     1.728620    -0.000027            1      3

# Gridpoints array:
     x           y            z                   Z     indx
   -5.200795     2.358851    -0.000010            6      0
   -3.160795     0.318851    -0.000010            6      0
   -3.160795     2.358851     2.039990            6      0
   -3.160795     2.358851    -2.040010            6      0
   -1.983001     3.536646     1.177784            6      0
   -4.338590     3.536646     1.177784            6      0
   -1.983001     1.181057     1.177784            6      0
   -4.338590     1.181057     1.177784            6      0
   -1.983001     3.536646    -1.177805            6      0
   -4.338590     3.536646    -1.177805            6      0
   -1.983001     1.181057    -1.177805            6      0
   -4.338590     1.181057    -1.177805            6      0
   -2.783159     2.736487     1.968843            6      0
   -3.538431     2.736487     1.968843            6      0
   -2.783159     1.981215     1.968843            6      0
   -3.538431     1.981215     1.968843            6      0
   -2.783159     2.736487    -1.968863            6      0
   -3.538431     2.736487    -1.968863            6      0
   -2.783159     1.981215    -1.968863            6      0
   -3.538431     1.981215    -1.968863            6      0
   -2.783159     0.389998     0.377626            6      0
   -3.538431     0.389998     0.377626            6      0
   -2.783159     0.389998    -0.377646            6      0
   -3.538431     0.389998    -0.377646            6      0
   -1.191942     2.736487     0.377626            6      0
   -5.129648     2.736487     0.377626            6      0
   -5.129648     1.981215     0.377626            6      0
   -1.191942     2.736487    -0.377646            6      0
   -5.129648     2.736487    -0.377646            6      0
   -5.129648     1.981215    -0.377646            6      0
   -1.752336     3.767310     0.440543            6      0
   -4.569254     3.767310     0.440543            6      0
   -4.569254     0.950392     0.440543            6      0
   -1.752336     3.767310    -0.440563            6      0
   -4.569254     3.767310    -0.440563            6      0
   -4.569254     0.950392    -0.440563            6      0
   -1.752336     2.799404     1.408449            6      0
   -4.569254     2.799404     1.408449            6      0
   -1.752336     1.918298     1.408449            6      0
   -4.569254     1.918298     1.408449            6      0
   -1.752336     2.799404    -1.408469            6      0
   -4.569254     2.799404    -1.408469            6      0
   -1.752336     1.918298    -1.408469            6      0
   -4.569254     1.918298    -1.408469            6      0
   -2.720242     3.767310     1.408449            6      0
   -3.601348     3.767310     1.408449            6      0
   -2.720242     0.950392     1.408449            6      0
   -3.601348     0.950392     1.408449            6      0
   -2.720242     3.767310    -1.408469            6      0
   -3.601348     3.767310    -1.408469            6      0
   -2.720242     0.950392    -1.408469            6      0
   -3.601348     0.950392    -1.408469            6      0
   -2.353589     3.166058     1.690681            6      0
   -3.968002     3.166058     1.690681            6      0
   -2.353589     1.551645     1.690681            6      0
   -3.968002     1.551645     1.690681            6      0
   -2.353589     3.166058    -1.690701            6      0
   -3.968002     3.166058    -1.690701            6      0
   -2.353589     1.551645    -1.690701            6      0
   -3.968002     1.551645    -1.690701            6      0
   -2.353589     4.049542     0.807196            6      0
   -2.353589     0.668161     0.807196            6      0
   -3.968002     0.668161     0.807196            6      0
   -2.353589     4.049542    -0.807217            6      0
   -2.353589     0.668161    -0.807217            6      0
   -3.968002     0.668161    -0.807217            6      0
   -1.470104     3.166058     0.807196            6      0
   -4.851486     3.166058     0.807196            6      0
   -4.851486     1.551645     0.807196            6      0
   -1.470104     3.166058    -0.807217            6      0
   -4.851486     3.166058    -0.807217            6      0
   -4.851486     1.551645    -0.807217            6      0
   -4.136668     0.567407    -0.000010            6      0
   -1.369351     3.334724    -0.000010            6      0
   -4.952239     3.334724    -0.000010            6      0
   -4.952239     1.382979    -0.000010            6      0
   -2.184922     2.358851     1.791434            6      0
   -4.136668     2.358851     1.791434            6      0
   -2.184922     2.358851    -1.791454            6      0
   -4.136668     2.358851    -1.791454            6      0
   -1.369351     2.358851     0.975863            6      0
   -4.952239     2.358851     0.975863            6      0
   -1.369351     2.358851    -0.975883            6      0
   -4.952239     2.358851    -0.975883            6      0
   -3.160795     3.334724     1.791434            6      0
   -3.160795     1.382979     1.791434            6      0
   -3.160795     3.334724    -1.791454            6      0
   -3.160795     1.382979    -1.791454            6      0
   -3.160795     0.567407     0.975863            6      0
   -3.160795     0.567407    -0.975883            6      0
   -1.512442     3.608949     0.000002            8      1
   -5.160442     3.608949     0.000002            8      1
   -3.336442     5.432949     0.000002            8      1
   -3.336442     3.608949     1.824002            8      1
   -3.336442     3.608949    -1.823998            8      1
   -2.283355     4.662036     1.053089            8      1
   -4.389528     4.662036     1.053089            8      1
   -4.389528     2.555862     1.053089            8      1
   -2.283355     4.662036    -1.053085            8      1
   -4.389528     4.662036    -1.053085            8      1
   -4.389528     2.555862    -1.053085            8      1
   -2.998791     3.946600     1.760388            8      1
   -3.674092     3.946600     1.760388            8      1
   -2.998791     3.271298     1.760388            8      1
