# Atoms array:
     x           y            z                   Z     indx
   -3.760217    -3.324978     0.356941            6      0
   -5.256020    -3.655071     0.783567            6      1
   -5.559636    -5.159989     0.369648            6      2
   -5.455168    -3.450559     2.041294            8      3
   -2.886986    -4.091478     0.985313            9      4
   -3.590165    -3.481696    -0.954212            9      5
   -3.503305    -2.058284     0.647445            9      6
   -4.763252    -6.012975     0.988806            9      7
   -5.420962    -5.332644    -0.943236            9      8
   -6.815139    -5.443909     0.682371            9      9
   -5.892339    -3.035816     0.104268            1     10

# Gridpoints array:
     x           y            z                   Z     indx
   -1.720217    -3.324978     0.356941            6      0
   -3.760217    -3.324978     2.396941            6      0
   -2.582422    -2.147184     1.534736            6      0
   -4.938011    -2.147184     1.534736            6      0
   -2.582422    -2.147184    -0.820853            6      0
   -4.938011    -2.147184    -0.820853            6      0
   -2.582422    -4.502773    -0.820853            6      0
   -3.382581    -2.947342     2.325794            6      0
   -4.137853    -2.947342     2.325794            6      0
   -3.382581    -3.702614     2.325794            6      0
   -3.382581    -5.293831    -0.020694            6      0
   -1.791364    -2.947342     0.734577            6      0
   -1.791364    -2.947342    -0.020694            6      0
   -1.791364    -3.702614    -0.020694            6      0
   -5.168676    -1.916519     0.797494            6      0
   -2.351758    -1.916519    -0.083611            6      0
   -5.168676    -1.916519    -0.083611            6      0
   -2.351758    -4.733437    -0.083611            6      0
   -2.351758    -2.884425     1.765400            6      0
   -2.351758    -2.884425    -1.051518            6      0
   -5.168676    -2.884425    -1.051518            6      0
   -2.351758    -3.765531    -1.051518            6      0
   -5.168676    -3.765531    -1.051518            6      0
   -4.200770    -1.916519     1.765400            6      0
   -4.200770    -4.733437     1.765400            6      0
   -3.319664    -1.916519    -1.051518            6      0
   -4.200770    -1.916519    -1.051518            6      0
   -3.319664    -4.733437    -1.051518            6      0
   -2.953010    -2.517772     2.047632            6      0
   -4.567423    -2.517772    -1.333749            6      0
   -4.567423    -1.634287     1.164148            6      0
   -2.953010    -1.634287    -0.450265            6      0
   -4.567423    -1.634287    -0.450265            6      0
   -2.953010    -5.015669    -0.450265            6      0
   -2.069526    -2.517772     1.164148            6      0
   -2.069526    -2.517772    -0.450265            6      0
   -2.069526    -4.132185    -0.450265            6      0
   -4.736090    -1.533534     0.356941            6      0
   -1.968773    -2.349105     0.356941            6      0
   -2.784344    -3.324978     2.148386            6      0
   -4.736090    -3.324978    -1.434503            6      0
   -1.968773    -3.324978     1.332814            6      0
   -1.968773    -3.324978    -0.618931            6      0
   -3.760217    -2.349105     2.148386            6      0
   -3.760217    -4.300851     2.148386            6      0
   -3.760217    -2.349105    -1.434503            6      0
   -3.760217    -1.533534    -0.618931            6      0
   -3.760217    -5.116422    -0.618931            6      0
   -7.296020    -3.655071     0.783567            6      1
   -5.256020    -1.615071     0.783567            6      1
   -5.256020    -3.655071    -1.256433            6      1
   -4.078225    -2.477276     1.961362            6      1
   -6.433814    -2.477276     1.961362            6      1
   -4.078225    -4.832865     1.961362            6      1
   -6.433814    -4.832865     1.961362            6      1
   -6.433814    -2.477276    -0.394227            6      1
   -4.878384    -3.277435    -1.185286            6      1
   -5.633656    -3.277435    -1.185286            6      1
   -5.633656    -4.032707    -1.185286            6      1
   -4.878384    -1.686218     1.161203            6      1
   -5.633656    -1.686218     1.161203            6      1
   -4.878384    -1.686218     0.405932            6      1
   -5.633656    -1.686218     0.405932            6      1
   -7.224873    -3.277435     1.161203            6      1
   -7.224873    -4.032707     1.161203            6      1
   -7.224873    -3.277435     0.405932            6      1
   -7.224873    -4.032707     0.405932            6      1
   -6.664479    -2.246612     1.224120            6      1
   -6.664479    -2.246612     0.343015            6      1
   -3.847561    -3.214518     2.192026            6      1
   -3.847561    -4.095624     2.192026            6      1
   -6.664479    -4.095624     2.192026            6      1
   -6.664479    -3.214518    -0.624891            6      1
   -6.664479    -4.095624    -0.624891            6      1
   -4.815467    -2.246612     2.192026            6      1
