# Atoms array:
     x           y            z                   Z     indx
   -5.293691    -3.647018     0.484138            6      0
   -6.501170    -4.176720     1.253538            6      1
   -2.077826    -1.498287     2.261080            1      2
   -1.574204    -0.709010     0.749965            1      3
   -3.064046    -0.192890     1.570464            1      4
   -7.413461    -5.192939     0.522804            6      5
   -6.171211    -4.652233     2.193831            1      6
   -7.144832    -3.336096     1.569181            1      7
   -7.150072    -5.487230    -0.681743            8      8
   -8.379007    -5.655381     1.206902            8      9
   -4.468474    -2.631723     1.279459            6     10
   -3.251268    -2.096921     0.520693            6     11
   -5.114689    -1.783220     1.570379            1     12
   -4.131257    -3.092599     2.225937            1     13
   -2.446295    -1.068590     1.316241            6     14
   -2.598731    -2.942921     0.242623            1     15
   -3.587671    -1.647371    -0.429896            1     16
   -4.648594    -4.491842     0.187454            1     17
   -5.632555    -3.184453    -0.458165            1     18

# Gridpoints array:
     x           y            z                   Z     indx
   -5.293691    -5.687018     0.484138            6      0
   -5.293691    -3.647018    -1.555862            6      0
   -6.471485    -2.469223     1.661932            6      0
   -4.115896    -4.824812     1.661932            6      0
   -6.471485    -2.469223    -0.693657            6      0
   -4.115896    -4.824812    -0.693657            6      0
   -5.671327    -3.269382     2.452991            6      0
   -4.916055    -4.024653     2.452991            6      0
   -4.916055    -3.269382    -1.484715            6      0
   -5.671327    -3.269382    -1.484715            6      0
   -4.916055    -4.024653    -1.484715            6      0
   -5.671327    -4.024653    -1.484715            6      0
   -4.916055    -5.615871     0.861774            6      0
   -5.671327    -5.615871     0.861774            6      0
   -5.671327    -1.678164     0.106502            6      0
   -4.916055    -5.615871     0.106502            6      0
   -5.671327    -5.615871     0.106502            6      0
   -3.324838    -4.024653     0.861774            6      0
   -7.262544    -3.269382     0.106502            6      0
   -3.324838    -4.024653     0.106502            6      0
   -6.702150    -2.238559     0.924690            6      0
   -3.885232    -5.055476     0.924690            6      0
   -6.702150    -2.238559     0.043585            6      0
   -3.885232    -5.055476     0.043585            6      0
   -3.885232    -4.087570     1.892597            6      0
   -3.885232    -3.206465    -0.924321            6      0
   -6.702150    -3.206465    -0.924321            6      0
   -3.885232    -4.087570    -0.924321            6      0
   -6.702150    -4.087570    -0.924321            6      0
   -4.853138    -5.055476     1.892597            6      0
   -4.853138    -2.238559    -0.924321            6      0
   -5.734244    -2.238559    -0.924321            6      0
   -4.853138    -5.055476    -0.924321            6      0
   -5.734244    -5.055476    -0.924321            6      0
   -6.100897    -2.839811     2.174828            6      0
   -4.486484    -4.454224     2.174828            6      0
   -4.486484    -2.839811    -1.206553            6      0
   -6.100897    -2.839811    -1.206553            6      0
   -4.486484    -4.454224    -1.206553            6      0
   -6.100897    -4.454224    -1.206553            6      0
   -6.100897    -1.956327     1.291344            6      0
   -4.486484    -5.337708     1.291344            6      0
   -6.100897    -1.956327    -0.323069            6      0
   -4.486484    -5.337708    -0.323069            6      0
   -3.603000    -4.454224     1.291344            6      0
   -6.984382    -2.839811    -0.323069            6      0
   -3.603000    -4.454224    -0.323069            6      0
   -6.269564    -1.855573     0.484138            6      0
   -4.317818    -5.438462     0.484138            6      0
   -7.085135    -2.671145     0.484138            6      0
   -3.502247    -4.622890     0.484138            6      0
   -4.317818    -3.647018    -1.307307            6      0
   -6.269564    -3.647018    -1.307307            6      0
   -3.502247    -3.647018    -0.491735            6      0
   -7.085135    -3.647018    -0.491735            6      0
   -5.293691    -2.671145    -1.307307            6      0
   -5.293691    -4.622890    -1.307307            6      0
   -5.293691    -5.438462     1.460010            6      0
   -5.293691    -1.855573    -0.491735            6      0
   -5.293691    -5.438462    -0.491735            6      0
   -6.501170    -2.136720     1.253538            6      1
   -6.501170    -4.176720     3.293538            6      1
   -7.678964    -2.998926     2.431332            6      1
   -5.323375    -5.354515     2.431332            6      1
   -7.678964    -5.354515     2.431332            6      1
   -7.678964    -2.998926     0.075743            6      1
   -5.323375    -5.354515     0.075743            6      1
   -6.123534    -3.799084     3.222391            6      1
   -6.878806    -3.799084     3.222391            6      1
   -6.123534    -4.554356     3.222391            6      1
   -6.878806    -4.554356     3.222391            6      1
   -6.878806    -3.799084    -0.715315            6      1
   -6.123534    -2.207867     1.631173            6      1
   -6.878806    -2.207867     1.631173            6      1
   -6.123534    -6.145573     1.631173            6      1
   -6.123534    -2.207867     0.875902            6      1
   -6.878806    -2.207867     0.875902            6      1
   -6.123534    -6.145573     0.875902            6      1
   -8.470023    -3.799084     1.631173            6      1
   -4.532317    -4.554356     1.631173            6      1
   -8.470023    -3.799084     0.875902            6      1
   -7.909629    -2.768261     1.694090            6      1
   -5.092711    -5.585179     1.694090            6      1
   -7.909629    -2.768261     0.812985            6      1
   -5.092711    -5.585179     0.812985            6      1
   -5.092711    -3.736167     2.661997            6      1
   -7.909629    -3.736167     2.661997            6      1
   -5.092711    -4.617273     2.661997            6      1
   -7.909629    -4.617273     2.661997            6      1
   -7.909629    -3.736167    -0.154921            6      1
   -6.060617    -2.768261     2.661997            6      1
   -6.941723    -2.768261     2.661997            6      1
   -6.060617    -5.585179     2.661997            6      1
   -6.941723    -5.585179     2.661997            6      1
   -6.941723    -2.768261    -0.154921            6      1
   -5.693963    -3.369514     2.944228            6      1
   -7.308376    -3.369514     2.944228            6      1
   -5.693963    -4.983927     2.944228            6      1
   -7.308376    -4.983927     2.944228            6      1
   -7.308376    -3.369514    -0.437153            6      1
   -5.693963    -4.983927    -0.437153            6      1
   -7.308376    -2.486029     2.060744            6      1
   -5.693963    -5.867411     2.060744            6      1
   -7.308376    -2.486029     0.446331            6      1
   -5.693963    -5.867411     0.446331            6      1
   -8.191861    -3.369514     2.060744            6      1
   -4.810479    -4.983927     2.060744            6      1
   -8.191861    -3.369514     0.446331            6      1
   -7.477043    -2.385276     1.253538            6      1
   -5.525297    -5.968164     1.253538            6      1
   -8.292614    -3.200847     1.253538            6      1
   -4.709726    -5.152593     1.253538            6      1
   -5.525297    -4.176720     3.044982            6      1
   -7.477043    -4.176720     3.044982            6      1
   -4.709726    -4.176720     2.229410            6      1
   -8.292614    -4.176720     2.229410            6      1
   -6.501170    -3.200847     3.044982            6      1
   -6.501170    -5.152593     3.044982            6      1
   -6.501170    -2.385276     2.229410            6      1
   -6.501170    -5.968164     2.229410            6      1
   -6.501170    -2.385276     0.277665            6      1
   -0.757826    -1.498287     2.261080            1      2
   -2.077826    -2.818287     2.261080            1      2
   -2.077826    -1.498287     3.581080            1      2
   -1.315723    -0.736185     3.023183            1      2
   -2.839928    -0.736185     3.023183            1      2
   -1.315723    -2.260389     3.023183            1      2
   -2.839928    -2.260389     3.023183            1      2
   -1.833473    -1.253934     3.535044            1      2
   -2.322178    -1.253934     3.535044            1      2
   -1.833473    -1.742640     3.535044            1      2
   -2.322178    -1.742640     3.535044            1      2
   -1.833473    -2.772251     2.505433            1      2
   -2.322178    -2.772251     2.505433            1      2
   -1.833473    -2.772251     2.016728            1      2
   -2.322178    -2.772251     2.016728            1      2
   -0.803862    -1.253934     2.505433            1      2
   -0.803862    -1.742640     2.505433            1      2
   -0.803862    -1.253934     2.016728            1      2
   -0.803862    -1.742640     2.016728            1      2
   -1.166470    -0.586931     2.546144            1      2
   -1.166470    -2.409643     2.546144            1      2
   -2.989182    -2.409643     2.546144            1      2
   -1.166470    -2.409643     1.976017            1      2
   -1.166470    -1.213223     3.172436            1      2
   -2.989182    -1.213223     3.172436            1      2
   -1.166470    -1.783350     3.172436            1      2
   -2.989182    -1.783350     3.172436            1      2
   -1.792762    -0.586931     3.172436            1      2
   -2.362889    -0.586931     3.172436            1      2
   -1.792762    -2.409643     3.172436            1      2
   -2.362889    -2.409643     3.172436            1      2
   -1.555516    -0.975977     3.355057            1      2
   -2.600136    -0.975977     3.355057            1      2
   -1.555516    -2.020597     3.355057            1      2
   -2.600136    -2.020597     3.355057            1      2
   -1.555516    -0.404310     2.783390            1      2
   -1.555516    -2.592263     2.783390            1      2
   -2.600136    -2.592263     2.783390            1      2
   -1.555516    -2.592263     1.738770            1      2
   -0.983849    -0.975977     2.783390            1      2
   -0.983849    -2.020597     2.783390            1      2
   -3.171802    -2.020597     2.783390            1      2
   -0.983849    -2.020597     1.738770            1      2
   -1.446379    -2.657457     2.261080            1      2
   -2.709273    -2.657457     2.261080            1      2
   -0.918656    -0.866840     2.261080            1      2
   -0.918656    -2.129734     2.261080            1      2
   -1.446379    -1.498287     3.420250            1      2
   -2.709273    -1.498287     3.420250            1      2
   -0.918656    -1.498287     2.892527            1      2
   -3.236996    -1.498287     2.892527            1      2
   -2.077826    -0.866840     3.420250            1      2
   -2.077826    -2.129734     3.420250            1      2
   -2.077826    -0.339117     2.892527            1      2
   -2.077826    -2.657457     2.892527            1      2
   -0.254204    -0.709010     0.749965            1      3
   -1.574204     0.610990     0.749965            1      3
   -1.574204    -0.709010    -0.570035            1      3
   -0.812102     0.053093     1.512067            1      3
   -0.812102    -1.471112     1.512067            1      3
   -0.812102     0.053093    -0.012138            1      3
   -2.336306     0.053093    -0.012138            1      3
   -0.812102    -1.471112    -0.012138            1      3
   -1.329851    -0.464657    -0.523999            1      3
   -1.818557    -0.464657    -0.523999            1      3
   -1.329851    -0.953362    -0.523999            1      3
   -1.818557    -0.953362    -0.523999            1      3
   -1.329851     0.564954     0.994317            1      3
   -1.818557     0.564954     0.994317            1      3
   -1.329851     0.564954     0.505612            1      3
   -1.818557     0.564954     0.505612            1      3
   -0.300240    -0.464657     0.994317            1      3
   -0.300240    -0.953362     0.994317            1      3
