# Atoms array:
     x           y            z                   Z     indx
   -2.925865    -4.469550     2.795882            8      0
   -4.207768    -5.239869     2.544176            8      1
   -2.386318    -4.775612     2.045625            1      2

# Gridpoints array:
     x           y            z                   Z     indx
   -1.101865    -4.469550     2.795882            8      0
   -2.925865    -2.645550     2.795882            8      0
   -2.925865    -6.293550     2.795882            8      0
   -2.925865    -4.469550     4.619882            8      0
   -2.925865    -4.469550     0.971882            8      0
   -1.872778    -3.416463     3.848969            8      0
   -3.978951    -3.416463     3.848969            8      0
   -1.872778    -5.522637     3.848969            8      0
   -3.978951    -5.522637     3.848969            8      0
   -1.872778    -3.416463     1.742795            8      0
   -3.978951    -3.416463     1.742795            8      0
   -1.872778    -5.522637     1.742795            8      0
   -2.588214    -4.131899     4.556268            8      0
   -3.263515    -4.131899     4.556268            8      0
   -2.588214    -4.807201     4.556268            8      0
   -3.263515    -4.807201     4.556268            8      0
   -2.588214    -4.131899     1.035495            8      0
   -3.263515    -4.131899     1.035495            8      0
   -2.588214    -4.807201     1.035495            8      0
   -3.263515    -4.807201     1.035495            8      0
   -2.588214    -2.709164     3.133533            8      0
   -3.263515    -2.709164     3.133533            8      0
   -2.588214    -6.229936     3.133533            8      0
   -3.263515    -6.229936     3.133533            8      0
   -2.588214    -2.709164     2.458231            8      0
   -3.263515    -2.709164     2.458231            8      0
   -2.588214    -6.229936     2.458231            8      0
   -1.165478    -4.131899     3.133533            8      0
   -1.165478    -4.807201     3.133533            8      0
   -1.165478    -4.131899     2.458231            8      0
   -1.165478    -4.807201     2.458231            8      0
   -1.666537    -3.210222     3.189788            8      0
   -4.185193    -3.210222     3.189788            8      0
   -1.666537    -5.728878     3.189788            8      0
   -1.666537    -3.210222     2.401976            8      0
   -4.185193    -3.210222     2.401976            8      0
   -1.666537    -5.728878     2.401976            8      0
   -1.666537    -4.075644     4.055210            8      0
   -4.185193    -4.075644     4.055210            8      0
   -1.666537    -4.863456     4.055210            8      0
   -4.185193    -4.863456     4.055210            8      0
   -1.666537    -4.075644     1.536554            8      0
   -4.185193    -4.075644     1.536554            8      0
   -1.666537    -4.863456     1.536554            8      0
   -2.531958    -3.210222     4.055210            8      0
   -3.319771    -3.210222     4.055210            8      0
   -2.531958    -5.728878     4.055210            8      0
   -3.319771    -5.728878     4.055210            8      0
   -2.531958    -3.210222     1.536554            8      0
   -3.319771    -3.210222     1.536554            8      0
   -2.531958    -5.728878     1.536554            8      0
   -3.319771    -5.728878     1.536554            8      0
   -2.204127    -3.747812     4.307558            8      0
   -3.647602    -3.747812     4.307558            8      0
   -2.204127    -5.191287     4.307558            8      0
   -3.647602    -5.191287     4.307558            8      0
   -2.204127    -3.747812     1.284205            8      0
   -3.647602    -3.747812     1.284205            8      0
   -2.204127    -5.191287     1.284205            8      0
   -3.647602    -5.191287     1.284205            8      0
   -2.204127    -2.957873     3.517619            8      0
   -3.647602    -2.957873     3.517619            8      0
   -2.204127    -5.981226     3.517619            8      0
   -2.204127    -2.957873     2.074144            8      0
   -3.647602    -2.957873     2.074144            8      0
   -2.204127    -5.981226     2.074144            8      0
   -1.414188    -3.747812     3.517619            8      0
   -4.437541    -3.747812     3.517619            8      0
   -1.414188    -5.191287     3.517619            8      0
   -1.414188    -3.747812     2.074144            8      0
   -4.437541    -3.747812     2.074144            8      0
   -1.414188    -5.191287     2.074144            8      0
   -2.053319    -2.867788     2.795882            8      0
   -3.798410    -2.867788     2.795882            8      0
   -2.053319    -6.071312     2.795882            8      0
   -1.324103    -3.597005     2.795882            8      0
   -4.527626    -3.597005     2.795882            8      0
   -1.324103    -5.342095     2.795882            8      0
   -2.053319    -4.469550     4.397644            8      0
   -3.798410    -4.469550     4.397644            8      0
   -2.053319    -4.469550     1.194120            8      0
   -3.798410    -4.469550     1.194120            8      0
   -1.324103    -4.469550     3.668427            8      0
   -4.527626    -4.469550     3.668427            8      0
   -1.324103    -4.469550     1.923337            8      0
   -2.925865    -3.597005     4.397644            8      0
   -2.925865    -5.342095     4.397644            8      0
   -2.925865    -3.597005     1.194120            8      0
   -2.925865    -5.342095     1.194120            8      0
   -2.925865    -2.867788     3.668427            8      0
   -2.925865    -6.071312     3.668427            8      0
   -2.925865    -2.867788     1.923337            8      0
   -2.925865    -6.071312     1.923337            8      0
   -6.031768    -5.239869     2.544176            8      1
   -4.207768    -3.415869     2.544176            8      1
   -4.207768    -7.063869     2.544176            8      1
   -4.207768    -5.239869     4.368177            8      1
   -4.207768    -5.239869     0.720176            8      1
   -5.260855    -4.186782     3.597263            8      1
   -3.154681    -6.292956     3.597263            8      1
   -5.260855    -6.292956     3.597263            8      1
   -5.260855    -4.186782     1.491090            8      1
   -3.154681    -6.292956     1.491090            8      1
   -5.260855    -6.292956     1.491090            8      1
   -3.870117    -4.902218     4.304563            8      1
   -4.545419    -4.902218     4.304563            8      1
   -3.870117    -5.577520     4.304563            8      1
   -4.545419    -5.577520     4.304563            8      1
   -3.870117    -4.902218     0.783790            8      1
   -4.545419    -4.902218     0.783790            8      1
   -3.870117    -5.577520     0.783790            8      1
   -4.545419    -5.577520     0.783790            8      1
   -4.545419    -3.479483     2.881827            8      1
   -3.870117    -7.000255     2.881827            8      1
   -4.545419    -7.000255     2.881827            8      1
   -3.870117    -3.479483     2.206526            8      1
   -4.545419    -3.479483     2.206526            8      1
   -3.870117    -7.000255     2.206526            8      1
   -4.545419    -7.000255     2.206526            8      1
   -5.968154    -4.902218     2.881827            8      1
   -5.968154    -5.577520     2.881827            8      1
   -5.968154    -4.902218     2.206526            8      1
   -5.968154    -5.577520     2.206526            8      1
   -5.467096    -3.980541     2.938083            8      1
   -2.948440    -6.499197     2.938083            8      1
   -5.467096    -6.499197     2.938083            8      1
   -5.467096    -3.980541     2.150270            8      1
   -2.948440    -6.499197     2.150270            8      1
   -5.467096    -6.499197     2.150270            8      1
   -5.467096    -4.845963     3.803504            8      1
