# Atoms array:
     x           y            z                   Z     indx
   -2.999692    -4.533396     2.754921            8      0
   -4.170410    -5.199632     2.575675            8      1

# Gridpoints array:
     x           y            z                   Z     indx
   -1.175692    -4.533396     2.754921            8      0
   -2.999692    -2.709396     2.754921            8      0
   -2.999692    -6.357396     2.754921            8      0
   -2.999692    -4.533396     4.578921            8      0
   -2.999692    -4.533396     0.930921            8      0
   -1.946605    -3.480309     3.808008            8      0
   -4.052779    -3.480309     3.808008            8      0
   -1.946605    -5.586483     3.808008            8      0
   -1.946605    -3.480309     1.701834            8      0
   -4.052779    -3.480309     1.701834            8      0
   -1.946605    -5.586483     1.701834            8      0
   -2.662041    -4.195745     4.515307            8      0
   -3.337343    -4.195745     4.515307            8      0
   -2.662041    -4.871047     4.515307            8      0
   -3.337343    -4.871047     4.515307            8      0
   -2.662041    -4.195745     0.994535            8      0
   -3.337343    -4.195745     0.994535            8      0
   -2.662041    -4.871047     0.994535            8      0
   -3.337343    -4.871047     0.994535            8      0
   -2.662041    -2.773010     3.092572            8      0
   -3.337343    -2.773010     3.092572            8      0
   -2.662041    -6.293783     3.092572            8      0
   -3.337343    -6.293783     3.092572            8      0
   -2.662041    -2.773010     2.417270            8      0
   -3.337343    -2.773010     2.417270            8      0
   -2.662041    -6.293783     2.417270            8      0
   -1.239306    -4.195745     3.092572            8      0
   -1.239306    -4.871047     3.092572            8      0
   -1.239306    -4.195745     2.417270            8      0
   -1.239306    -4.871047     2.417270            8      0
   -1.740364    -3.274068     3.148827            8      0
   -4.259020    -3.274068     3.148827            8      0
   -1.740364    -5.792724     3.148827            8      0
   -1.740364    -3.274068     2.361015            8      0
   -4.259020    -3.274068     2.361015            8      0
   -1.740364    -5.792724     2.361015            8      0
   -1.740364    -4.139490     4.014249            8      0
   -4.259020    -4.139490     4.014249            8      0
   -1.740364    -4.927302     4.014249            8      0
   -4.259020    -4.927302     4.014249            8      0
   -1.740364    -4.139490     1.495593            8      0
   -4.259020    -4.139490     1.495593            8      0
   -1.740364    -4.927302     1.495593            8      0
   -2.605786    -3.274068     4.014249            8      0
   -3.393598    -3.274068     4.014249            8      0
   -2.605786    -5.792724     4.014249            8      0
   -3.393598    -5.792724     4.014249            8      0
   -2.605786    -3.274068     1.495593            8      0
   -3.393598    -3.274068     1.495593            8      0
   -2.605786    -5.792724     1.495593            8      0
   -3.393598    -5.792724     1.495593            8      0
   -2.277954    -3.811659     4.266598            8      0
   -3.721430    -3.811659     4.266598            8      0
   -2.277954    -5.255134     4.266598            8      0
   -3.721430    -5.255134     4.266598            8      0
   -2.277954    -3.811659     1.243245            8      0
   -3.721430    -3.811659     1.243245            8      0
   -2.277954    -5.255134     1.243245            8      0
   -3.721430    -5.255134     1.243245            8      0
   -2.277954    -3.021720     3.476659            8      0
   -3.721430    -3.021720     3.476659            8      0
   -2.277954    -6.045073     3.476659            8      0
   -2.277954    -3.021720     2.033184            8      0
   -3.721430    -3.021720     2.033184            8      0
   -2.277954    -6.045073     2.033184            8      0
   -1.488015    -3.811659     3.476659            8      0
   -4.511368    -3.811659     3.476659            8      0
   -1.488015    -5.255134     3.476659            8      0
   -1.488015    -3.811659     2.033184            8      0
   -4.511368    -3.811659     2.033184            8      0
   -1.488015    -5.255134     2.033184            8      0
   -2.127147    -2.931635     2.754921            8      0
   -3.872237    -2.931635     2.754921            8      0
   -2.127147    -6.135158     2.754921            8      0
   -1.397930    -3.660851     2.754921            8      0
   -4.601454    -3.660851     2.754921            8      0
   -1.397930    -5.405942     2.754921            8      0
   -2.127147    -4.533396     4.356683            8      0
   -3.872237    -4.533396     4.356683            8      0
   -2.127147    -4.533396     1.153159            8      0
   -3.872237    -4.533396     1.153159            8      0
   -1.397930    -4.533396     3.627466            8      0
   -1.397930    -4.533396     1.882376            8      0
   -2.999692    -3.660851     4.356683            8      0
   -2.999692    -5.405942     4.356683            8      0
   -2.999692    -3.660851     1.153159            8      0
   -2.999692    -5.405942     1.153159            8      0
   -2.999692    -2.931635     3.627466            8      0
   -2.999692    -6.135158     3.627466            8      0
   -2.999692    -2.931635     1.882376            8      0
   -2.999692    -6.135158     1.882376            8      0
   -5.994410    -5.199632     2.575675            8      1
   -4.170410    -3.375632     2.575675            8      1
   -4.170410    -7.023632     2.575675            8      1
   -4.170410    -5.199632     4.399675            8      1
   -4.170410    -5.199632     0.751675            8      1
   -5.223497    -4.146545     3.628762            8      1
   -3.117323    -6.252719     3.628762            8      1
   -5.223497    -6.252719     3.628762            8      1
   -5.223497    -4.146545     1.522588            8      1
   -3.117323    -6.252719     1.522588            8      1
   -5.223497    -6.252719     1.522588            8      1
   -3.832759    -4.861981     4.336061            8      1
   -4.508061    -4.861981     4.336061            8      1
   -3.832759    -5.537283     4.336061            8      1
   -4.508061    -5.537283     4.336061            8      1
   -3.832759    -4.861981     0.815289            8      1
   -4.508061    -4.861981     0.815289            8      1
   -3.832759    -5.537283     0.815289            8      1
   -4.508061    -5.537283     0.815289            8      1
   -4.508061    -3.439245     2.913326            8      1
   -3.832759    -6.960018     2.913326            8      1
   -4.508061    -6.960018     2.913326            8      1
   -3.832759    -3.439245     2.238024            8      1
   -4.508061    -3.439245     2.238024            8      1
   -3.832759    -6.960018     2.238024            8      1
   -4.508061    -6.960018     2.238024            8      1
   -5.930796    -4.861981     2.913326            8      1
   -5.930796    -5.537283     2.913326            8      1
   -5.930796    -4.861981     2.238024            8      1
   -5.930796    -5.537283     2.238024            8      1
   -5.429738    -3.940304     2.969581            8      1
   -2.911082    -6.458960     2.969581            8      1
   -5.429738    -6.458960     2.969581            8      1
   -5.429738    -3.940304     2.181769            8      1
   -2.911082    -6.458960     2.181769            8      1
   -5.429738    -6.458960     2.181769            8      1
   -5.429738    -4.805726     3.835003            8      1
   -2.911082    -5.593538     3.835003            8      1
   -5.429738    -5.593538     3.835003            8      1
   -2.911082    -4.805726     1.316347            8      1
   -5.429738    -4.805726     1.316347            8      1
   -2.911082    -5.593538     1.316347            8      1
   -5.429738    -5.593538     1.316347            8      1
   -3.776504    -3.940304     3.835003            8      1
   -4.564316    -3.940304     3.835003            8      1
   -3.776504    -6.458960     3.835003            8      1
   -4.564316    -6.458960     3.835003            8      1
   -3.776504    -3.940304     1.316347            8      1
   -4.564316    -3.940304     1.316347            8      1
   -3.776504    -6.458960     1.316347            8      1
   -4.564316    -6.458960     1.316347            8      1
   -3.448673    -4.477894     4.087351            8      1
   -4.892148    -4.477894     4.087351            8      1
   -3.448673    -5.921369     4.087351            8      1
   -4.892148    -5.921369     4.087351            8      1
   -3.448673    -4.477894     1.063998            8      1
   -4.892148    -4.477894     1.063998            8      1
   -3.448673    -5.921369     1.063998            8      1
   -4.892148    -5.921369     1.063998            8      1
   -4.892148    -3.687955     3.297413            8      1
   -3.448673    -6.711308     3.297413            8      1
   -4.892148    -6.711308     3.297413            8      1
   -4.892148    -3.687955     1.853937            8      1
   -3.448673    -6.711308     1.853937            8      1
   -4.892148    -6.711308     1.853937            8      1
   -5.682087    -4.477894     3.297413            8      1
   -2.658734    -5.921369     3.297413            8      1
   -5.682087    -5.921369     3.297413            8      1
   -5.682087    -4.477894     1.853937            8      1
   -2.658734    -5.921369     1.853937            8      1
   -5.682087    -5.921369     1.853937            8      1
   -5.042955    -3.597870     2.575675            8      1
   -3.297865    -6.801394     2.575675            8      1
   -5.042955    -6.801394     2.575675            8      1
   -5.772172    -4.327087     2.575675            8      1
   -2.568648    -6.072177     2.575675            8      1
   -5.772172    -6.072177     2.575675            8      1
   -3.297865    -5.199632     4.177437            8      1
   -5.042955    -5.199632     4.177437            8      1
   -3.297865    -5.199632     0.973913            8      1
   -5.042955    -5.199632     0.973913            8      1
   -5.772172    -5.199632     3.448220            8      1
   -5.772172    -5.199632     1.703130            8      1
   -4.170410    -4.327087     4.177437            8      1
   -4.170410    -6.072177     4.177437            8      1
   -4.170410    -4.327087     0.973913            8      1
   -4.170410    -6.072177     0.973913            8      1
   -4.170410    -3.597870     3.448220            8      1
   -4.170410    -6.801394     3.448220            8      1
   -4.170410    -3.597870     1.703130            8      1
   -4.170410    -6.801394     1.703130            8      1
