# Atoms array:
     x           y            z                   Z     indx
   -3.706143    -4.003373    -2.674550            6      0
   -4.224429    -2.603998    -3.145013            6      1
   -3.272209    -1.676303    -3.203186            8      2
   -6.264642    -2.947116    -2.209594            1      3
   -5.431024    -2.206898    -2.230089            6      4
   -4.748068    -2.854541    -4.165770            1      5
   -5.836148    -1.228788    -2.569331            1      6
   -5.059927    -2.059346    -1.189344            1      7
   -3.288297    -3.905788    -1.645722            1      8
   -4.476081    -4.809925    -2.670717            1      9
   -2.868302    -4.318232    -3.334078            1     10

# Gridpoints array:
     x           y            z                   Z     indx
   -1.666143    -4.003373    -2.674550            6      0
   -5.746143    -4.003373    -2.674550            6      0
   -3.706143    -6.043373    -2.674550            6      0
   -3.706143    -4.003373    -0.634550            6      0
   -3.706143    -4.003373    -4.714550            6      0
   -2.528349    -2.825578    -1.496756            6      0
   -2.528349    -5.181167    -1.496756            6      0
   -4.883938    -5.181167    -1.496756            6      0
   -2.528349    -2.825578    -3.852345            6      0
   -2.528349    -5.181167    -3.852345            6      0
   -4.883938    -5.181167    -3.852345            6      0
   -3.328507    -3.625737    -0.705697            6      0
   -4.083779    -3.625737    -0.705697            6      0
   -3.328507    -4.381008    -0.705697            6      0
   -4.083779    -4.381008    -0.705697            6      0
   -3.328507    -3.625737    -4.643403            6      0
   -4.083779    -3.625737    -4.643403            6      0
   -3.328507    -4.381008    -4.643403            6      0
   -4.083779    -4.381008    -4.643403            6      0
   -3.328507    -5.972226    -2.296914            6      0
   -4.083779    -5.972226    -2.296914            6      0
   -3.328507    -5.972226    -3.052186            6      0
   -4.083779    -5.972226    -3.052186            6      0
   -1.737290    -3.625737    -2.296914            6      0
   -1.737290    -4.381008    -2.296914            6      0
   -5.674996    -4.381008    -2.296914            6      0
   -1.737290    -3.625737    -3.052186            6      0
   -1.737290    -4.381008    -3.052186            6      0
   -5.674996    -4.381008    -3.052186            6      0
   -2.297684    -2.594914    -2.233997            6      0
   -2.297684    -5.411831    -2.233997            6      0
   -5.114602    -5.411831    -2.233997            6      0
   -2.297684    -2.594914    -3.115103            6      0
   -2.297684    -5.411831    -3.115103            6      0
   -5.114602    -5.411831    -3.115103            6      0
   -2.297684    -3.562820    -1.266091            6      0
   -5.114602    -3.562820    -1.266091            6      0
   -2.297684    -4.443925    -1.266091            6      0
   -5.114602    -4.443925    -1.266091            6      0
   -2.297684    -3.562820    -4.083009            6      0
   -2.297684    -4.443925    -4.083009            6      0
   -5.114602    -4.443925    -4.083009            6      0
   -3.265590    -2.594914    -1.266091            6      0
   -3.265590    -5.411831    -1.266091            6      0
   -4.146696    -5.411831    -1.266091            6      0
   -3.265590    -5.411831    -4.083009            6      0
   -4.146696    -5.411831    -4.083009            6      0
   -2.898937    -3.196166    -0.983860            6      0
   -4.513350    -3.196166    -0.983860            6      0
   -2.898937    -4.810579    -0.983860            6      0
   -4.513350    -4.810579    -0.983860            6      0
   -2.898937    -3.196166    -4.365241            6      0
   -2.898937    -4.810579    -4.365241            6      0
   -4.513350    -4.810579    -4.365241            6      0
   -2.898937    -2.312682    -1.867344            6      0
   -2.898937    -5.694063    -1.867344            6      0
   -4.513350    -5.694063    -1.867344            6      0
   -2.898937    -5.694063    -3.481757            6      0
   -4.513350    -5.694063    -3.481757            6      0
   -2.015453    -3.196166    -1.867344            6      0
   -2.015453    -4.810579    -1.867344            6      0
   -5.396834    -4.810579    -1.867344            6      0
   -2.015453    -3.196166    -3.481757            6      0
   -2.015453    -4.810579    -3.481757            6      0
   -5.396834    -4.810579    -3.481757            6      0
   -2.730270    -5.794817    -2.674550            6      0
   -4.682016    -5.794817    -2.674550            6      0
   -1.914699    -3.027500    -2.674550            6      0
   -1.914699    -4.979245    -2.674550            6      0
   -5.497587    -4.979245    -2.674550            6      0
   -2.730270    -4.003373    -0.883106            6      0
   -4.682016    -4.003373    -0.883106            6      0
   -2.730270    -4.003373    -4.465994            6      0
   -4.682016    -4.003373    -4.465994            6      0
   -1.914699    -4.003373    -1.698677            6      0
   -5.497587    -4.003373    -1.698677            6      0
   -1.914699    -4.003373    -3.650423            6      0
   -5.497587    -4.003373    -3.650423            6      0
   -3.706143    -3.027500    -0.883106            6      0
   -3.706143    -4.979245    -0.883106            6      0
   -3.706143    -4.979245    -4.465994            6      0
   -3.706143    -5.794817    -1.698677            6      0
   -3.706143    -5.794817    -3.650423            6      0
   -4.224429    -2.603998    -5.185013            6      1
   -5.402224    -1.426203    -4.322808            6      1
   -3.046634    -3.781793    -4.322808            6      1
   -5.402224    -3.781793    -4.322808            6      1
   -3.846793    -2.226362    -1.176160            6      1
   -3.846793    -2.981634    -1.176160            6      1
   -3.846793    -2.226362    -5.113866            6      1
   -4.602065    -2.226362    -5.113866            6      1
   -3.846793    -2.981634    -5.113866            6      1
   -4.602065    -2.981634    -5.113866            6      1
   -4.602065    -0.635145    -2.767377            6      1
   -4.602065    -0.635145    -3.522649            6      1
   -2.255576    -2.981634    -2.767377            6      1
   -2.255576    -2.981634    -3.522649            6      1
   -6.193282    -2.981634    -3.522649            6      1
   -5.632888    -4.012457    -2.704460            6      1
   -5.632888    -1.195539    -3.585566            6      1
   -5.632888    -4.012457    -3.585566            6      1
   -2.815970    -2.163445    -1.736554            6      1
   -2.815970    -2.163445    -4.553472            6      1
   -5.632888    -2.163445    -4.553472            6      1
   -2.815970    -3.044551    -4.553472            6      1
   -5.632888    -3.044551    -4.553472            6      1
