# Atoms array:
     x           y            z                   Z     indx
   -3.790139    -1.773335     1.772672            6      0
   -5.310272    -2.433502     2.583101           16      1
   -4.002128    -1.397846     0.759329            1      2
   -3.358127    -0.939684     2.348329            1      3
   -3.011950    -2.547227     1.681748            1      4

# Gridpoints array:
     x           y            z                   Z     indx
   -1.750139    -1.773335     1.772672            6      0
   -3.790139     0.266665     1.772672            6      0
   -3.790139    -3.813336     1.772672            6      0
   -3.790139    -1.773335     3.812672            6      0
   -3.790139    -1.773335    -0.267328            6      0
   -2.612345    -0.595541     2.950467            6      0
   -4.967934    -0.595541     2.950467            6      0
   -2.612345    -2.951130     2.950467            6      0
   -2.612345    -0.595541     0.594878            6      0
   -4.967934    -0.595541     0.594878            6      0
   -2.612345    -2.951130     0.594878            6      0
   -4.967934    -2.951130     0.594878            6      0
   -3.412503    -1.395700     3.741525            6      0
   -4.167775    -1.395700     3.741525            6      0
   -3.412503    -2.150971     3.741525            6      0
   -3.412503    -1.395700    -0.196181            6      0
   -4.167775    -1.395700    -0.196181            6      0
   -3.412503    -2.150971    -0.196181            6      0
   -4.167775    -2.150971    -0.196181            6      0
   -3.412503     0.195518     2.150308            6      0
   -4.167775     0.195518     2.150308            6      0
   -3.412503    -3.742189     2.150308            6      0
   -4.167775    -3.742189     2.150308            6      0
   -3.412503     0.195518     1.395037            6      0
   -4.167775     0.195518     1.395037            6      0
   -3.412503    -3.742189     1.395037            6      0
   -4.167775    -3.742189     1.395037            6      0
   -1.821286    -1.395700     2.150308            6      0
   -1.821286    -2.150971     2.150308            6      0
   -1.821286    -1.395700     1.395037            6      0
   -1.821286    -2.150971     1.395037            6      0
   -2.381680    -0.364877     2.213225            6      0
   -5.198598    -0.364877     2.213225            6      0
   -2.381680    -3.181794     2.213225            6      0
   -2.381680    -0.364877     1.332120            6      0
   -5.198598    -0.364877     1.332120            6      0
   -2.381680    -3.181794     1.332120            6      0
   -2.381680    -1.332783     3.181131            6      0
   -2.381680    -2.213888     3.181131            6      0
   -2.381680    -1.332783     0.364214            6      0
   -5.198598    -1.332783     0.364214            6      0
   -2.381680    -2.213888     0.364214            6      0
   -5.198598    -2.213888     0.364214            6      0
