# Atoms array:
     x           y            z                   Z     indx
   -1.209255     4.382363    -1.369034            8      0
   -1.481803     3.384652    -0.486082            6      1
   -2.340287     2.697943    -0.771087            1      2
   -0.631648     2.656980    -0.292176            1      3
   -1.767130     3.721678     0.560323            1      4

# Gridpoints array:
     x           y            z                   Z     indx
    0.614745     4.382363    -1.369034            8      0
   -3.033255     4.382363    -1.369034            8      0
   -1.209255     6.206363    -1.369034            8      0
   -1.209255     4.382363    -3.193034            8      0
   -0.156168     5.435449    -0.315947            8      0
   -2.262342     5.435449    -0.315947            8      0
   -0.156168     5.435449    -2.422121            8      0
   -2.262342     5.435449    -2.422121            8      0
   -0.156168     3.329276    -2.422121            8      0
   -2.262342     3.329276    -2.422121            8      0
   -0.871604     4.720013     0.391352            8      0
   -0.871604     4.720013    -3.129420            8      0
   -1.546906     4.720013    -3.129420            8      0
   -0.871604     4.044712    -3.129420            8      0
   -1.546906     4.044712    -3.129420            8      0
   -0.871604     6.142749    -1.031383            8      0
   -1.546906     6.142749    -1.031383            8      0
   -0.871604     6.142749    -1.706685            8      0
   -1.546906     6.142749    -1.706685            8      0
    0.551131     4.720013    -1.031383            8      0
   -2.969642     4.720013    -1.031383            8      0
    0.551131     4.044712    -1.031383            8      0
   -2.969642     4.044712    -1.031383            8      0
    0.551131     4.720013    -1.706685            8      0
   -2.969642     4.720013    -1.706685            8      0
    0.551131     4.044712    -1.706685            8      0
   -2.969642     4.044712    -1.706685            8      0
    0.050073     5.641690    -0.975128            8      0
   -2.468583     5.641690    -0.975128            8      0
    0.050073     5.641690    -1.762940            8      0
   -2.468583     5.641690    -1.762940            8      0
    0.050073     3.123035    -1.762940            8      0
    0.050073     4.776269    -0.109706            8      0
   -2.468583     4.776269    -0.109706            8      0
    0.050073     3.988456    -0.109706            8      0
    0.050073     4.776269    -2.628362            8      0
   -2.468583     4.776269    -2.628362            8      0
    0.050073     3.988456    -2.628362            8      0
   -2.468583     3.988456    -2.628362            8      0
   -0.815349     5.641690    -0.109706            8      0
   -1.603161     5.641690    -0.109706            8      0
   -0.815349     5.641690    -2.628362            8      0
   -1.603161     5.641690    -2.628362            8      0
   -0.815349     3.123035    -2.628362            8      0
   -1.603161     3.123035    -2.628362            8      0
   -0.487518     5.104100     0.142642            8      0
   -1.930993     5.104100     0.142642            8      0
   -0.487518     5.104100    -2.880711            8      0
   -1.930993     5.104100    -2.880711            8      0
   -0.487518     3.660625    -2.880711            8      0
   -1.930993     3.660625    -2.880711            8      0
   -0.487518     5.894039    -0.647297            8      0
   -1.930993     5.894039    -0.647297            8      0
   -0.487518     5.894039    -2.090772            8      0
   -1.930993     5.894039    -2.090772            8      0
   -0.487518     2.870686    -2.090772            8      0
   -1.930993     2.870686    -2.090772            8      0
    0.302421     5.104100    -0.647297            8      0
   -2.720932     5.104100    -0.647297            8      0
    0.302421     3.660625    -0.647297            8      0
    0.302421     5.104100    -2.090772            8      0
   -2.720932     5.104100    -2.090772            8      0
    0.302421     3.660625    -2.090772            8      0
   -2.720932     3.660625    -2.090772            8      0
   -0.336710     5.984124    -1.369034            8      0
   -2.081800     5.984124    -1.369034            8      0
    0.392507     5.254908    -1.369034            8      0
   -2.811017     5.254908    -1.369034            8      0
    0.392507     3.509817    -1.369034            8      0
   -0.336710     4.382363     0.232728            8      0
   -0.336710     4.382363    -2.970796            8      0
   -2.081800     4.382363    -2.970796            8      0
    0.392507     4.382363    -0.496489            8      0
   -2.811017     4.382363    -0.496489            8      0
    0.392507     4.382363    -2.241579            8      0
   -2.811017     4.382363    -2.241579            8      0
   -1.209255     5.254908     0.232728            8      0
   -1.209255     5.254908    -2.970796            8      0
   -1.209255     3.509817    -2.970796            8      0
   -1.209255     5.984124    -0.496489            8      0
   -1.209255     5.984124    -2.241579            8      0
   -1.209255     2.780601    -2.241579            8      0
    0.558197     3.384652    -0.486082            6      1
   -3.521803     3.384652    -0.486082            6      1
   -1.481803     1.344652    -0.486082            6      1
   -1.481803     3.384652     1.553918            6      1
   -1.481803     3.384652    -2.526082            6      1
   -0.304009     4.562447     0.691713            6      1
   -2.659598     4.562447     0.691713            6      1
   -0.304009     2.206858     0.691713            6      1
   -2.659598     2.206858     0.691713            6      1
   -2.659598     4.562447    -1.663876            6      1
   -0.304009     2.206858    -1.663876            6      1
   -2.659598     2.206858    -1.663876            6      1
   -1.104167     3.762288     1.482771            6      1
   -1.859439     3.762288     1.482771            6      1
   -1.104167     3.007016     1.482771            6      1
   -1.859439     3.007016     1.482771            6      1
   -1.859439     3.762288    -2.454935            6      1
   -1.104167     3.007016    -2.454935            6      1
   -1.859439     3.007016    -2.454935            6      1
   -1.104167     5.353505    -0.108446            6      1
   -1.859439     5.353505    -0.108446            6      1
   -1.104167     1.415799    -0.108446            6      1
   -1.859439     1.415799    -0.108446            6      1
   -1.104167     1.415799    -0.863717            6      1
   -1.859439     1.415799    -0.863717            6      1
    0.487050     3.762288    -0.108446            6      1
   -3.450656     3.762288    -0.108446            6      1
    0.487050     3.007016    -0.108446            6      1
