# Atoms array:
     x           y            z                   Z     indx
   -7.134495    -4.412905     1.601722            6      0
   -7.883305    -3.594435     1.543463            1      1
   -7.627983    -5.608386     1.062111            8      2
   -6.218287    -4.070213     1.075738            1      3
   -6.891864    -4.606042     2.663045            1      4
   -7.945555    -5.343727    -0.368530            8      5

# Gridpoints array:
     x           y            z                   Z     indx
   -5.094495    -4.412905     1.601722            6      0
   -9.174495    -4.412905     1.601722            6      0
   -7.134495    -2.372905     1.601722            6      0
   -7.134495    -4.412905     3.641722            6      0
   -5.956701    -3.235111     2.779517            6      0
   -8.312290    -3.235111     2.779517            6      0
   -5.956701    -5.590700     2.779517            6      0
   -8.312290    -5.590700     2.779517            6      0
   -5.956701    -3.235111     0.423928            6      0
   -8.312290    -3.235111     0.423928            6      0
   -5.956701    -5.590700     0.423928            6      0
   -6.756859    -4.035269     3.570575            6      0
   -7.512131    -4.035269     3.570575            6      0
   -6.756859    -4.790541     3.570575            6      0
   -7.512131    -4.790541     3.570575            6      0
   -6.756859    -4.035269    -0.367131            6      0
   -7.512131    -4.035269    -0.367131            6      0
   -6.756859    -2.444052     1.979358            6      0
   -7.512131    -2.444052     1.979358            6      0
   -6.756859    -6.381758     1.979358            6      0
   -6.756859    -2.444052     1.224086            6      0
   -7.512131    -2.444052     1.224086            6      0
   -5.165642    -4.035269     1.979358            6      0
   -9.103348    -4.035269     1.979358            6      0
   -5.165642    -4.790541     1.979358            6      0
   -9.103348    -4.790541     1.979358            6      0
   -5.165642    -4.035269     1.224086            6      0
   -9.103348    -4.035269     1.224086            6      0
   -5.165642    -4.790541     1.224086            6      0
   -9.103348    -4.790541     1.224086            6      0
   -5.726036    -3.004446     2.042275            6      0
   -8.542954    -3.004446     2.042275            6      0
   -5.726036    -5.821364     2.042275            6      0
   -8.542954    -5.821364     2.042275            6      0
   -5.726036    -3.004446     1.161169            6      0
   -8.542954    -3.004446     1.161169            6      0
   -5.726036    -5.821364     1.161169            6      0
   -5.726036    -3.972352     3.010181            6      0
   -8.542954    -3.972352     3.010181            6      0
   -5.726036    -4.853458     3.010181            6      0
   -8.542954    -4.853458     3.010181            6      0
   -5.726036    -3.972352     0.193263            6      0
   -8.542954    -3.972352     0.193263            6      0
   -5.726036    -4.853458     0.193263            6      0
   -6.693942    -3.004446     3.010181            6      0
   -7.575048    -3.004446     3.010181            6      0
   -6.693942    -5.821364     3.010181            6      0
   -7.575048    -5.821364     3.010181            6      0
   -6.693942    -3.004446     0.193263            6      0
   -7.575048    -3.004446     0.193263            6      0
   -6.327289    -3.605699     3.292413            6      0
   -7.941702    -3.605699     3.292413            6      0
   -6.327289    -5.220112     3.292413            6      0
   -7.941702    -5.220112     3.292413            6      0
   -6.327289    -3.605699    -0.088968            6      0
   -7.941702    -3.605699    -0.088968            6      0
   -6.327289    -5.220112    -0.088968            6      0
   -6.327289    -2.722215     2.408929            6      0
   -7.941702    -2.722215     2.408929            6      0
   -6.327289    -6.103596     2.408929            6      0
   -7.941702    -6.103596     2.408929            6      0
   -6.327289    -2.722215     0.794516            6      0
   -7.941702    -2.722215     0.794516            6      0
   -6.327289    -6.103596     0.794516            6      0
   -5.443804    -3.605699     2.408929            6      0
   -8.825186    -3.605699     2.408929            6      0
   -5.443804    -5.220112     2.408929            6      0
   -8.825186    -5.220112     2.408929            6      0
   -5.443804    -3.605699     0.794516            6      0
   -8.825186    -3.605699     0.794516            6      0
   -5.443804    -5.220112     0.794516            6      0
   -6.158622    -2.621461     1.601722            6      0
   -8.110368    -2.621461     1.601722            6      0
   -6.158622    -6.204349     1.601722            6      0
   -5.343051    -3.437032     1.601722            6      0
   -8.925939    -3.437032     1.601722            6      0
   -5.343051    -5.388778     1.601722            6      0
   -8.925939    -5.388778     1.601722            6      0
   -6.158622    -4.412905     3.393166            6      0
   -8.110368    -4.412905     3.393166            6      0
   -6.158622    -4.412905    -0.189722            6      0
   -5.343051    -4.412905     2.577595            6      0
   -8.925939    -4.412905     2.577595            6      0
   -5.343051    -4.412905     0.625849            6      0
   -8.925939    -4.412905     0.625849            6      0
   -7.134495    -3.437032     3.393166            6      0
   -7.134495    -5.388778     3.393166            6      0
   -7.134495    -3.437032    -0.189722            6      0
   -7.134495    -2.621461     2.577595            6      0
   -7.134495    -6.204349     2.577595            6      0
   -7.134495    -2.621461     0.625849            6      0
   -9.203305    -3.594435     1.543463            1      1
   -7.883305    -2.274435     1.543463            1      1
   -7.121202    -2.832333     2.305565            1      1
   -8.645407    -2.832333     2.305565            1      1
   -7.121202    -2.832333     0.781360            1      1
   -8.645407    -2.832333     0.781360            1      1
   -8.127657    -3.350083     2.817426            1      1
   -7.638952    -3.350083     0.269499            1      1
   -8.127657    -3.350083     0.269499            1      1
   -7.638952    -2.320472     1.787815            1      1
   -8.127657    -2.320472     1.787815            1      1
   -7.638952    -2.320472     1.299110            1      1
   -8.127657    -2.320472     1.299110            1      1
   -9.157269    -3.350083     1.787815            1      1
   -9.157269    -3.838788     1.787815            1      1
   -9.157269    -3.350083     1.299110            1      1
   -9.157269    -3.838788     1.299110            1      1
   -6.971949    -2.683080     1.828526            1      1
   -8.794661    -2.683080     1.828526            1      1
   -6.971949    -2.683080     1.258399            1      1
   -8.794661    -2.683080     1.258399            1      1
   -8.794661    -3.309372     2.454818            1      1
   -8.794661    -3.879499     2.454818            1      1
   -8.794661    -3.309372     0.632107            1      1
   -8.794661    -3.879499     0.632107            1      1
   -7.598241    -2.683080     2.454818            1      1
   -8.168368    -2.683080     2.454818            1      1
   -7.598241    -2.683080     0.632107            1      1
   -8.168368    -2.683080     0.632107            1      1
   -7.360995    -3.072125     2.637439            1      1
   -8.405615    -3.072125     2.637439            1      1
   -7.360995    -3.072125     0.449486            1      1
   -8.405615    -3.072125     0.449486            1      1
   -7.360995    -2.500459     2.065773            1      1
   -8.405615    -2.500459     2.065773            1      1
   -7.360995    -2.500459     1.021152            1      1
   -8.405615    -2.500459     1.021152            1      1
