# Atoms array:
     x           y            z                   Z     indx
   -6.594616    -2.952022     3.297269            7      0
   -5.537213    -2.681622     2.527103            6      1
   -5.693341    -2.590912     1.457173            1      2
   -7.772609    -3.100628     2.778377            8      3
   -4.571222    -2.562473     3.006606            1      4
   -6.467122    -3.071968     4.581285            8      5

# Gridpoints array:
     x           y            z                   Z     indx
   -6.594616    -1.092022     3.297269            7      0
   -6.594616    -4.812022     3.297269            7      0
   -5.520745    -1.878150     4.371140            7      0
   -7.668488    -1.878150     4.371140            7      0
   -5.520745    -4.025893     4.371140            7      0
   -7.668488    -4.025893     4.371140            7      0
   -7.668488    -1.878150     2.223397            7      0
   -6.938931    -2.607707     1.502138            7      0
   -6.938931    -3.296337     1.502138            7      0
   -6.250301    -1.156891     3.641584            7      0
   -6.938931    -1.156891     3.641584            7      0
   -6.250301    -4.747152     3.641584            7      0
   -6.938931    -4.747152     3.641584            7      0
   -6.250301    -1.156891     2.952954            7      0
   -6.938931    -1.156891     2.952954            7      0
   -6.250301    -4.747152     2.952954            7      0
   -6.938931    -4.747152     2.952954            7      0
   -5.310433    -1.667839     3.698949            7      0
   -7.878799    -1.667839     3.698949            7      0
   -5.310433    -4.236205     3.698949            7      0
   -7.878799    -4.236205     3.698949            7      0
   -7.878799    -1.667839     2.895588            7      0
   -5.310433    -4.236205     2.895588            7      0
   -7.878799    -2.550341     4.581452            7      0
   -7.878799    -3.353702     4.581452            7      0
   -6.192936    -1.667839     4.581452            7      0
   -6.996297    -1.667839     4.581452            7      0
   -6.996297    -1.667839     2.013085            7      0
   -6.192936    -4.236205     2.013085            7      0
   -6.996297    -4.236205     2.013085            7      0
   -7.330599    -2.216039     1.755756            7      0
   -5.858634    -1.410509     4.033251            7      0
   -7.330599    -1.410509     4.033251            7      0
   -5.858634    -4.493534     4.033251            7      0
   -7.330599    -4.493534     4.033251            7      0
   -7.330599    -1.410509     2.561286            7      0
   -5.858634    -4.493534     2.561286            7      0
   -7.330599    -4.493534     2.561286            7      0
   -5.053104    -2.216039     4.033251            7      0
   -8.136128    -2.216039     4.033251            7      0
   -5.053104    -3.688004     4.033251            7      0
   -8.136128    -3.688004     4.033251            7      0
   -5.704850    -1.318646     3.297269            7      0
   -7.484383    -1.318646     3.297269            7      0
   -5.704850    -4.585397     3.297269            7      0
   -7.484383    -4.585397     3.297269            7      0
   -4.961241    -2.952022     4.187035            7      0
   -8.227992    -2.952022     4.187035            7      0
   -6.594616    -3.841788     1.663893            7      0
   -6.594616    -1.318646     4.187035            7      0
   -6.594616    -4.585397     4.187035            7      0
   -6.594616    -1.318646     2.407502            7      0
   -6.594616    -4.585397     2.407502            7      0
   -3.497213    -2.681622     2.527103            6      1
   -5.537213    -0.641622     2.527103            6      1
   -5.537213    -4.721622     2.527103            6      1
   -5.537213    -2.681622     0.487103            6      1
   -4.359419    -1.503828     3.704898            6      1
   -6.715008    -1.503828     3.704898            6      1
   -4.359419    -3.859417     3.704898            6      1
   -4.359419    -1.503828     1.349309            6      1
   -6.715008    -1.503828     1.349309            6      1
   -4.359419    -3.859417     1.349309            6      1
   -6.715008    -3.859417     1.349309            6      1
   -5.159577    -2.303986     4.495956            6      1
   -5.159577    -2.303986     0.558250            6      1
   -5.914849    -2.303986     0.558250            6      1
   -5.159577    -3.059258     0.558250            6      1
   -5.914849    -3.059258     0.558250            6      1
   -5.159577    -0.712769     2.904739            6      1
   -5.914849    -0.712769     2.904739            6      1
   -5.159577    -4.650475     2.904739            6      1
   -5.914849    -4.650475     2.904739            6      1
   -5.159577    -0.712769     2.149467            6      1
   -5.914849    -0.712769     2.149467            6      1
   -5.159577    -4.650475     2.149467            6      1
   -5.914849    -4.650475     2.149467            6      1
   -3.568360    -2.303986     2.904739            6      1
   -3.568360    -3.059258     2.904739            6      1
   -3.568360    -2.303986     2.149467            6      1
   -3.568360    -3.059258     2.149467            6      1
   -4.128754    -1.273163     2.967656            6      1
   -6.945672    -1.273163     2.967656            6      1
   -4.128754    -4.090081     2.967656            6      1
   -4.128754    -1.273163     2.086550            6      1
   -6.945672    -1.273163     2.086550            6      1
   -4.128754    -4.090081     2.086550            6      1
   -6.945672    -4.090081     2.086550            6      1
   -4.128754    -2.241069     3.935562            6      1
   -4.128754    -3.122175     3.935562            6      1
   -4.128754    -2.241069     1.118644            6      1
   -6.945672    -2.241069     1.118644            6      1
   -4.128754    -3.122175     1.118644            6      1
   -6.945672    -3.122175     1.118644            6      1
   -5.096660    -1.273163     3.935562            6      1
   -5.977766    -1.273163     3.935562            6      1
   -5.096660    -4.090081     3.935562            6      1
   -5.096660    -1.273163     1.118644            6      1
   -5.977766    -1.273163     1.118644            6      1
   -5.096660    -4.090081     1.118644            6      1
   -5.977766    -4.090081     1.118644            6      1
   -4.730007    -1.874416     4.217794            6      1
   -4.730007    -3.488829     4.217794            6      1
   -4.730007    -1.874416     0.836412            6      1
   -6.344420    -1.874416     0.836412            6      1
   -4.730007    -3.488829     0.836412            6      1
   -6.344420    -3.488829     0.836412            6      1
   -4.730007    -0.990932     3.334310            6      1
   -6.344420    -0.990932     3.334310            6      1
   -4.730007    -4.372313     3.334310            6      1
   -6.344420    -4.372313     3.334310            6      1
   -4.730007    -0.990932     1.719897            6      1
   -6.344420    -0.990932     1.719897            6      1
   -4.730007    -4.372313     1.719897            6      1
   -6.344420    -4.372313     1.719897            6      1
   -3.846522    -1.874416     3.334310            6      1
   -3.846522    -3.488829     3.334310            6      1
   -3.846522    -1.874416     1.719897            6      1
   -7.227904    -1.874416     1.719897            6      1
   -3.846522    -3.488829     1.719897            6      1
   -4.561340    -0.890178     2.527103            6      1
   -6.513086    -0.890178     2.527103            6      1
   -4.561340    -4.473066     2.527103            6      1
   -6.513086    -4.473066     2.527103            6      1
   -3.745769    -1.705749     2.527103            6      1
   -7.328657    -1.705749     2.527103            6      1
   -3.745769    -3.657495     2.527103            6      1
   -4.561340    -2.681622     4.318547            6      1
   -4.561340    -2.681622     0.735659            6      1
   -6.513086    -2.681622     0.735659            6      1
   -3.745769    -2.681622     3.502976            6      1
   -3.745769    -2.681622     1.551230            6      1
   -7.328657    -2.681622     1.551230            6      1
   -5.537213    -1.705749     4.318547            6      1
   -5.537213    -1.705749     0.735659            6      1
   -5.537213    -3.657495     0.735659            6      1
   -5.537213    -0.890178     3.502976            6      1
   -5.537213    -4.473066     3.502976            6      1
   -5.537213    -0.890178     1.551230            6      1
   -5.537213    -4.473066     1.551230            6      1
   -5.693341    -2.590912     0.137173            1      2
   -4.931239    -1.828809     0.695071            1      2
   -6.455443    -1.828809     0.695071            1      2
   -4.931239    -3.353014     0.695071            1      2
   -6.455443    -3.353014     0.695071            1      2
   -5.448988    -2.346559     0.183209            1      2
   -5.937694    -2.346559     0.183209            1      2
   -5.448988    -2.835264     0.183209            1      2
   -5.937694    -2.835264     0.183209            1      2
   -5.448988    -1.316948     1.212820            1      2
   -5.937694    -1.316948     1.212820            1      2
   -5.448988    -3.864875     1.212820            1      2
   -5.937694    -3.864875     1.212820            1      2
   -4.419377    -2.346559     1.212820            1      2
   -6.967305    -2.346559     1.212820            1      2
   -4.419377    -2.835264     1.212820            1      2
   -6.967305    -2.835264     1.212820            1      2
   -4.781985    -1.679556     1.172110            1      2
   -6.604697    -1.679556     1.172110            1      2
   -4.781985    -3.502267     1.172110            1      2
   -6.604697    -3.502267     1.172110            1      2
   -4.781985    -2.305848     0.545817            1      2
   -6.604697    -2.305848     0.545817            1      2
   -4.781985    -2.875975     0.545817            1      2
   -6.604697    -2.875975     0.545817            1      2
   -5.408277    -1.679556     0.545817            1      2
   -5.978405    -1.679556     0.545817            1      2
   -5.408277    -3.502267     0.545817            1      2
   -5.978405    -3.502267     0.545817            1      2
   -5.171031    -2.068601     0.363197            1      2
   -6.215651    -2.068601     0.363197            1      2
   -5.171031    -3.113222     0.363197            1      2
   -6.215651    -3.113222     0.363197            1      2
   -5.171031    -1.496935     0.934863            1      2
   -6.215651    -1.496935     0.934863            1      2
   -5.171031    -3.684888     0.934863            1      2
