# Atoms array:
     x           y            z                   Z     indx
   -3.066702     1.736946    -0.000011            6      0
   -3.042007     0.343465     0.000001            6      1
    0.301275     2.318918    -0.000037            1      2
   -1.879430     3.821414    -0.000036            8      3
   -1.830294    -0.365637    -0.000001            6      4
   -3.988686    -0.206371     0.000012            1      5
   -0.635400     0.371537    -0.000015            6      6
   -1.817637    -1.456780     0.000007            1      7
   -0.643228     1.765249    -0.000027            6      8
    0.323833    -0.156078    -0.000017            1      9
   -1.864091     2.530579    -0.000026            6     10
   -4.023899     2.268349    -0.000008            1     11

# Gridpoints array:
     x           y            z                   Z     indx
   -5.106702     1.736946    -0.000011            6      0
   -3.066702     1.736946     2.039989            6      0
   -3.066702     1.736946    -2.040011            6      0
   -4.244497     2.914740     1.177784            6      0
   -4.244497     0.559151     1.177784            6      0
   -4.244497     2.914740    -1.177805            6      0
   -4.244497     0.559151    -1.177805            6      0
   -2.689066     2.114581     1.968842            6      0
   -3.444338     2.114581     1.968842            6      0
   -2.689066     1.359310     1.968842            6      0
   -3.444338     1.359310     1.968842            6      0
   -2.689066     2.114581    -1.968864            6      0
   -3.444338     2.114581    -1.968864            6      0
   -2.689066     1.359310    -1.968864            6      0
   -3.444338     1.359310    -1.968864            6      0
   -3.444338     3.705799     0.377625            6      0
   -3.444338     3.705799    -0.377647            6      0
   -5.035555     2.114581     0.377625            6      0
   -5.035555     1.359310     0.377625            6      0
   -5.035555     2.114581    -0.377647            6      0
   -5.035555     1.359310    -0.377647            6      0
   -4.475161     3.145405     0.440542            6      0
   -4.475161     3.145405    -0.440564            6      0
   -4.475161     2.177498     1.408448            6      0
   -1.658243     1.296393     1.408448            6      0
   -4.475161     1.296393     1.408448            6      0
   -4.475161     2.177498    -1.408470            6      0
   -1.658243     1.296393    -1.408470            6      0
   -4.475161     1.296393    -1.408470            6      0
   -2.626149     3.145405     1.408448            6      0
   -3.507255     3.145405     1.408448            6      0
   -2.626149     3.145405    -1.408470            6      0
   -3.507255     3.145405    -1.408470            6      0
   -2.259496     2.544152     1.690680            6      0
   -3.873909     2.544152     1.690680            6      0
   -2.259496     0.929739     1.690680            6      0
   -3.873909     0.929739     1.690680            6      0
   -2.259496     2.544152    -1.690701            6      0
   -3.873909     2.544152    -1.690701            6      0
   -2.259496     0.929739    -1.690701            6      0
   -3.873909     0.929739    -1.690701            6      0
   -3.873909     3.427636     0.807196            6      0
   -3.873909     3.427636    -0.807217            6      0
   -4.757393     2.544152     0.807196            6      0
   -4.757393     0.929739     0.807196            6      0
   -4.757393     2.544152    -0.807217            6      0
   -4.757393     0.929739    -0.807217            6      0
   -4.042575     3.528390    -0.000011            6      0
   -4.858146     2.712818    -0.000011            6      0
