# Atoms array:
     x           y            z                   Z     indx
   -5.659144    -3.850609     0.512058            6      0
   -6.951194    -4.310917     1.180795            6      1
   -4.904455    -4.650105     0.510441            1      2
   -5.832584    -3.562259    -0.535151            1      3
   -5.230611    -2.980946     1.034556            1      4
   -7.651509    -5.542593     0.553975            6      5
   -6.765298    -4.557111     2.240638            1      6
   -7.688992    -3.491505     1.200053            1      7
   -7.065206    -6.154861    -0.388203            8      8
   -8.777964    -5.847959     1.055224            8      9

# Gridpoints array:
     x           y            z                   Z     indx
   -3.619144    -3.850609     0.512058            6      0
   -5.659144    -1.810609     0.512058            6      0
   -5.659144    -5.890609     0.512058            6      0
   -5.659144    -3.850609     2.552058            6      0
   -5.659144    -3.850609    -1.527942            6      0
   -4.481350    -2.672814     1.689853            6      0
   -6.836939    -2.672814     1.689853            6      0
   -4.481350    -5.028403     1.689853            6      0
   -4.481350    -2.672814    -0.665736            6      0
   -6.836939    -2.672814    -0.665736            6      0
   -4.481350    -5.028403    -0.665736            6      0
   -5.281508    -3.472973     2.480911            6      0
   -6.036780    -3.472973     2.480911            6      0
   -5.281508    -4.228244     2.480911            6      0
   -5.281508    -3.472973    -1.456795            6      0
   -6.036780    -3.472973    -1.456795            6      0
   -5.281508    -4.228244    -1.456795            6      0
   -6.036780    -4.228244    -1.456795            6      0
   -5.281508    -1.881755     0.889694            6      0
   -6.036780    -1.881755     0.889694            6      0
   -5.281508    -5.819462     0.889694            6      0
   -5.281508    -1.881755     0.134422            6      0
   -6.036780    -1.881755     0.134422            6      0
   -5.281508    -5.819462     0.134422            6      0
   -3.690291    -3.472973     0.889694            6      0
   -3.690291    -4.228244     0.889694            6      0
   -3.690291    -3.472973     0.134422            6      0
   -3.690291    -4.228244     0.134422            6      0
   -4.250685    -2.442150     0.952611            6      0
   -7.067603    -2.442150     0.952611            6      0
   -4.250685    -5.259067     0.952611            6      0
   -4.250685    -2.442150     0.071506            6      0
   -7.067603    -2.442150     0.071506            6      0
