# Atoms array:
     x           y            z                   Z     indx
   -5.267392    -3.658147     0.543897            6      0
   -6.532156    -4.056759     1.249702            6      1
   -7.979711    -5.999443     1.234597            8      2
   -6.819656    -3.604019     2.355338            8      3
   -7.548414    -4.988656    -0.733482            8      4
   -7.444186    -5.114165     0.525971            6      5
   -4.585660    -3.108220     1.208321            1      6
   -4.754648    -4.558630     0.153448            1      7
   -5.524779    -3.046605    -0.337555            1      8

# Gridpoints array:
     x           y            z                   Z     indx
   -3.227392    -3.658147     0.543897            6      0
   -5.267392    -1.618147     0.543897            6      0
   -5.267392    -5.698147     0.543897            6      0
   -5.267392    -3.658147     2.583897            6      0
   -5.267392    -3.658147    -1.496103            6      0
   -4.089597    -2.480352     1.721691            6      0
   -4.089597    -4.835941     1.721691            6      0
   -4.089597    -2.480352    -0.633898            6      0
   -6.445186    -2.480352    -0.633898            6      0
   -4.089597    -4.835941    -0.633898            6      0
   -4.889756    -3.280511     2.512750            6      0
   -4.889756    -4.035782     2.512750            6      0
   -4.889756    -3.280511    -1.424956            6      0
   -5.645027    -3.280511    -1.424956            6      0
   -4.889756    -4.035782    -1.424956            6      0
   -5.645027    -4.035782    -1.424956            6      0
   -4.889756    -1.689294     0.921533            6      0
   -5.645027    -1.689294     0.921533            6      0
   -4.889756    -5.627000     0.921533            6      0
   -5.645027    -5.627000     0.921533            6      0
   -4.889756    -1.689294     0.166261            6      0
   -5.645027    -1.689294     0.166261            6      0
   -4.889756    -5.627000     0.166261            6      0
   -5.645027    -5.627000     0.166261            6      0
   -3.298538    -3.280511     0.921533            6      0
   -3.298538    -4.035782     0.921533            6      0
   -3.298538    -3.280511     0.166261            6      0
   -3.298538    -4.035782     0.166261            6      0
   -3.858933    -2.249688     0.984450            6      0
   -6.675850    -2.249688     0.984450            6      0
   -3.858933    -5.066606     0.984450            6      0
   -3.858933    -2.249688     0.103344            6      0
   -6.675850    -2.249688     0.103344            6      0
   -3.858933    -5.066606     0.103344            6      0
   -3.858933    -3.217594     1.952356            6      0
   -3.858933    -4.098699     1.952356            6      0
   -3.858933    -3.217594    -0.864562            6      0
   -6.675850    -3.217594    -0.864562            6      0
   -3.858933    -4.098699    -0.864562            6      0
   -4.826839    -2.249688     1.952356            6      0
   -5.707944    -2.249688     1.952356            6      0
   -4.826839    -5.066606     1.952356            6      0
   -4.826839    -2.249688    -0.864562            6      0
   -5.707944    -2.249688    -0.864562            6      0
   -4.826839    -5.066606    -0.864562            6      0
   -5.707944    -5.066606    -0.864562            6      0
   -4.460185    -2.850940     2.234588            6      0
   -4.460185    -4.465353     2.234588            6      0
   -4.460185    -2.850940    -1.146794            6      0
   -6.074598    -2.850940    -1.146794            6      0
   -4.460185    -4.465353    -1.146794            6      0
   -6.074598    -4.465353    -1.146794            6      0
   -4.460185    -1.967456     1.351103            6      0
   -6.074598    -1.967456     1.351103            6      0
   -4.460185    -5.348837     1.351103            6      0
   -4.460185    -1.967456    -0.263310            6      0
   -6.074598    -1.967456    -0.263310            6      0
   -4.460185    -5.348837    -0.263310            6      0
   -3.576701    -2.850940     1.351103            6      0
   -3.576701    -4.465353     1.351103            6      0
   -3.576701    -2.850940    -0.263310            6      0
   -6.958082    -2.850940    -0.263310            6      0
   -3.576701    -4.465353    -0.263310            6      0
   -4.291519    -1.866702     0.543897            6      0
   -6.243264    -1.866702     0.543897            6      0
   -4.291519    -5.449591     0.543897            6      0
   -3.475947    -2.682274     0.543897            6      0
   -7.058836    -2.682274     0.543897            6      0
   -3.475947    -4.634019     0.543897            6      0
   -4.291519    -3.658147     2.335341            6      0
   -4.291519    -3.658147    -1.247547            6      0
   -6.243264    -3.658147    -1.247547            6      0
   -3.475947    -3.658147     1.519770            6      0
   -3.475947    -3.658147    -0.431976            6      0
   -5.267392    -2.682274     2.335341            6      0
   -5.267392    -4.634019     2.335341            6      0
   -5.267392    -2.682274    -1.247547            6      0
   -5.267392    -4.634019    -1.247547            6      0
   -5.267392    -1.866702     1.519770            6      0
   -5.267392    -5.449591     1.519770            6      0
   -5.267392    -1.866702    -0.431976            6      0
   -5.267392    -5.449591    -0.431976            6      0
   -8.572156    -4.056759     1.249702            6      1
   -6.532156    -2.016759     1.249702            6      1
   -5.354362    -2.878965     2.427497            6      1
   -5.354362    -5.234554     2.427497            6      1
   -7.709951    -5.234554     2.427497            6      1
   -7.709951    -2.878965     0.071907            6      1
   -6.154520    -4.434395     3.218555            6      1
   -6.909792    -3.679123    -0.719151            6      1
   -6.154520    -2.087906     1.627338            6      1
   -6.909792    -2.087906     1.627338            6      1
   -6.154520    -6.025612     1.627338            6      1
   -6.154520    -2.087906     0.872066            6      1
   -6.909792    -2.087906     0.872066            6      1
   -6.154520    -6.025612     0.872066            6      1
   -8.501009    -3.679123     1.627338            6      1
   -8.501009    -4.434395     1.627338            6      1
   -8.501009    -3.679123     0.872066            6      1
   -7.940615    -2.648300     1.690255            6      1
   -5.123697    -5.465218     1.690255            6      1
   -7.940615    -2.648300     0.809149            6      1
   -5.123697    -5.465218     0.809149            6      1
   -5.123697    -3.616206     2.658161            6      1
   -5.123697    -4.497312     2.658161            6      1
   -7.940615    -4.497312     2.658161            6      1
   -7.940615    -3.616206    -0.158757            6      1
   -6.091603    -5.465218     2.658161            6      1
   -6.972709    -5.465218     2.658161            6      1
   -6.972709    -2.648300    -0.158757            6      1
   -5.724950    -4.863966     2.940393            6      1
   -7.339363    -4.863966     2.940393            6      1
   -7.339363    -3.249553    -0.440989            6      1
   -5.724950    -4.863966    -0.440989            6      1
   -5.724950    -2.366068     2.056908            6      1
   -7.339363    -2.366068     2.056908            6      1
   -5.724950    -5.747450     2.056908            6      1
   -7.339363    -2.366068     0.442495            6      1
   -5.724950    -5.747450     0.442495            6      1
   -8.222847    -3.249553     2.056908            6      1
   -4.841466    -4.863966     2.056908            6      1
   -8.222847    -3.249553     0.442495            6      1
   -5.556284    -2.265315     1.249702            6      1
   -7.508029    -2.265315     1.249702            6      1
   -5.556284    -5.848203     1.249702            6      1
   -8.323601    -3.080886     1.249702            6      1
   -4.740712    -5.032632     1.249702            6      1
   -5.556284    -4.056759     3.041146            6      1
   -4.740712    -4.056759     2.225575            6      1
   -8.323601    -4.056759     2.225575            6      1
   -6.532156    -5.032632     3.041146            6      1
   -6.532156    -3.080886    -0.541742            6      1
   -6.532156    -2.265315     2.225575            6      1
   -6.532156    -5.848203     2.225575            6      1
   -6.532156    -2.265315     0.273829            6      1
   -9.803711    -5.999443     1.234597            8      2
   -7.979711    -7.823443     1.234597            8      2
   -7.979711    -5.999443     3.058597            8      2
   -9.032798    -4.946356     2.287684            8      2
   -6.926624    -7.052530     2.287684            8      2
   -9.032798    -7.052530     2.287684            8      2
   -9.032798    -4.946356     0.181510            8      2
   -6.926624    -7.052530     0.181510            8      2
   -9.032798    -7.052530     0.181510            8      2
   -7.642060    -5.661792     2.994983            8      2
   -8.317362    -5.661792     2.994983            8      2
   -7.642060    -6.337094     2.994983            8      2
   -8.317362    -6.337094     2.994983            8      2
   -8.317362    -6.337094    -0.525790            8      2
   -7.642060    -7.759829     1.572248            8      2
   -8.317362    -7.759829     1.572248            8      2
   -7.642060    -7.759829     0.896946            8      2
   -8.317362    -7.759829     0.896946            8      2
   -9.740097    -5.661792     1.572248            8      2
   -6.219325    -6.337094     1.572248            8      2
   -9.740097    -6.337094     1.572248            8      2
   -9.740097    -5.661792     0.896946            8      2
   -6.219325    -6.337094     0.896946            8      2
   -9.740097    -6.337094     0.896946            8      2
   -9.239039    -4.740115     1.628503            8      2
   -6.720383    -7.258771     1.628503            8      2
   -9.239039    -7.258771     1.628503            8      2
   -9.239039    -4.740115     0.840691            8      2
   -6.720383    -7.258771     0.840691            8      2
   -9.239039    -7.258771     0.840691            8      2
   -6.720383    -5.605537     2.493925            8      2
   -9.239039    -5.605537     2.493925            8      2
   -6.720383    -6.393349     2.493925            8      2
   -9.239039    -6.393349     2.493925            8      2
   -9.239039    -5.605537    -0.024731            8      2
   -9.239039    -6.393349    -0.024731            8      2
   -8.373617    -4.740115     2.493925            8      2
   -7.585805    -7.258771     2.493925            8      2
   -8.373617    -7.258771     2.493925            8      2
   -7.585805    -7.258771    -0.024731            8      2
   -8.373617    -7.258771    -0.024731            8      2
   -7.257974    -5.277705     2.746273            8      2
   -8.701449    -5.277705     2.746273            8      2
   -7.257974    -6.721181     2.746273            8      2
   -8.701449    -6.721181     2.746273            8      2
   -7.257974    -6.721181    -0.277080            8      2
   -8.701449    -6.721181    -0.277080            8      2
   -8.701449    -4.487766     1.956334            8      2
   -7.257974    -7.511119     1.956334            8      2
   -8.701449    -7.511119     1.956334            8      2
   -7.257974    -7.511119     0.512859            8      2
   -8.701449    -7.511119     0.512859            8      2
   -9.491388    -5.277705     1.956334            8      2
   -6.468035    -6.721181     1.956334            8      2
   -9.491388    -6.721181     1.956334            8      2
   -9.491388    -5.277705     0.512859            8      2
   -6.468035    -6.721181     0.512859            8      2
   -9.491388    -6.721181     0.512859            8      2
   -8.852256    -4.397681     1.234597            8      2
   -7.107166    -7.601205     1.234597            8      2
   -8.852256    -7.601205     1.234597            8      2
   -9.581473    -5.126898     1.234597            8      2
   -6.377949    -6.871988     1.234597            8      2
   -9.581473    -6.871988     1.234597            8      2
   -7.107166    -5.999443     2.836359            8      2
   -8.852256    -5.999443     2.836359            8      2
   -8.852256    -5.999443    -0.367165            8      2
   -6.377949    -5.999443     2.107142            8      2
   -9.581473    -5.999443     2.107142            8      2
   -9.581473    -5.999443     0.362052            8      2
