# Atoms array:
     x           y            z                   Z     indx
   -4.929471    -3.625904     0.855697           16      0
   -6.034550    -4.312498     1.134925            1      1

# Gridpoints array:
     x           y            z                   Z     indx
   -2.769471    -3.625904     0.855697           16      0
   -7.089471    -3.625904     0.855697           16      0
   -4.929471    -1.465904     0.855697           16      0
   -4.929471    -5.785904     0.855697           16      0
   -4.929471    -3.625904     3.015697           16      0
   -4.929471    -3.625904    -1.304303           16      0
   -3.682394    -2.378827     2.102774           16      0
   -6.176547    -2.378827     2.102774           16      0
   -3.682394    -4.872981     2.102774           16      0
   -6.176547    -4.872981     2.102774           16      0
   -3.682394    -2.378827    -0.391380           16      0
   -6.176547    -2.378827    -0.391380           16      0
   -3.682394    -4.872981    -0.391380           16      0
   -6.176547    -4.872981    -0.391380           16      0
   -4.529621    -3.226054     2.940365           16      0
   -5.329320    -3.226054     2.940365           16      0
   -4.529621    -4.025754     2.940365           16      0
   -5.329320    -4.025754     2.940365           16      0
   -4.529621    -3.226054    -1.228971           16      0
   -5.329320    -3.226054    -1.228971           16      0
   -4.529621    -4.025754    -1.228971           16      0
   -5.329320    -4.025754    -1.228971           16      0
   -4.529621    -1.541236     1.255547           16      0
   -5.329320    -1.541236     1.255547           16      0
   -4.529621    -5.710572     1.255547           16      0
   -5.329320    -5.710572     1.255547           16      0
   -4.529621    -1.541236     0.455847           16      0
   -5.329320    -1.541236     0.455847           16      0
   -4.529621    -5.710572     0.455847           16      0
   -5.329320    -5.710572     0.455847           16      0
   -2.844803    -3.226054     1.255547           16      0
   -7.014138    -3.226054     1.255547           16      0
   -2.844803    -4.025754     1.255547           16      0
   -7.014138    -4.025754     1.255547           16      0
   -2.844803    -3.226054     0.455847           16      0
   -7.014138    -3.226054     0.455847           16      0
   -2.844803    -4.025754     0.455847           16      0
   -7.014138    -4.025754     0.455847           16      0
   -3.438161    -2.134595     1.322165           16      0
   -6.420780    -2.134595     1.322165           16      0
   -3.438161    -5.117213     1.322165           16      0
   -6.420780    -5.117213     1.322165           16      0
   -3.438161    -2.134595     0.389229           16      0
   -6.420780    -2.134595     0.389229           16      0
   -3.438161    -5.117213     0.389229           16      0
   -6.420780    -5.117213     0.389229           16      0
   -3.438161    -3.159436     2.347006           16      0
   -6.420780    -3.159436     2.347006           16      0
   -3.438161    -4.092372     2.347006           16      0
   -6.420780    -4.092372     2.347006           16      0
   -3.438161    -3.159436    -0.635612           16      0
   -6.420780    -3.159436    -0.635612           16      0
   -3.438161    -4.092372    -0.635612           16      0
   -6.420780    -4.092372    -0.635612           16      0
   -4.463003    -2.134595     2.347006           16      0
   -5.395938    -2.134595     2.347006           16      0
   -4.463003    -5.117213     2.347006           16      0
   -5.395938    -5.117213     2.347006           16      0
   -4.463003    -2.134595    -0.635612           16      0
   -5.395938    -2.134595    -0.635612           16      0
   -4.463003    -5.117213    -0.635612           16      0
   -5.395938    -5.117213    -0.635612           16      0
   -4.074781    -2.771215     2.645840           16      0
   -5.784160    -2.771215     2.645840           16      0
   -4.074781    -4.480593     2.645840           16      0
   -5.784160    -4.480593     2.645840           16      0
   -4.074781    -2.771215    -0.934446           16      0
   -5.784160    -2.771215    -0.934446           16      0
   -4.074781    -4.480593    -0.934446           16      0
   -5.784160    -4.480593    -0.934446           16      0
   -4.074781    -1.835761     1.710386           16      0
   -5.784160    -1.835761     1.710386           16      0
   -4.074781    -5.416047     1.710386           16      0
   -5.784160    -5.416047     1.710386           16      0
   -4.074781    -1.835761     0.001008           16      0
   -5.784160    -1.835761     0.001008           16      0
   -4.074781    -5.416047     0.001008           16      0
   -5.784160    -5.416047     0.001008           16      0
   -3.139327    -2.771215     1.710386           16      0
   -6.719614    -2.771215     1.710386           16      0
   -3.139327    -4.480593     1.710386           16      0
   -6.719614    -4.480593     1.710386           16      0
   -3.139327    -2.771215     0.001008           16      0
   -6.719614    -2.771215     0.001008           16      0
   -3.139327    -4.480593     0.001008           16      0
   -6.719614    -4.480593     0.001008           16      0
   -3.896193    -1.729081     0.855697           16      0
   -5.962748    -1.729081     0.855697           16      0
   -3.896193    -5.522727     0.855697           16      0
   -5.962748    -5.522727     0.855697           16      0
   -3.032647    -2.592627     0.855697           16      0
   -6.826294    -2.592627     0.855697           16      0
   -3.032647    -4.659181     0.855697           16      0
   -6.826294    -4.659181     0.855697           16      0
   -3.896193    -3.625904     2.752520           16      0
   -5.962748    -3.625904     2.752520           16      0
   -3.896193    -3.625904    -1.041126           16      0
   -5.962748    -3.625904    -1.041126           16      0
   -3.032647    -3.625904     1.888974           16      0
   -6.826294    -3.625904     1.888974           16      0
   -3.032647    -3.625904    -0.177580           16      0
   -6.826294    -3.625904    -0.177580           16      0
   -4.929471    -2.592627     2.752520           16      0
   -4.929471    -4.659181     2.752520           16      0
   -4.929471    -2.592627    -1.041126           16      0
   -4.929471    -4.659181    -1.041126           16      0
   -4.929471    -1.729081     1.888974           16      0
   -4.929471    -5.522727     1.888974           16      0
   -4.929471    -1.729081    -0.177580           16      0
   -4.929471    -5.522727    -0.177580           16      0
   -7.354550    -4.312498     1.134925            1      1
   -6.034550    -5.632498     1.134925            1      1
   -6.034550    -4.312498     2.454925            1      1
   -6.796652    -3.550396     1.897027            1      1
   -5.272447    -5.074600     1.897027            1      1
   -6.796652    -5.074600     1.897027            1      1
   -6.796652    -3.550396     0.372823            1      1
   -6.796652    -5.074600     0.372823            1      1
   -6.278902    -4.068145     2.408889            1      1
   -5.790197    -4.556851     2.408889            1      1
   -6.278902    -4.556851     2.408889            1      1
   -6.278902    -4.556851    -0.139039            1      1
   -5.790197    -5.586462     1.379278            1      1
   -6.278902    -5.586462     1.379278            1      1
   -5.790197    -5.586462     0.890572            1      1
   -6.278902    -5.586462     0.890572            1      1
   -7.308513    -4.068145     1.379278            1      1
   -7.308513    -4.556851     1.379278            1      1
   -7.308513    -4.068145     0.890572            1      1
   -7.308513    -4.556851     0.890572            1      1
   -6.945905    -3.401142     1.419989            1      1
   -6.945905    -5.223854     1.419989            1      1
   -6.945905    -3.401142     0.849861            1      1
   -6.945905    -5.223854     0.849861            1      1
   -6.945905    -4.027434     2.046281            1      1
   -6.945905    -4.597562     2.046281            1      1
   -6.945905    -4.027434     0.223569            1      1
   -6.945905    -4.597562     0.223569            1      1
   -6.319613    -3.401142     2.046281            1      1
   -5.749486    -5.223854     2.046281            1      1
   -6.319613    -5.223854     2.046281            1      1
   -5.749486    -5.223854     0.223569            1      1
   -6.319613    -5.223854     0.223569            1      1
   -6.556860    -3.790188     2.228901            1      1
   -5.512239    -4.834808     2.228901            1      1
   -6.556860    -4.834808     2.228901            1      1
   -6.556860    -3.790188     0.040949            1      1
   -6.556860    -4.834808     0.040949            1      1
   -6.556860    -3.218522     1.657235            1      1
   -5.512239    -5.406474     1.657235            1      1
   -6.556860    -5.406474     1.657235            1      1
   -5.512239    -5.406474     0.612615            1      1
   -6.556860    -5.406474     0.612615            1      1
   -7.128526    -3.790188     1.657235            1      1
   -7.128526    -4.834808     1.657235            1      1
   -7.128526    -3.790188     0.612615            1      1
   -7.128526    -4.834808     0.612615            1      1
   -6.665997    -3.153328     1.134925            1      1
   -5.403102    -5.471668     1.134925            1      1
   -6.665997    -5.471668     1.134925            1      1
   -7.193719    -3.681051     1.134925            1      1
   -7.193719    -4.943945     1.134925            1      1
   -6.665997    -4.312498     2.294095            1      1
   -6.665997    -4.312498    -0.024245            1      1
   -7.193719    -4.312498     1.766372            1      1
