# Atoms array:
     x           y            z                   Z     indx
   -3.846648    -4.074910     1.871805            6      0
   -2.871424    -3.095172     2.590851            6      1
   -3.514755    -4.221570     0.830678            1      2
   -3.819002    -5.055329     2.375427            1      3
   -4.894459    -3.725466     1.855156            1      4
   -3.390210    -2.904572     4.046708            6      5
   -4.426767    -2.526663     4.102723            1      6
   -2.981365    -1.717105     1.872119            6      7
   -3.345642    -3.868172     4.580361            1      8
   -2.735376    -2.194050     4.577665            1      9
   -1.583929    -3.566880     2.575997            8     10
   -4.004872    -1.301751     1.861586            1     11
   -2.319539    -0.990693     2.372003            1     12
   -2.641267    -1.819837     0.828255            1     13

# Gridpoints array:
     x           y            z                   Z     indx
   -5.886648    -4.074910     1.871805            6      0
   -3.846648    -6.114910     1.871805            6      0
   -3.846648    -4.074910    -0.168195            6      0
   -5.024442    -2.897116     3.049600            6      0
   -2.668853    -5.252705     3.049600            6      0
   -5.024442    -5.252705     3.049600            6      0
   -2.668853    -2.897116     0.694011            6      0
   -5.024442    -2.897116     0.694011            6      0
   -2.668853    -5.252705     0.694011            6      0
   -5.024442    -5.252705     0.694011            6      0
   -4.224284    -4.452546     3.840658            6      0
   -3.469012    -3.697274    -0.097048            6      0
   -4.224284    -3.697274    -0.097048            6      0
   -3.469012    -4.452546    -0.097048            6      0
   -4.224284    -4.452546    -0.097048            6      0
   -3.469012    -6.043763     2.249441            6      0
   -4.224284    -6.043763     2.249441            6      0
   -3.469012    -6.043763     1.494169            6      0
   -4.224284    -6.043763     1.494169            6      0
   -5.815501    -3.697274     2.249441            6      0
   -5.815501    -4.452546     2.249441            6      0
   -5.815501    -3.697274     1.494169            6      0
   -1.877795    -4.452546     1.494169            6      0
   -5.815501    -4.452546     1.494169            6      0
   -5.255107    -2.666451     2.312358            6      0
   -2.438189    -5.483369     2.312358            6      0
   -5.255107    -5.483369     2.312358            6      0
   -5.255107    -2.666451     1.431252            6      0
   -2.438189    -5.483369     1.431252            6      0
   -5.255107    -5.483369     1.431252            6      0
   -5.255107    -3.634357     3.280264            6      0
   -5.255107    -4.515463     3.280264            6      0
   -2.438189    -3.634357     0.463346            6      0
   -5.255107    -3.634357     0.463346            6      0
   -2.438189    -4.515463     0.463346            6      0
   -5.255107    -4.515463     0.463346            6      0
   -3.406095    -5.483369     3.280264            6      0
   -4.287201    -5.483369     3.280264            6      0
   -3.406095    -2.666451     0.463346            6      0
   -4.287201    -2.666451     0.463346            6      0
   -3.406095    -5.483369     0.463346            6      0
   -4.287201    -5.483369     0.463346            6      0
   -3.039441    -4.882117     3.562496            6      0
   -4.653854    -4.882117     3.562496            6      0
   -3.039441    -3.267704     0.181114            6      0
   -4.653854    -3.267704     0.181114            6      0
   -3.039441    -4.882117     0.181114            6      0
   -4.653854    -4.882117     0.181114            6      0
   -4.653854    -2.384219     2.679012            6      0
   -3.039441    -5.765601     2.679012            6      0
   -4.653854    -5.765601     2.679012            6      0
   -4.653854    -2.384219     1.064599            6      0
   -3.039441    -5.765601     1.064599            6      0
   -4.653854    -5.765601     1.064599            6      0
   -5.537339    -3.267704     2.679012            6      0
   -2.155957    -4.882117     2.679012            6      0
   -5.537339    -4.882117     2.679012            6      0
   -2.155957    -3.267704     1.064599            6      0
   -5.537339    -3.267704     1.064599            6      0
   -2.155957    -4.882117     1.064599            6      0
   -5.537339    -4.882117     1.064599            6      0
   -4.822521    -2.283466     1.871805            6      0
   -2.870775    -5.866354     1.871805            6      0
   -4.822521    -5.866354     1.871805            6      0
   -5.638092    -3.099037     1.871805            6      0
   -2.055204    -5.050783     1.871805            6      0
   -5.638092    -5.050783     1.871805            6      0
   -4.822521    -4.074910     3.663249            6      0
   -2.870775    -4.074910     0.080361            6      0
   -4.822521    -4.074910     0.080361            6      0
   -5.638092    -4.074910     2.847678            6      0
   -2.055204    -4.074910     0.895932            6      0
   -5.638092    -4.074910     0.895932            6      0
   -3.846648    -5.050783     3.663249            6      0
   -3.846648    -3.099037     0.080361            6      0
   -3.846648    -5.050783     0.080361            6      0
   -3.846648    -5.866354     2.847678            6      0
   -3.846648    -5.866354     0.895932            6      0
   -2.871424    -3.095172     0.550851            6      1
   -1.693630    -1.917378     3.768645            6      1
   -1.693630    -4.272967     3.768645            6      1
   -1.693630    -4.272967     1.413056            6      1
   -2.493788    -3.472808     0.621998            6      1
   -2.493788    -5.064025     2.968487            6      1
   -2.493788    -5.064025     2.213215            6      1
   -4.840277    -2.717536     2.968487            6      1
   -4.840277    -2.717536     2.213215            6      1
   -1.462965    -1.686713     3.031404            6      1
   -4.279883    -1.686713     3.031404            6      1
   -1.462965    -2.654619     3.999310            6      1
   -1.462965    -3.535725     3.999310            6      1
   -1.462965    -2.654619     1.182392            6      1
   -1.462965    -3.535725     1.182392            6      1
   -2.430871    -4.503631     3.999310            6      1
   -2.430871    -4.503631     1.182392            6      1
   -2.064218    -3.902379     4.281542            6      1
