# Atoms array:
     x           y            z                   Z     indx
   -3.230487    -2.273536     0.631911            6      0
   -2.713909    -3.147357    -0.325875            6      1
   -3.398342    -4.319907    -0.670275            6      2
   -4.614001    -4.595910    -0.031617            6      3
   -5.131906    -3.723034     0.926392            6      4
   -1.763188    -2.908514    -0.809764            1      5
   -4.458375    -2.530303     1.293034            6      6
   -2.993136    -5.002748    -1.418833            1      7
   -2.681481    -1.363688     0.886571            1      8
   -6.081757    -3.956558     1.413527            1      9
   -5.109602    -1.431637     2.497959           16     10
   -5.167411    -5.504676    -0.282425            1     11

# Gridpoints array:
     x           y            z                   Z     indx
   -1.190487    -2.273536     0.631911            6      0
   -3.230487    -0.233536     0.631911            6      0
   -3.230487    -2.273536     2.671911            6      0
   -2.052692    -1.095742     1.809706            6      0
   -2.052692    -3.451331     1.809706            6      0
   -2.052692    -1.095742    -0.545883            6      0
   -4.408281    -1.095742    -0.545883            6      0
   -2.852851    -1.895900     2.600764            6      0
   -2.852851    -2.651172     2.600764            6      0
   -2.852851    -1.895900    -1.336942            6      0
   -3.608123    -1.895900    -1.336942            6      0
   -2.852851    -0.304683     1.009547            6      0
   -3.608123    -0.304683     1.009547            6      0
   -2.852851    -4.242389     1.009547            6      0
   -2.852851    -0.304683     0.254275            6      0
   -3.608123    -0.304683     0.254275            6      0
   -1.261634    -1.895900     1.009547            6      0
   -1.261634    -2.651172     1.009547            6      0
   -1.261634    -1.895900     0.254275            6      0
   -1.261634    -2.651172     0.254275            6      0
   -1.822028    -0.865077     1.072464            6      0
   -1.822028    -3.681995     1.072464            6      0
   -1.822028    -0.865077     0.191358            6      0
   -4.638946    -0.865077     0.191358            6      0
   -1.822028    -1.832983     2.040370            6      0
   -1.822028    -2.714089     2.040370            6      0
   -1.822028    -1.832983    -0.776548            6      0
   -4.638946    -1.832983    -0.776548            6      0
   -4.638946    -2.714089    -0.776548            6      0
   -2.789934    -0.865077     2.040370            6      0
   -2.789934    -3.681995     2.040370            6      0
   -3.671040    -3.681995     2.040370            6      0
   -2.789934    -0.865077    -0.776548            6      0
   -3.671040    -0.865077    -0.776548            6      0
   -2.423280    -1.466330     2.322602            6      0
   -2.423280    -3.080743     2.322602            6      0
   -2.423280    -1.466330    -1.058780            6      0
   -4.037693    -1.466330    -1.058780            6      0
   -2.423280    -0.582846     1.439118            6      0
   -4.037693    -0.582846     1.439118            6      0
   -2.423280    -3.964227     1.439118            6      0
   -2.423280    -0.582846    -0.175295            6      0
   -4.037693    -0.582846    -0.175295            6      0
   -1.539796    -1.466330     1.439118            6      0
   -1.539796    -3.080743     1.439118            6      0
   -1.539796    -1.466330    -0.175295            6      0
   -4.921177    -1.466330    -0.175295            6      0
   -2.254614    -0.482092     0.631911            6      0
   -4.206360    -0.482092     0.631911            6      0
   -1.439042    -1.297663     0.631911            6      0
   -1.439042    -3.249409     0.631911            6      0
   -2.254614    -2.273536     2.423355            6      0
   -4.206360    -2.273536    -1.159533            6      0
   -1.439042    -2.273536     1.607784            6      0
   -5.021931    -2.273536    -0.343962            6      0
   -3.230487    -1.297663     2.423355            6      0
   -3.230487    -3.249409     2.423355            6      0
   -3.230487    -1.297663    -1.159533            6      0
   -3.230487    -0.482092     1.607784            6      0
   -3.230487    -4.064980     1.607784            6      0
   -3.230487    -0.482092    -0.343962            6      0
   -0.673909    -3.147357    -0.325875            6      1
   -2.713909    -3.147357    -2.365875            6      1
   -1.536114    -1.969562     0.851919            6      1
   -1.536114    -4.325151     0.851919            6      1
   -1.536114    -1.969562    -1.503670            6      1
   -3.891703    -1.969562    -1.503670            6      1
   -1.536114    -4.325151    -1.503670            6      1
   -2.336273    -3.524993     1.642978            6      1
   -2.336273    -2.769721    -2.294728            6      1
   -3.091545    -2.769721    -2.294728            6      1
   -2.336273    -3.524993    -2.294728            6      1
   -3.091545    -3.524993    -2.294728            6      1
   -2.336273    -1.178504    -0.703511            6      1
   -3.091545    -1.178504    -0.703511            6      1
   -0.745056    -2.769721     0.051761            6      1
   -0.745056    -3.524993     0.051761            6      1
   -0.745056    -2.769721    -0.703511            6      1
   -4.682762    -2.769721    -0.703511            6      1
   -0.745056    -3.524993    -0.703511            6      1
   -1.305450    -1.738898     0.114678            6      1
   -1.305450    -4.555816     0.114678            6      1
   -1.305450    -1.738898    -0.766428            6      1
   -4.122368    -1.738898    -0.766428            6      1
   -1.305450    -4.555816    -0.766428            6      1
   -1.305450    -2.706804     1.082584            6      1
   -1.305450    -3.587910     1.082584            6      1
   -1.305450    -2.706804    -1.734334            6      1
   -4.122368    -2.706804    -1.734334            6      1
   -1.305450    -3.587910    -1.734334            6      1
   -2.273356    -4.555816     1.082584            6      1
   -3.154462    -4.555816     1.082584            6      1
   -2.273356    -1.738898    -1.734334            6      1
   -3.154462    -1.738898    -1.734334            6      1
   -1.906702    -3.954563     1.364815            6      1
   -1.906702    -2.340150    -2.016566            6      1
   -3.521115    -2.340150    -2.016566            6      1
   -1.906702    -3.954563    -2.016566            6      1
   -1.906702    -4.838048     0.481331            6      1
   -1.906702    -1.456666    -1.133082            6      1
   -3.521115    -1.456666    -1.133082            6      1
   -1.906702    -4.838048    -1.133082            6      1
   -1.023218    -2.340150     0.481331            6      1
   -1.023218    -3.954563     0.481331            6      1
   -1.023218    -2.340150    -1.133082            6      1
   -4.404600    -2.340150    -1.133082            6      1
   -1.023218    -3.954563    -1.133082            6      1
   -1.738036    -1.355913    -0.325875            6      1
   -1.738036    -4.938801    -0.325875            6      1
   -0.922465    -2.171484    -0.325875            6      1
   -0.922465    -4.123230    -0.325875            6      1
   -1.738036    -3.147357     1.465569            6      1
   -1.738036    -3.147357    -2.117319            6      1
   -3.689782    -3.147357    -2.117319            6      1
   -0.922465    -3.147357     0.649998            6      1
   -0.922465    -3.147357    -1.301748            6      1
   -4.505353    -3.147357    -1.301748            6      1
   -2.713909    -4.123230     1.465569            6      1
   -2.713909    -2.171484    -2.117319            6      1
   -2.713909    -4.123230    -2.117319            6      1
   -2.713909    -4.938801     0.649998            6      1
   -2.713909    -1.355913    -1.301748            6      1
   -1.358342    -4.319907    -0.670275            6      2
   -3.398342    -6.359907    -0.670275            6      2
   -3.398342    -4.319907     1.369725            6      2
   -3.398342    -4.319907    -2.710275            6      2
   -2.220547    -5.497702     0.507520            6      2
   -2.220547    -3.142113    -1.848070            6      2
   -4.576136    -3.142113    -1.848070            6      2
   -2.220547    -5.497702    -1.848070            6      2
   -4.576136    -5.497702    -1.848070            6      2
   -3.020706    -3.942272     1.298578            6      2
   -3.020706    -4.697543     1.298578            6      2
   -3.020706    -3.942272    -2.639128            6      2
   -3.775978    -3.942272    -2.639128            6      2
   -3.020706    -4.697543    -2.639128            6      2
   -3.775978    -4.697543    -2.639128            6      2
   -3.020706    -6.288760    -0.292639            6      2
   -3.775978    -6.288760    -0.292639            6      2
   -3.020706    -6.288760    -1.047911            6      2
   -3.775978    -6.288760    -1.047911            6      2
   -1.429489    -4.697543    -0.292639            6      2
   -1.429489    -3.942272    -1.047911            6      2
   -1.429489    -4.697543    -1.047911            6      2
   -1.989883    -5.728366    -0.229722            6      2
   -4.806801    -2.911448    -1.110828            6      2
   -1.989883    -5.728366    -1.110828            6      2
   -1.989883    -4.760460     0.738184            6      2
   -1.989883    -3.879355    -2.078734            6      2
   -4.806801    -3.879355    -2.078734            6      2
   -1.989883    -4.760460    -2.078734            6      2
   -4.806801    -4.760460    -2.078734            6      2
   -2.957789    -5.728366     0.738184            6      2
   -3.838895    -5.728366     0.738184            6      2
   -2.957789    -2.911448    -2.078734            6      2
   -3.838895    -2.911448    -2.078734            6      2
   -2.957789    -5.728366    -2.078734            6      2
