# Atoms array:
     x           y            z                   Z     indx
   -1.137677    -0.729160     0.645372            6      0
   -3.024197     2.112321    -0.219611            6      1
   -2.008861    -1.615354     0.198531            9      2
    0.004067    -0.774841    -0.014716            9      3
   -0.963388    -0.814717     1.950633            9      4
   -3.533882     2.077490     0.803615            8      5
   -2.507148     2.137308    -1.239404            8      6

# Gridpoints array:
     x           y            z                   Z     indx
   -3.177677    -0.729160     0.645372            6      0
   -1.137677     1.310840     0.645372            6      0
   -1.137677    -2.769160     0.645372            6      0
   -1.137677    -0.729160    -1.394628            6      0
    0.040118     0.448634     1.823167            6      0
   -2.315471     0.448634     1.823167            6      0
    0.040118    -1.906955     1.823167            6      0
   -2.315471    -1.906955     1.823167            6      0
    0.040118     0.448634    -0.532422            6      0
   -2.315471     0.448634    -0.532422            6      0
    0.040118    -1.906955    -0.532422            6      0
   -0.760041    -0.351524    -1.323481            6      0
   -1.515312    -0.351524    -1.323481            6      0
   -0.760041    -1.106796    -1.323481            6      0
   -1.515312    -1.106796    -1.323481            6      0
   -0.760041     1.239693     1.023008            6      0
   -1.515312     1.239693     1.023008            6      0
   -0.760041    -2.698013     1.023008            6      0
   -1.515312    -2.698013     1.023008            6      0
   -0.760041     1.239693     0.267736            6      0
   -1.515312     1.239693     0.267736            6      0
   -0.760041    -2.698013     0.267736            6      0
    0.831176    -0.351524     1.023008            6      0
   -3.106530    -0.351524     1.023008            6      0
    0.831176    -1.106796     1.023008            6      0
   -3.106530    -1.106796     1.023008            6      0
   -3.106530    -0.351524     0.267736            6      0
    0.270782     0.679299     1.085925            6      0
   -2.546136     0.679299     1.085925            6      0
    0.270782    -2.137619     1.085925            6      0
    0.270782     0.679299     0.204819            6      0
   -2.546136     0.679299     0.204819            6      0
    0.270782    -2.137619     0.204819            6      0
    0.270782    -0.288607     2.053831            6      0
   -2.546136    -0.288607     2.053831            6      0
    0.270782    -1.169713     2.053831            6      0
   -2.546136    -1.169713     2.053831            6      0
   -2.546136    -0.288607    -0.763087            6      0
   -0.697124     0.679299     2.053831            6      0
   -1.578229     0.679299     2.053831            6      0
   -0.697124    -2.137619     2.053831            6      0
   -1.578229    -2.137619     2.053831            6      0
   -0.697124     0.679299    -0.763087            6      0
   -1.578229     0.679299    -0.763087            6      0
   -0.697124    -2.137619    -0.763087            6      0
   -1.944883     0.078046     2.336063            6      0
   -1.944883    -1.536367     2.336063            6      0
   -0.330470     0.078046    -1.045319            6      0
   -1.944883     0.078046    -1.045319            6      0
   -0.330470    -1.536367    -1.045319            6      0
   -1.944883    -1.536367    -1.045319            6      0
   -0.330470     0.961531     1.452579            6      0
   -1.944883     0.961531     1.452579            6      0
   -0.330470    -2.419851     1.452579            6      0
   -1.944883    -2.419851     1.452579            6      0
   -0.330470     0.961531    -0.161834            6      0
   -1.944883     0.961531    -0.161834            6      0
   -0.330470    -2.419851    -0.161834            6      0
    0.553014     0.078046     1.452579            6      0
   -2.828367     0.078046     1.452579            6      0
    0.553014    -1.536367     1.452579            6      0
   -2.828367    -1.536367     1.452579            6      0
   -2.828367     0.078046    -0.161834            6      0
   -0.161804     1.062284     0.645372            6      0
   -2.113549     1.062284     0.645372            6      0
   -0.161804    -2.520604     0.645372            6      0
    0.653768     0.246713     0.645372            6      0
   -2.929121     0.246713     0.645372            6      0
    0.653768    -1.705033     0.645372            6      0
   -2.113549    -0.729160     2.436816            6      0
   -2.113549    -0.729160    -1.146072            6      0
    0.653768    -0.729160     1.621245            6      0
   -2.929121    -0.729160     1.621245            6      0
   -2.929121    -0.729160    -0.330501            6      0
   -1.137677     0.246713    -1.146072            6      0
   -1.137677    -1.705033    -1.146072            6      0
   -1.137677     1.062284     1.621245            6      0
   -1.137677    -2.520604     1.621245            6      0
   -1.137677     1.062284    -0.330501            6      0
   -1.137677    -2.520604    -0.330501            6      0
   -0.984197     2.112321    -0.219611            6      1
   -5.064197     2.112321    -0.219611            6      1
   -3.024197     4.152321    -0.219611            6      1
   -3.024197     0.072321    -0.219611            6      1
   -1.846402     3.290116     0.958184            6      1
   -4.201991     3.290116     0.958184            6      1
   -1.846402     0.934527     0.958184            6      1
   -4.201991     0.934527     0.958184            6      1
   -1.846402     3.290116    -1.397405            6      1
   -4.201991     3.290116    -1.397405            6      1
   -1.846402     0.934527    -1.397405            6      1
   -4.201991     0.934527    -1.397405            6      1
   -2.646561     2.489957     1.749242            6      1
   -2.646561     1.734685     1.749242            6      1
   -3.401833     2.489957    -2.188464            6      1
   -3.401833     1.734685    -2.188464            6      1
   -2.646561     4.081174     0.158025            6      1
   -3.401833     4.081174     0.158025            6      1
   -2.646561     0.143468     0.158025            6      1
   -3.401833     0.143468     0.158025            6      1
   -2.646561     4.081174    -0.597247            6      1
   -3.401833     4.081174    -0.597247            6      1
   -2.646561     0.143468    -0.597247            6      1
   -3.401833     0.143468    -0.597247            6      1
   -1.055344     2.489957     0.158025            6      1
   -4.993050     2.489957     0.158025            6      1
   -1.055344     1.734685     0.158025            6      1
   -4.993050     1.734685     0.158025            6      1
   -1.055344     2.489957    -0.597247            6      1
   -4.993050     2.489957    -0.597247            6      1
   -1.055344     1.734685    -0.597247            6      1
   -4.993050     1.734685    -0.597247            6      1
   -1.615738     3.520780     0.220942            6      1
   -4.432656     3.520780     0.220942            6      1
   -1.615738     0.703862     0.220942            6      1
   -4.432656     0.703862     0.220942            6      1
   -1.615738     3.520780    -0.660164            6      1
   -4.432656     3.520780    -0.660164            6      1
   -1.615738     0.703862    -0.660164            6      1
   -4.432656     0.703862    -0.660164            6      1
   -1.615738     2.552874     1.188848            6      1
   -1.615738     1.671768     1.188848            6      1
   -4.432656     2.552874    -1.628070            6      1
   -4.432656     1.671768    -1.628070            6      1
   -2.583644     3.520780     1.188848            6      1
   -3.464750     3.520780     1.188848            6      1
   -2.583644     0.703862     1.188848            6      1
   -3.464750     0.703862     1.188848            6      1
   -2.583644     3.520780    -1.628070            6      1
   -3.464750     3.520780    -1.628070            6      1
   -2.583644     0.703862    -1.628070            6      1
   -3.464750     0.703862    -1.628070            6      1
   -2.216990     2.919528     1.471080            6      1
   -2.216990     1.305115     1.471080            6      1
   -3.831403     2.919528    -1.910302            6      1
   -3.831403     1.305115    -1.910302            6      1
   -2.216990     3.803012     0.587596            6      1
   -3.831403     3.803012     0.587596            6      1
   -2.216990     0.421630     0.587596            6      1
   -3.831403     0.421630     0.587596            6      1
   -2.216990     3.803012    -1.026817            6      1
   -3.831403     3.803012    -1.026817            6      1
   -2.216990     0.421630    -1.026817            6      1
   -3.831403     0.421630    -1.026817            6      1
   -1.333506     2.919528     0.587596            6      1
   -4.714887     2.919528     0.587596            6      1
   -1.333506     1.305115     0.587596            6      1
   -4.714887     1.305115     0.587596            6      1
   -1.333506     2.919528    -1.026817            6      1
   -4.714887     2.919528    -1.026817            6      1
   -1.333506     1.305115    -1.026817            6      1
   -4.714887     1.305115    -1.026817            6      1
   -2.048324     3.903765    -0.219611            6      1
   -4.000070     3.903765    -0.219611            6      1
   -2.048324     0.320877    -0.219611            6      1
   -4.000070     0.320877    -0.219611            6      1
   -1.232753     3.088194    -0.219611            6      1
   -4.815641     3.088194    -0.219611            6      1
   -1.232753     1.136448    -0.219611            6      1
   -4.815641     1.136448    -0.219611            6      1
   -2.048324     2.112321     1.571833            6      1
   -4.000070     2.112321    -2.011055            6      1
   -1.232753     2.112321     0.756262            6      1
   -4.815641     2.112321    -1.195484            6      1
   -3.024197     3.088194     1.571833            6      1
   -3.024197     1.136448     1.571833            6      1
   -3.024197     3.088194    -2.011055            6      1
   -3.024197     1.136448    -2.011055            6      1
   -3.024197     3.903765     0.756262            6      1
   -3.024197     0.320877     0.756262            6      1
   -3.024197     3.903765    -1.195484            6      1
   -3.024197     0.320877    -1.195484            6      1
   -3.772861    -1.615354     0.198531            9      2
   -2.008861    -3.379354     0.198531            9      2
   -2.008861    -1.615354    -1.565469            9      2
   -3.027306    -0.596909     1.216976            9      2
   -0.990415    -2.633800     1.216976            9      2
   -3.027306    -2.633800     1.216976            9      2
   -3.027306    -0.596909    -0.819915            9      2
   -0.990415    -2.633800    -0.819915            9      2
   -3.027306    -2.633800    -0.819915            9      2
   -2.335405    -1.288810     1.901009            9      2
   -2.335405    -1.941898     1.901009            9      2
   -1.682317    -1.288810    -1.503948            9      2
   -2.335405    -1.288810    -1.503948            9      2
   -1.682317    -1.941898    -1.503948            9      2
   -2.335405    -1.941898    -1.503948            9      2
   -1.682317    -3.317833     0.525075            9      2
   -2.335405    -3.317833     0.525075            9      2
   -2.335405     0.087124    -0.128013            9      2
   -1.682317    -3.317833    -0.128013            9      2
   -2.335405    -3.317833    -0.128013            9      2
   -3.711339    -1.288810     0.525075            9      2
   -3.711339    -1.941898     0.525075            9      2
   -3.711339    -1.288810    -0.128013            9      2
   -3.711339    -1.941898    -0.128013            9      2
   -3.226763    -0.397452     0.579479            9      2
   -0.790958    -2.833257     0.579479            9      2
   -3.226763    -2.833257     0.579479            9      2
   -3.226763    -0.397452    -0.182418            9      2
   -0.790958    -2.833257    -0.182418            9      2
   -3.226763    -2.833257    -0.182418            9      2
   -3.226763    -1.234406     1.416433            9      2
   -3.226763    -1.996303     1.416433            9      2
   -3.226763    -1.234406    -1.019372            9      2
   -0.790958    -1.996303    -1.019372            9      2
   -3.226763    -1.996303    -1.019372            9      2
   -1.627912    -2.833257     1.416433            9      2
   -2.389809    -2.833257     1.416433            9      2
   -1.627912    -0.397452    -1.019372            9      2
   -2.389809    -0.397452    -1.019372            9      2
   -1.627912    -2.833257    -1.019372            9      2
   -2.389809    -2.833257    -1.019372            9      2
   -2.706857    -0.917358     1.660481            9      2
   -1.310864    -2.313351     1.660481            9      2
   -2.706857    -2.313351     1.660481            9      2
   -1.310864    -0.917358    -1.263420            9      2
   -2.706857    -0.917358    -1.263420            9      2
   -1.310864    -2.313351    -1.263420            9      2
   -2.706857    -2.313351    -1.263420            9      2
   -2.706857    -0.153404     0.896527            9      2
   -1.310864    -3.077305     0.896527            9      2
   -2.706857    -3.077305     0.896527            9      2
   -2.706857    -0.153404    -0.499466            9      2
   -1.310864    -3.077305    -0.499466            9      2
   -2.706857    -3.077305    -0.499466            9      2
   -3.470811    -0.917358     0.896527            9      2
   -0.546910    -2.313351     0.896527            9      2
   -3.470811    -2.313351     0.896527            9      2
   -3.470811    -0.917358    -0.499466            9      2
   -0.546910    -2.313351    -0.499466            9      2
   -3.470811    -2.313351    -0.499466            9      2
   -2.852704    -0.066282     0.198531            9      2
   -1.165018    -3.164427     0.198531            9      2
   -2.852704    -3.164427     0.198531            9      2
   -3.557933    -0.771511     0.198531            9      2
   -0.459788    -2.459197     0.198531            9      2
   -3.557933    -2.459197     0.198531            9      2
   -2.852704    -1.615354     1.747603            9      2
   -1.165018    -1.615354    -1.350542            9      2
   -2.852704    -1.615354    -1.350542            9      2
   -3.557933    -1.615354     1.042374            9      2
   -3.557933    -1.615354    -0.645312            9      2
   -2.008861    -2.459197     1.747603            9      2
   -2.008861    -0.771511    -1.350542            9      2
   -2.008861    -2.459197    -1.350542            9      2
   -2.008861    -3.164427     1.042374            9      2
   -2.008861    -0.066282    -0.645312            9      2
   -2.008861    -3.164427    -0.645312            9      2
    1.768067    -0.774841    -0.014716            9      3
    0.004067     0.989159    -0.014716            9      3
    0.004067    -2.538841    -0.014716            9      3
    0.004067    -0.774841    -1.778716            9      3
    1.022513     0.243605     1.003730            9      3
    1.022513    -1.793287     1.003730            9      3
    1.022513     0.243605    -1.033162            9      3
   -1.014379     0.243605    -1.033162            9      3
    1.022513    -1.793287    -1.033162            9      3
   -1.014379    -1.793287    -1.033162            9      3
    0.330611    -0.448297    -1.717195            9      3
   -0.322477    -0.448297    -1.717195            9      3
    0.330611    -1.101385    -1.717195            9      3
   -0.322477    -1.101385    -1.717195            9      3
    0.330611     0.927638     0.311828            9      3
   -0.322477     0.927638     0.311828            9      3
    0.330611    -2.477320     0.311828            9      3
   -0.322477    -2.477320     0.311828            9      3
    0.330611     0.927638    -0.341260            9      3
   -0.322477     0.927638    -0.341260            9      3
    0.330611    -2.477320    -0.341260            9      3
   -0.322477    -2.477320    -0.341260            9      3
    1.706546    -0.448297     0.311828            9      3
    1.706546    -1.101385     0.311828            9      3
    1.706546    -0.448297    -0.341260            9      3
    1.706546    -1.101385    -0.341260            9      3
    1.221970     0.443062     0.366233            9      3
    1.221970    -1.992744     0.366233            9      3
    1.221970     0.443062    -0.395665            9      3
    1.221970    -1.992744    -0.395665            9      3
    1.221970    -0.393892     1.203187            9      3
    1.221970    -1.155789     1.203187            9      3
    1.221970    -0.393892    -1.232619            9      3
   -1.213836    -0.393892    -1.232619            9      3
    1.221970    -1.155789    -1.232619            9      3
   -1.213836    -1.155789    -1.232619            9      3
    0.385016     0.443062     1.203187            9      3
    0.385016    -1.992744     1.203187            9      3
    0.385016     0.443062    -1.232619            9      3
   -0.376882     0.443062    -1.232619            9      3
    0.385016    -1.992744    -1.232619            9      3
   -0.376882    -1.992744    -1.232619            9      3
    0.702063    -0.076845     1.447234            9      3
    0.702063    -1.472837     1.447234            9      3
    0.702063    -0.076845    -1.476666            9      3
   -0.693929    -0.076845    -1.476666            9      3
    0.702063    -1.472837    -1.476666            9      3
   -0.693929    -1.472837    -1.476666            9      3
    0.702063     0.687109     0.683280            9      3
    0.702063    -2.236791     0.683280            9      3
    0.702063     0.687109    -0.712712            9      3
   -0.693929     0.687109    -0.712712            9      3
    0.702063    -2.236791    -0.712712            9      3
   -0.693929    -2.236791    -0.712712            9      3
    1.466017    -0.076845     0.683280            9      3
    1.466017    -1.472837     0.683280            9      3
    1.466017    -0.076845    -0.712712            9      3
    1.466017    -1.472837    -0.712712            9      3
    0.847910     0.774232    -0.014716            9      3
   -0.839776     0.774232    -0.014716            9      3
    0.847910    -2.323913    -0.014716            9      3
    1.553139     0.069002    -0.014716            9      3
    1.553139    -1.618684    -0.014716            9      3
    0.847910    -0.774841     1.534356            9      3
    0.847910    -0.774841    -1.563788            9      3
   -0.839776    -0.774841    -1.563788            9      3
    1.553139    -0.774841     0.829127            9      3
    1.553139    -0.774841    -0.858559            9      3
    0.004067     0.069002    -1.563788            9      3
    0.004067    -1.618684    -1.563788            9      3
    0.004067     0.774232     0.829127            9      3
    0.004067    -2.323913     0.829127            9      3
    0.004067     0.774232    -0.858559            9      3
    0.004067    -2.323913    -0.858559            9      3
    0.800612    -0.814717     1.950633            9      4
   -2.727388    -0.814717     1.950633            9      4
   -0.963388     0.949283     1.950633            9      4
   -0.963388    -2.578717     1.950633            9      4
   -0.963388    -0.814717     3.714633            9      4
    0.055058     0.203729     2.969079            9      4
   -1.981833     0.203729     2.969079            9      4
    0.055058    -1.833163     2.969079            9      4
   -1.981833    -1.833163     2.969079            9      4
   -0.636844    -0.488173     3.653112            9      4
   -1.289932    -0.488173     3.653112            9      4
   -0.636844    -1.141261     3.653112            9      4
   -1.289932    -1.141261     3.653112            9      4
   -0.636844     0.887762     2.277177            9      4
   -1.289932     0.887762     2.277177            9      4
   -0.636844    -2.517196     2.277177            9      4
   -1.289932    -2.517196     2.277177            9      4
   -0.636844     0.887762     1.624089            9      4
   -1.289932     0.887762     1.624089            9      4
   -0.636844    -2.517196     1.624089            9      4
   -1.289932    -2.517196     1.624089            9      4
    0.739091    -0.488173     2.277177            9      4
   -2.665866    -0.488173     2.277177            9      4
    0.739091    -1.141261     2.277177            9      4
   -2.665866    -1.141261     2.277177            9      4
    0.739091    -0.488173     1.624089            9      4
   -2.665866    -0.488173     1.624089            9      4
    0.739091    -1.141261     1.624089            9      4
   -2.665866    -1.141261     1.624089            9      4
    0.254515     0.403186     2.331582            9      4
   -2.181290     0.403186     2.331582            9      4
    0.254515    -2.032620     2.331582            9      4
   -2.181290    -2.032620     2.331582            9      4
    0.254515     0.403186     1.569684            9      4
   -2.181290     0.403186     1.569684            9      4
    0.254515    -2.032620     1.569684            9      4
   -2.181290    -2.032620     1.569684            9      4
    0.254515    -0.433769     3.168536            9      4
   -2.181290    -0.433769     3.168536            9      4
    0.254515    -1.195666     3.168536            9      4
   -2.181290    -1.195666     3.168536            9      4
   -0.582439     0.403186     3.168536            9      4
   -1.344336     0.403186     3.168536            9      4
   -0.582439    -2.032620     3.168536            9      4
   -1.344336    -2.032620     3.168536            9      4
   -0.265391    -0.116721     3.412583            9      4
   -1.661384    -0.116721     3.412583            9      4
   -0.265391    -1.512713     3.412583            9      4
   -1.661384    -1.512713     3.412583            9      4
   -0.265391     0.647233     2.648629            9      4
   -1.661384     0.647233     2.648629            9      4
   -0.265391    -2.276667     2.648629            9      4
   -1.661384    -2.276667     2.648629            9      4
   -0.265391     0.647233     1.252637            9      4
   -1.661384     0.647233     1.252637            9      4
   -0.265391    -2.276667     1.252637            9      4
    0.498563    -0.116721     2.648629            9      4
   -2.425338    -0.116721     2.648629            9      4
    0.498563    -1.512713     2.648629            9      4
   -2.425338    -1.512713     2.648629            9      4
    0.498563    -0.116721     1.252637            9      4
